date,store_id,sku,units,amount
2025-11-09,C03,TY01,1,21300
2025-12-13,E04,BK01,1,13900
2025-11-19,W05,TY01,1,26400
2025-12-05,N01,GD02,1,61300
2025-12-06,N01,BK01,1,16100
2025-11-14,C03,BK02,2,39300
2025-11-28,E04,ST01,4,37100
2025-10-27,E04,BK01,2,27700
2025-10-06,W05,GD01,1,36100
2025-12-25,C03,FD01,3,22200
2025-12-04,E04,GD02,4,201300
2025-10-05,C03,GD02,4,202800
2025-12-18,S02,ST01,3,29300
2025-10-22,N01,GD02,2,116600
2025-11-24,C03,GD02,3,188800
2025-10-14,S02,GD02,2,118400
2025-10-18,S02,BK01,3,41000
2025-10-23,C03,GD01,2,78900
2025-11-08,C03,BK02,1,16300
2025-12-20,W05,FD01,5,35200
2025-10-22,S02,TY01,3,73900
2025-12-21,N01,GD02,2,108800
2025-11-08,C03,ST01,2,17000
2025-10-04,C03,GD01,1,38500
2025-11-23,S02,TY01,1,27900
2025-10-01,E04,FD01,2,13800
2025-11-05,W05,TY01,1,27700
2025-12-23,S02,BK02,1,16500
2025-10-17,W05,ST01,3,26000
2025-10-08,S02,ST01,1,7500
2025-10-20,N01,GD02,2,121400
2025-12-22,E04,ST01,3,25900
2025-10-05,W05,BK02,4,88600
2025-10-28,W05,FD01,2,15200
2025-11-15,E04,BK01,1,16100
2025-11-13,C03,BK01,4,63500
2025-11-21,N01,BK02,3,62600
2025-12-17,W05,ST01,1,7000
2025-12-14,N01,BK02,1,18400
2025-11-14,E04,TY01,2,53000
2025-12-24,S02,FD01,1,6600
2025-10-09,C03,BK01,1,14300
2025-11-07,N01,GD01,1,46300
2025-11-23,N01,BK01,1,12500
2025-12-05,E04,ST01,3,27200
2025-11-25,W05,BK02,2,42300
2025-10-11,W05,BK01,5,71000
2025-11-15,S02,GD02,4,196100
2025-12-01,S02,BK01,5,79200
2025-10-23,E04,BK02,1,20500
2025-10-11,W05,BK01,1,15800
2025-11-10,E04,GD02,4,246300
2025-12-27,S02,TY01,1,23900
2025-11-07,S02,FD01,5,28500
2025-10-26,C03,FD01,2,11400
2025-11-22,W05,GD02,3,147900
2025-10-18,W05,GD02,2,95600
2025-10-05,W05,GD02,1,53500
2025-10-08,C03,ST01,5,48300
2025-11-01,N01,GD02,3,190900
2025-12-08,N01,FD01,3,22900
