program_id,district,program_type,target_group,start_date,participants,budget,completion_rate,satisfaction
P0126,east,science,middle,2025-09-23,25,2089319,1.0,4.2
P0127,west,art,high,2025-06-09,34,2547354,0.47,4.1
P0128,west,art,high,2025-02-25,15,803860,0.7,3.8
P0129,central,art,high,2025-04-14,35,1424169,0.7,4.3
P0130,east,art,high,2025-01-06,13,517455,0.66,3.6
P0131,central,art,middle,2025-06-21,33,1972031,0.85,4.2
P0132,west,math,middle,2025-10-17,17,1238608,0.73,3.8
P0133,west,science,high,2025-07-19,36,1533283,0.88,4.4
P0134,west,art,elementary,2025-06-05,30,1148663,0.83,4.5
P0135,south,math,high,2025-09-27,27,1676070,0.85,4.2
P0136,central,reading,middle,2025-04-14,13,710682,0.7,3.1
P0137,east,science,elementary,2025-01-16,28,1865164,0.83,4.7
P0138,south,reading,elementary,2025-12-26,25,1130582,0.84,4.7
P0139,central,art,middle,2025-03-06,21,1782779,0.71,3.6
P0140,north,reading,high,2025-03-01,18,1385418,0.78,4.2
P0141,north,science,middle,2025-01-11,23,1379476,0.69,4.6
P0142,north,art,high,2025-07-27,22,867690,0.88,3.9
P0143,south,science,elementary,2025-03-17,30,1158687,0.84,4.0
P0144,north,art,elementary,2025-02-26,32,1435919,0.78,2.3
P0145,east,reading,high,2025-08-15,29,1450971,0.81,3.8
P0146,east,science,middle,2025-05-04,26,1516145,0.66,3.7
P0147,north,math,elementary,2025-02-11,18,932042,0.75,3.2
P0148,west,art,high,2025-04-07,29,1636387,0.83,3.7
P0149,south,reading,middle,2025-08-25,27,1192901,0.67,3.7
P0150,north,science,high,2025-12-24,34,1377550,0.68,3.9
P0151,south,reading,elementary,2025-02-24,24,1991286,0.63,3.7
P0152,north,math,middle,2025-06-18,25,1739223,0.89,3.6
P0153,east,reading,middle,2025-08-11,20,1310454,0.61,3.5
P0154,north,art,high,2025-04-13,26,1852954,0.63,3.6
P0155,south,coding,middle,2025-01-26,29,1028919,0.96,4.5
P0156,central,coding,elementary,2025-01-21,32,1321954,0.69,4.1
P0157,central,science,high,2025-02-22,20,889910,0.85,4.1
P0158,north,coding,high,2025-08-23,32,2556084,0.79,4.6
P0159,central,coding,elementary,2025-02-25,35,1633444,0.64,4.4
P0160,east,coding,high,2025-01-14,33,1407621,0.85,4.2
P0161,north,reading,elementary,2025-10-15,24,2002953,0.79,4.1
P0162,north,math,high,2025-05-14,36,1905142,0.67,3.8
P0163,west,coding,middle,2025-05-02,24,1350486,0.75,4.7
P0164,west,math,elementary,2025-02-13,27,1756650,0.7,4.7
P0165,east,coding,high,2025-12-26,44,1785640,0.64,4.0
P0166,west,coding,high,2025-04-17,30,2435450,0.75,3.1
P0167,north,art,high,2025-12-16,27,1811798,0.6,4.0
P0168,north,art,middle,2025-08-28,42,2009496,0.8,3.4
P0169,west,science,elementary,2025-07-25,34,2061041,0.95,3.8
P0170,north,math,high,2025-11-01,43,2049428,0.72,4.2
P0171,east,math,middle,2025-08-05,17,993552,0.66,3.6
P0172,south,math,elementary,2025-12-25,18,1040723,0.79,4.2
P0173,central,coding,high,2025-10-03,32,1866599,0.81,4.2
P0174,south,art,middle,2025-08-16,29,1449434,0.82,4.1
P0175,west,reading,middle,2025-04-21,26,1964186,0.9,3.6
P0176,central,math,high,2025-06-25,18,666690,0.89,3.8
P0177,south,reading,middle,2025-07-22,16,922522,0.81,4.0
P0178,central,art,middle,2025-12-01,17,1237680,0.76,3.5
P0179,south,coding,high,2025-08-26,43,3300067,0.6,4.5
P0180,east,art,elementary,2025-05-12,39,2697447,0.61,3.8
P0181,west,science,elementary,2025-03-19,51,3530045,0.89,4.5
P0182,south,math,elementary,2025-01-21,28,2194574,0.81,3.4
P0183,north,art,high,2025-03-23,35,1542212,0.6,3.3
P0184,north,science,high,2025-11-12,34,2644510,0.74,4.5
P0185,east,reading,middle,2025-02-13,35,2434183,0.7,3.9
P0186,south,coding,middle,2025-07-18,49,4032206,0.83,4.4
P0187,central,reading,elementary,2025-11-06,33,1243590,0.79,3.1
P0188,north,reading,high,2025-02-12,25,2090250,0.75,3.8
P0189,west,art,elementary,2025-10-21,8,400218,0.8,3.1
P0190,east,reading,elementary,2025-06-09,25,1884471,0.75,3.7
P0191,south,art,elementary,2025-04-14,31,2627806,0.57,3.9
P0192,west,science,high,2025-09-25,20,1196582,1.0,3.9
P0193,east,coding,high,2025-10-22,47,1675043,0.71,4.5
P0194,west,science,high,2025-07-14,22,874921,1.0,4.0
P0195,central,reading,elementary,2025-05-22,11,749142,0.82,3.9
P0196,north,coding,elementary,2025-07-15,20,1549782,0.79,3.0
P0197,west,coding,high,2025-11-18,43,1507287,0.78,4.0
P0198,west,art,high,2025-06-11,29,1214210,0.84,3.8
P0199,west,reading,middle,2025-09-08,25,1326274,0.76,3.6
P0200,west,coding,middle,2025-08-27,15,1079984,0.85,4.1
P0201,south,science,middle,2025-10-04,50,3110282,0.78,3.2
P0202,west,science,high,2025-04-26,33,1905237,0.69,3.7
P0203,central,science,middle,2025-10-05,29,1241155,0.83,3.5
P0204,east,science,middle,2025-01-17,17,865625,0.69,3.5
P0205,south,art,high,2025-12-01,22,1706345,0.87,3.4
P0206,north,math,elementary,2025-10-13,36,2874854,0.76,3.2
P0207,west,math,elementary,2025-11-03,21,832906,0.73,4.1
P0208,east,art,middle,2025-06-02,27,1150410,0.78,4.0
P0209,south,art,high,2025-03-27,19,1292444,0.83,4.2
P0210,west,coding,high,2025-03-03,35,2768224,0.71,3.4
P0211,west,art,middle,2025-03-25,22,967246,0.61,3.9
P0212,west,reading,high,2025-04-20,43,1714709,0.7,3.3
P0213,north,art,high,2025-07-16,32,2527509,0.6,3.5
P0214,south,science,elementary,2025-02-08,41,2799433,0.83,3.7
P0215,north,science,elementary,2025-06-05,20,1410164,0.77,4.2
P0216,central,math,high,2025-12-19,21,776928,0.59,3.7
P0217,south,math,middle,2025-10-17,19,1535016,0.69,3.7
P0218,central,art,middle,2025-10-19,23,1233170,0.74,3.3
P0219,central,art,middle,2025-08-28,25,1114751,0.93,3.1
P0220,west,math,middle,2025-05-16,20,1302720,0.78,3.8
P0221,south,coding,elementary,2025-04-16,35,1992891,0.88,3.7
P0222,north,science,elementary,2025-01-05,27,1844803,0.84,3.6
P0223,east,coding,elementary,2025-04-26,35,2626170,0.65,4.0
P0224,west,reading,high,2025-03-06,14,959011,0.69,3.4
P0225,south,reading,middle,2025-12-14,38,1342609,0.84,3.5
P0226,north,coding,high,2025-08-10,31,2479030,0.9,4.6
P0227,north,science,middle,2025-11-04,30,1252453,0.92,3.9
P0228,south,math,high,2025-04-07,14,1040574,0.65,3.8
P0229,north,science,elementary,2025-02-26,32,2296666,0.97,3.5
P0230,south,math,high,2025-11-26,38,1370664,0.72,4.0
P0231,central,science,middle,2025-03-23,25,1197638,0.95,3.9
P0232,east,reading,high,2025-06-22,26,939327,0.78,4.3
P0233,north,science,elementary,2025-08-25,29,1380001,0.74,4.4
P0234,west,coding,high,2025-11-07,35,1787919,0.74,4.5
P0235,south,science,high,2025-01-28,36,2020138,0.78,4.4
P0236,west,reading,middle,2025-12-26,22,1462741,0.94,3.2
P0237,south,math,elementary,2025-07-14,41,2522326,0.81,4.0
P0238,south,art,elementary,2025-07-08,20,1166782,0.76,4.1
P0239,north,art,elementary,2025-04-22,18,1107145,0.67,3.9
P0240,west,math,middle,2025-04-05,17,1360769,0.75,3.8
P0241,north,science,high,2025-06-01,30,1442711,0.98,3.7
P0242,east,math,middle,2025-04-01,41,1574560,0.78,3.8
P0243,west,science,high,2025-12-06,33,1222747,0.81,3.6
P0244,north,art,middle,2025-04-04,23,1764261,0.75,3.6
P0245,east,science,high,2025-10-02,32,2427730,0.89,3.6
P0246,south,reading,high,2025-11-18,21,1072891,0.74,3.4
P0247,east,reading,middle,2025-07-04,14,1183124,0.71,3.7
P0248,north,coding,middle,2025-09-20,28,1542588,0.84,4.2
P0249,west,science,elementary,2025-03-16,26,2004524,0.92,3.1
P0250,north,math,middle,2025-05-11,25,1049960,0.61,3.9
P0251,east,math,high,2025-07-24,40,1744667,0.77,2.8
P0252,west,art,elementary,2025-11-24,21,1076883,0.69,4.4
P0253,north,coding,high,2025-10-23,35,2222897,0.84,3.4
P0254,north,coding,middle,2025-12-22,29,1877467,0.83,3.9
P0255,north,coding,high,2025-03-03,30,2303328,0.84,4.3
P0256,north,math,elementary,2025-10-22,33,2504129,0.65,4.3
P0257,central,art,middle,2025-07-14,17,1012879,0.69,3.6
P0258,north,coding,elementary,2025-08-15,33,2310344,0.91,4.7
P0259,west,art,high,2025-06-11,23,1278877,0.79,4.2
P0260,west,science,elementary,2025-02-21,43,2713141,0.74,3.7
P0261,north,math,high,2025-08-13,28,1257473,0.76,4.4
P0262,north,science,middle,2025-12-20,29,2169615,0.78,4.3
P0263,north,science,high,2025-05-16,25,1886060,0.92,3.7
P0264,south,art,elementary,2025-11-15,18,1193245,0.69,3.7
P0265,central,coding,elementary,2025-10-09,35,2701398,0.93,4.6
P0266,north,coding,middle,2025-06-27,25,911209,0.7,4.9
P0267,east,art,middle,2025-11-18,31,1635004,0.66,4.1
P0268,south,reading,elementary,2025-06-26,25,1835090,0.83,3.7
P0269,east,reading,high,2025-09-16,27,1107872,0.83,4.1
P0270,south,art,elementary,2025-03-15,29,1199103,0.89,3.7
P0271,north,reading,elementary,2025-01-03,37,1601283,0.84,3.1
P0272,west,coding,elementary,2025-01-20,33,1850621,0.8,3.4
P0273,south,coding,middle,2025-12-04,26,2196916,0.77,4.0
P0274,central,coding,high,2025-11-06,27,1964033,1.0,4.3
P0275,east,reading,middle,2025-04-12,31,2359561,0.8,4.4
P0276,east,coding,high,2025-08-28,55,2903746,0.82,3.9
P0277,east,science,high,2025-06-04,42,3119234,0.85,4.0
P0278,north,math,middle,2025-03-12,19,858460,0.75,4.4
P0279,east,art,elementary,2025-06-13,22,1387011,0.79,4.3
P0280,north,science,middle,2025-12-17,32,1485539,0.81,3.5
P0281,south,coding,elementary,2025-06-22,31,1383390,0.83,4.0
P0282,south,science,high,2025-02-17,32,2233990,0.84,3.6
P0283,south,science,elementary,2025-03-11,40,1964000,0.85,3.8
P0284,central,math,high,2025-06-20,21,1392703,0.83,3.9
P0285,west,coding,elementary,2025-09-22,34,2249487,0.68,3.8
P0286,east,science,middle,2025-07-18,22,1549536,1.0,2.9
P0287,east,science,high,2025-09-03,44,2708299,0.78,3.6
P0288,central,reading,elementary,2025-01-21,30,1499431,0.98,3.9
P0289,south,science,high,2025-02-14,29,1410192,0.72,3.9
P0290,west,coding,middle,2025-03-09,24,1230897,0.79,3.9
P0291,south,math,middle,2025-03-18,32,1898501,0.65,3.7
P0292,west,science,elementary,2025-01-06,26,1723208,0.68,4.5
P0293,north,art,elementary,2025-04-24,28,1977040,0.67,3.6
P0294,central,coding,middle,2025-05-21,23,879031,0.88,4.1
P0295,west,art,elementary,2025-03-25,21,1201442,0.67,4.4
P0296,west,art,elementary,2025-08-11,36,3018707,0.68,3.9
P0297,central,reading,high,2025-07-17,35,1566608,0.53,3.5
P0298,west,math,middle,2025-11-08,14,739475,0.88,3.5
P0299,central,science,middle,2025-03-14,30,2110243,0.59,3.6
P0300,north,coding,middle,2025-08-10,34,2397943,0.81,4.4
P0301,south,reading,high,2025-10-05,31,1157903,0.96,4.3
P0302,south,science,high,2025-09-16,30,1883685,0.73,3.9
P0303,east,reading,middle,2025-11-03,32,1455565,0.71,4.7
P0304,north,math,middle,2025-09-25,23,1725530,0.72,3.2
P0305,south,art,middle,2025-12-18,29,1487071,0.9,4.0
P0306,south,reading,middle,2025-09-21,10,660683,0.79,3.8
P0307,west,reading,middle,2025-07-04,20,1078983,0.6,4.0
P0308,south,reading,middle,2025-01-08,10,600655,0.86,3.2
P0309,central,science,middle,2025-03-23,16,1137632,0.99,3.9
P0310,south,reading,high,2025-08-07,29,1191282,0.72,3.4
P0311,west,art,elementary,2025-02-09,28,1184046,0.89,3.9
P0312,east,math,middle,2025-09-26,26,2069481,0.92,4.3
P0313,north,reading,middle,2025-10-19,29,1939921,0.76,4.1
P0314,west,art,high,2025-03-06,18,1230775,0.75,3.6
P0315,south,art,high,2025-06-22,22,939416,0.71,3.8
P0316,central,reading,high,2025-06-15,32,1542071,0.64,3.4
P0317,south,reading,elementary,2025-03-02,16,1250601,0.8,3.9
P0318,south,coding,middle,2025-02-22,19,920087,0.78,3.7
P0319,north,science,elementary,2025-02-20,34,1852843,0.71,3.6
P0320,north,reading,high,2025-06-23,17,757403,0.68,4.0
P0321,south,reading,elementary,2025-11-11,33,2617303,0.9,3.9
P0322,east,reading,elementary,2025-04-03,27,1901745,0.81,4.1
P0323,south,art,middle,2025-03-27,31,2618245,0.81,3.1
P0324,west,math,high,2025-03-15,26,1487725,0.63,3.8
P0325,north,coding,middle,2025-08-11,40,2524020,0.68,4.4
P0326,central,math,elementary,2025-10-28,47,1698137,0.61,3.8
P0327,central,math,middle,2025-02-25,23,1504847,0.79,4.6
P0328,north,math,high,2025-05-21,33,2599863,0.62,3.6
P0329,north,coding,high,2025-01-14,39,1873414,0.55,3.9
P0330,central,coding,middle,2025-07-09,33,1780572,0.69,4.1
P0331,west,art,middle,2025-02-07,22,1077555,0.75,3.9
P0332,west,coding,middle,2025-12-23,44,1830898,0.77,3.9
P0333,south,reading,elementary,2025-03-02,35,2228390,0.63,3.1
P0334,south,math,middle,2025-01-14,17,1109669,0.65,3.5
P0335,central,math,high,2025-09-15,26,1805797,0.75,4.6
P0336,north,reading,middle,2025-03-10,19,850499,0.83,4.2
P0337,central,art,high,2025-07-03,22,1438481,0.75,4.6
P0338,west,art,middle,2025-05-18,30,2478763,0.55,4.0
P0339,east,coding,middle,2025-09-06,25,1640710,0.83,3.6
P0340,east,math,high,2025-03-26,12,656920,0.72,4.3
P0341,north,reading,elementary,2025-07-03,38,1601598,0.73,4.0
P0342,east,reading,elementary,2025-12-21,21,1062379,0.71,3.9
P0343,central,reading,elementary,2025-06-21,29,1269555,0.69,3.8
P0344,central,science,middle,2025-11-06,23,1821167,0.63,2.7
P0345,central,reading,elementary,2025-06-21,21,1205956,0.85,3.4
P0346,south,reading,middle,2025-06-23,8,369096,0.74,3.3
P0347,south,art,elementary,2025-06-26,30,1809992,0.65,3.4
P0348,central,coding,elementary,2025-10-19,34,1527862,0.72,4.3
P0349,east,science,elementary,2025-10-21,33,2458693,0.78,4.1
P0350,north,art,elementary,2025-01-18,21,1225364,0.76,4.5
P0351,north,reading,middle,2025-08-08,27,1700529,0.77,4.2
P0352,south,art,middle,2025-09-08,29,1358372,0.62,3.6
P0353,south,reading,elementary,2025-03-22,25,1420754,0.92,3.9
P0354,north,math,high,2025-08-03,16,729071,0.76,4.1
P0355,central,reading,high,2025-10-19,25,1290489,0.73,3.7
P0356,central,math,elementary,2025-08-10,28,2144482,0.86,3.7
P0357,south,reading,high,2025-01-02,38,2687350,0.87,3.0
P0358,south,science,middle,2025-01-13,33,1287212,0.98,4.6
P0359,south,reading,middle,2025-01-09,25,1040756,0.95,3.3
P0360,east,coding,high,2025-05-13,45,3145823,0.72,4.1
P0361,west,math,high,2025-02-04,18,1442449,0.83,4.0
P0362,west,coding,high,2025-02-04,34,2722459,0.78,3.8
P0363,south,coding,middle,2025-11-15,18,1167898,0.71,4.4
P0364,west,art,high,2025-09-13,31,1873969,0.94,3.7
P0365,south,reading,high,2025-04-11,38,2777263,0.95,3.5
P0366,south,math,middle,2025-08-22,19,1273538,0.75,3.6
P0367,north,math,middle,2025-11-14,25,1907757,0.82,3.3
P0368,south,reading,elementary,2025-03-06,27,1454892,0.6,3.7
P0369,south,reading,middle,2025-10-03,31,2180137,0.9,3.6
P0370,central,coding,high,2025-01-12,45,1730770,0.74,3.9
P0371,north,science,elementary,2025-12-18,35,2708668,1.0,3.6
P0372,south,science,elementary,2025-12-19,28,1530957,0.81,4.2
P0373,north,coding,high,2025-05-27,24,1288005,0.88,4.3
P0374,west,art,middle,2025-02-10,31,2197579,0.84,3.6
P0375,central,science,middle,2025-02-19,25,1012082,0.93,3.2
P0376,north,art,elementary,2025-07-24,23,1117710,0.67,4.0
P0377,north,science,high,2025-09-08,17,635752,0.7,4.2
P0378,west,art,middle,2025-07-05,34,2380929,0.87,2.9
P0379,east,coding,high,2025-07-04,50,1801735,0.98,4.0
P0380,west,math,middle,2025-09-11,37,1471637,0.68,3.8
P0381,north,math,high,2025-10-02,22,1146987,0.79,3.9
P0382,north,coding,high,2025-09-23,24,1434755,0.73,3.9
P0383,central,art,middle,2025-11-20,34,1499969,0.77,4.2
P0384,west,coding,high,2025-11-26,30,1708880,0.7,4.8
P0385,central,coding,elementary,2025-04-08,28,1449400,0.85,4.2
P0386,east,science,middle,2025-02-25,34,2141831,0.63,3.7
P0387,south,reading,high,2025-10-27,24,1511988,0.63,3.4
P0388,central,math,high,2025-11-02,28,1273455,0.62,3.6
P0389,west,reading,elementary,2025-05-19,18,670626,0.77,4.1
P0390,north,coding,elementary,2025-03-01,14,1135103,0.93,3.9
P0391,north,math,high,2025-11-04,39,1495667,0.93,4.6
P0392,central,science,high,2025-08-01,41,3285833,0.89,3.7
P0393,west,math,middle,2025-02-17,33,2165694,0.53,4.0
P0394,west,science,high,2025-01-27,24,1999394,0.86,3.3
P0395,north,science,middle,2025-12-16,21,1091631,0.84,4.3
P0396,north,science,middle,2025-11-12,56,2073338,0.76,3.8
P0397,south,reading,middle,2025-11-08,18,776758,0.87,3.9
P0398,west,art,elementary,2025-10-24,13,930696,0.7,3.4
P0399,west,reading,middle,2025-03-14,17,639492,0.82,3.5
P0400,east,science,high,2025-02-09,29,1089847,0.81,4.4
P0401,east,math,elementary,2025-10-27,27,1146977,0.68,4.1
P0402,south,science,elementary,2025-08-23,34,1884320,0.77,3.7
P0403,south,math,middle,2025-03-24,36,2901600,0.77,3.6
P0404,central,science,elementary,2025-01-09,33,1865782,0.78,4.2
P0405,west,coding,elementary,2025-04-14,17,890202,0.74,4.5
P0406,west,reading,elementary,2025-04-24,21,1236840,0.82,4.1
P0407,north,art,high,2025-11-24,32,1212994,0.94,4.4
P0408,central,science,high,2025-08-08,18,1204288,0.71,3.7
P0409,east,coding,high,2025-01-19,38,2802157,0.79,3.9
P0410,west,coding,high,2025-01-23,8,615543,0.84,4.8
P0411,south,art,elementary,2025-11-09,21,1175087,0.68,4.2
P0412,east,coding,elementary,2025-03-12,39,2827459,0.77,4.5
P0413,south,math,middle,2025-04-02,17,989425,0.66,3.4
P0414,west,science,high,2025-02-17,28,1636939,0.96,4.4
P0415,central,coding,elementary,2025-05-02,37,2343047,0.74,4.4
P0416,central,math,high,2025-06-05,14,837678,0.54,3.8
P0417,north,coding,middle,2025-02-17,32,1874565,0.75,5.0
P0418,west,coding,middle,2025-08-20,25,2043205,0.8,4.3
P0419,south,science,middle,2025-06-08,35,2974456,0.73,3.8
P0420,west,art,high,2025-03-04,34,2412089,0.82,4.3
P0421,north,science,elementary,2025-09-19,17,746556,0.67,3.5
P0422,north,math,middle,2025-10-20,29,2004064,0.88,3.7
P0423,north,art,high,2025-03-05,16,741557,0.83,3.2
P0424,east,art,elementary,2025-11-09,36,1718881,0.8,3.9
P0425,north,coding,middle,2025-08-06,34,1540033,0.75,4.5
P0426,north,reading,middle,2025-05-15,26,1676203,0.86,4.0
P0427,south,coding,high,2025-04-13,43,3482612,0.87,4.4
P0428,east,coding,high,2025-03-17,20,804541,0.85,5.0
P0429,east,coding,high,2025-04-10,32,1153745,0.82,4.5
P0430,east,coding,middle,2025-04-05,33,1632823,0.72,4.2
P0431,south,art,high,2025-03-25,35,2448287,0.87,3.9
P0432,south,reading,middle,2025-04-09,26,1582793,0.63,4.1
P0433,central,math,middle,2025-05-18,26,1646027,0.59,4.5
