order_id,date,region,channel,category,quantity,unit_price,discount_rate,customer_grade
53,2025-06-09,N,A,GD,1,43900,0.05,R
54,2025-02-05,W,W,FD,4,10400,0,R
55,2025-03-04,C,W,BK,2,20500,0,V
56,2025-02-21,N,W,TY,2,16700,0,N
57,2025-05-26,N,A,TY,2,40000,0.05,R
58,2025-02-15,S,A,GD,1,34300,0.05,R
59,2025-04-23,N,W,ST,1,12400,0.15,N
60,2025-05-23,W,W,TY,1,28500,0.05,N
61,2025-05-28,E,A,TY,1,24200,0,V
62,2025-03-23,W,A,ST,1,12800,0.1,R
63,2025-05-10,C,W,GD,2,35000,0.15,N
64,2025-04-27,N,A,ST,3,12200,0,N
65,2025-04-12,E,W,GD,2,43900,0,N
66,2025-03-13,C,S,TY,3,21600,0.15,R
67,2025-04-05,S,W,BK,2,22500,0,R
68,2025-05-25,C,W,FD,2,8100,0,R
69,2025-01-12,W,W,FD,2,8600,0.05,R
70,2025-05-08,C,W,ST,1,14300,0,V
71,2025-06-10,S,S,FD,4,8600,0.15,N
72,2025-03-01,C,A,FD,1,8400,0,N
73,2025-01-11,N,A,TY,3,30000,0.1,N
74,2025-06-22,W,A,GD,1,40300,0.05,N
75,2025-06-25,C,W,BK,1,20300,0,R
76,2025-05-17,E,W,TY,2,29000,0,V
77,2025-05-17,N,A,GD,2,40500,0.05,R
78,2025-06-08,N,W,GD,1,45100,0,R
79,2025-03-18,E,S,FD,2,7200,0.1,R
80,2025-01-14,S,S,BK,3,14100,0.1,N
81,2025-05-12,E,A,BK,4,18100,0,N
82,2025-01-15,E,W,ST,2,9900,0.05,R
83,2025-04-11,S,S,TY,1,23500,0,R
84,2025-01-25,E,W,GD,1,39700,0,N
85,2025-01-13,N,S,ST,2,13100,0,N
86,2025-06-21,W,S,TY,2,21300,0.05,N
87,2025-03-23,S,A,ST,4,16100,0,N
88,2025-03-20,W,A,BK,2,22100,0.1,V
89,2025-06-12,W,W,ST,1,13100,0,V
90,2025-03-16,E,S,ST,3,14800,0.05,N
91,2025-06-18,C,W,GD,2,18500,0.2,N
92,2025-05-05,W,W,FD,1,10700,0.05,R
93,2025-03-27,W,A,ST,3,13300,0,N
94,2025-02-03,N,A,BK,2,13500,0.15,N
95,2025-02-28,E,A,GD,1,30900,0.05,R
96,2025-04-06,C,W,FD,2,9700,0,N
97,2025-02-05,N,A,GD,2,33500,0.1,N
98,2025-05-08,S,W,BK,1,16700,0.05,R
99,2025-06-26,E,W,GD,5,36500,0.1,R
100,2025-03-21,C,S,FD,1,9800,0.05,R
101,2025-01-18,E,A,FD,1,7300,0,R
102,2025-05-12,S,A,GD,3,26100,0,N
103,2025-05-24,C,A,TY,1,21800,0,V
104,2025-05-13,C,A,BK,2,22400,0.05,N
105,2025-03-05,C,A,GD,1,47400,0.05,N
106,2025-01-01,W,A,BK,1,18200,0.05,N
107,2025-02-11,W,W,GD,5,44000,0.05,N
108,2025-05-01,S,A,ST,2,15400,0.1,N
109,2025-04-22,N,A,ST,4,13100,0,R
110,2025-05-07,S,W,GD,1,52500,0.1,N
111,2025-05-01,E,S,ST,1,12400,0.05,N
112,2025-03-23,E,W,BK,1,14600,0.15,R
113,2025-03-20,W,S,BK,4,20000,0.2,R
114,2025-06-10,N,S,BK,2,18500,0.05,N
115,2025-02-14,E,A,TY,1,26200,0.05,R
116,2025-02-24,C,W,ST,1,15500,0,N
117,2025-02-22,E,A,GD,1,32900,0.1,N
118,2025-05-09,N,W,GD,2,34500,0.05,N
119,2025-06-06,E,A,FD,5,8800,0,N
120,2025-02-09,S,A,TY,2,22800,0.05,N
121,2025-04-22,W,W,TY,2,32300,0,N
122,2025-06-10,E,A,FD,1,9600,0.1,N
123,2025-01-24,N,W,TY,2,19800,0.05,R
124,2025-06-25,E,W,GD,1,49000,0.1,R
125,2025-05-15,S,W,BK,1,16000,0.05,R
126,2025-04-27,E,A,BK,1,19100,0.1,R
127,2025-06-03,N,S,BK,1,21600,0.1,N
128,2025-02-03,S,W,GD,2,38900,0.05,R
129,2025-06-25,N,W,BK,4,14100,0,R
130,2025-04-08,E,S,FD,1,9700,0,V
131,2025-02-09,N,W,BK,2,17000,0.05,R
132,2025-02-27,N,A,ST,1,13600,0,N
133,2025-03-18,C,W,TY,1,29600,0,N
134,2025-04-04,S,W,BK,1,20400,0,R
135,2025-05-04,N,S,ST,3,12200,0,R
136,2025-05-04,N,A,FD,2,13500,0,R
137,2025-01-06,N,A,TY,1,28100,0,N
138,2025-04-09,S,A,TY,2,20500,0.05,R
139,2025-03-12,E,A,ST,2,14800,0,R
140,2025-03-17,E,W,FD,2,6800,0,N
141,2025-06-20,W,A,ST,1,17000,0.1,V
142,2025-01-21,E,A,TY,5,30600,0.1,R
143,2025-02-10,N,W,ST,2,13900,0.05,N
144,2025-03-14,C,W,BK,1,15200,0.1,N
145,2025-01-14,E,W,FD,2,10700,0,V
146,2025-04-23,N,W,TY,1,29400,0.1,N
147,2025-05-10,N,A,ST,2,17500,0.1,R
148,2025-03-01,C,W,ST,3,17200,0,N
149,2025-06-14,N,S,ST,1,12300,0,N
150,2025-06-03,C,A,FD,1,6900,0,V
151,2025-01-11,E,A,TY,4,19200,0,R
152,2025-06-09,C,S,FD,3,8700,0.05,N
153,2025-06-08,W,A,TY,1,33800,0.05,R
154,2025-06-26,E,W,GD,5,47000,0,R
155,2025-01-18,S,A,BK,2,20200,0.05,R
156,2025-04-26,C,W,ST,1,8400,0.05,N
157,2025-03-23,E,W,ST,1,14100,0.1,V
158,2025-01-01,S,A,TY,5,23500,0,R
159,2025-01-20,E,A,FD,1,7200,0.1,R
160,2025-05-07,C,A,FD,2,10100,0,V
161,2025-01-26,C,A,BK,3,12000,0.1,R
162,2025-02-13,S,A,GD,5,40200,0,N
163,2025-06-18,S,A,BK,4,18700,0,N
164,2025-05-01,N,W,BK,2,11400,0,R
165,2025-02-26,E,S,ST,1,11500,0,N
166,2025-01-15,E,A,GD,1,35000,0.05,V
167,2025-05-20,N,A,ST,2,16400,0,R
168,2025-05-25,E,W,ST,1,15300,0.05,N
169,2025-06-04,W,W,TY,2,22400,0,R
170,2025-02-13,S,A,TY,2,27500,0,N
171,2025-06-24,C,W,BK,1,18100,0,V
172,2025-06-24,N,A,TY,2,34400,0.05,N
173,2025-04-27,C,W,GD,1,40300,0,N
174,2025-05-07,C,A,ST,1,15000,0,N
175,2025-01-26,E,A,BK,2,18100,0.1,R
176,2025-02-05,N,A,TY,1,31300,0,V
177,2025-05-16,C,S,ST,2,14700,0.05,N
178,2025-02-07,N,S,ST,1,13200,0,N
179,2025-02-07,N,A,GD,1,28200,0.1,V
180,2025-06-27,C,W,TY,2,23700,0.1,N
181,2025-01-04,C,S,TY,1,34700,0,V
182,2025-03-11,E,W,TY,1,22300,0.1,R
183,2025-02-10,N,W,FD,4,5100,0.15,R
184,2025-01-27,C,W,FD,2,8400,0.15,R
185,2025-01-16,N,A,ST,2,11400,0.05,V
186,2025-04-12,E,S,ST,2,16200,0.05,N
187,2025-05-23,C,S,BK,2,20100,0.15,N
188,2025-05-11,N,A,GD,3,42000,0,N
189,2025-06-10,E,A,GD,1,45100,0,N
190,2025-03-07,N,W,TY,1,26600,0,R
191,2025-04-25,E,W,FD,2,8800,0,N
192,2025-03-10,N,S,ST,3,12100,0.1,R
193,2025-06-26,N,W,BK,2,14700,0.05,N
194,2025-06-20,N,W,ST,3,12900,0,N
195,2025-03-16,E,A,BK,1,16500,0.1,R
196,2025-06-13,W,W,FD,2,8500,0.1,N
197,2025-04-13,S,A,BK,1,13200,0,R
198,2025-06-13,N,A,FD,1,7700,0,R
199,2025-01-11,S,A,FD,1,10900,0.05,R
200,2025-05-04,W,S,BK,1,14900,0.1,N
201,2025-03-13,C,W,FD,2,11200,0,R
202,2025-02-03,W,W,FD,1,11400,0.05,R
203,2025-01-12,S,W,ST,3,14700,0.1,R
204,2025-06-15,N,W,GD,1,53700,0,N
205,2025-04-21,N,S,FD,3,9700,0.05,N
206,2025-03-28,S,W,TY,1,30300,0.1,N
207,2025-05-28,S,S,FD,2,9500,0.05,V
208,2025-04-05,N,W,FD,4,10400,0,V
209,2025-04-18,W,A,TY,3,29500,0.05,R
210,2025-06-02,E,W,BK,1,13600,0.05,N
211,2025-06-03,W,W,TY,2,19900,0.05,V
212,2025-03-11,S,S,FD,1,7700,0.1,N
213,2025-03-11,N,A,BK,1,19500,0,N
214,2025-02-10,S,A,GD,1,39800,0.05,R
215,2025-02-15,C,W,GD,1,30100,0.05,N
216,2025-05-06,C,A,ST,1,14400,0.1,R
217,2025-02-13,N,A,BK,2,18100,0.1,R
218,2025-02-17,C,W,BK,4,22900,0.05,V
219,2025-01-06,C,A,GD,5,49000,0,R
220,2025-06-10,S,W,TY,4,20900,0,R
221,2025-05-15,E,W,FD,1,12000,0.05,N
222,2025-06-07,S,W,FD,2,7500,0,R
223,2025-06-25,N,S,BK,1,17400,0.05,N
224,2025-03-07,N,W,TY,3,29600,0.1,N
225,2025-06-24,E,W,TY,3,25400,0,N
226,2025-03-14,C,S,ST,4,15000,0.2,R
227,2025-02-13,E,A,ST,4,11500,0,R
228,2025-04-21,E,A,BK,1,23100,0,N
229,2025-04-10,C,W,FD,1,7300,0.05,R
230,2025-04-16,C,S,FD,2,10400,0,R
231,2025-04-10,N,W,BK,1,24100,0.15,N
232,2025-01-06,N,A,FD,2,7200,0.1,N
233,2025-03-24,C,A,BK,3,16300,0.2,N
234,2025-03-11,N,S,FD,2,10900,0.05,R
235,2025-04-08,C,W,ST,2,12700,0.05,V
236,2025-06-11,C,A,FD,3,11800,0.05,N
237,2025-02-25,E,W,FD,1,10200,0.1,R
238,2025-05-12,N,W,BK,1,21600,0.15,N
239,2025-01-01,N,A,FD,1,7800,0,N
240,2025-01-17,N,W,BK,2,21700,0,N
241,2025-03-24,E,W,BK,2,13100,0,R
242,2025-04-10,S,W,ST,3,13800,0.05,R
243,2025-04-13,C,W,GD,2,34300,0.05,N
244,2025-01-26,C,W,GD,4,52300,0.05,V
245,2025-04-15,N,W,TY,3,28900,0,R
246,2025-01-09,C,W,BK,2,20000,0,N
247,2025-04-13,E,A,TY,1,34500,0.1,N
248,2025-01-11,S,A,FD,2,9000,0.05,V
249,2025-01-27,C,S,GD,3,34300,0,R
250,2025-01-21,C,W,FD,3,7800,0.05,R
251,2025-01-28,N,A,FD,4,8500,0,N
252,2025-06-11,S,W,FD,2,9900,0,N
253,2025-04-19,N,W,ST,1,11000,0,N
254,2025-06-27,S,S,FD,2,9300,0,N
255,2025-01-14,W,A,FD,1,8800,0,N
256,2025-06-24,E,A,TY,2,32400,0.1,V
257,2025-05-21,S,S,BK,1,14900,0.05,R
258,2025-04-26,C,W,FD,1,8600,0,N
259,2025-05-17,S,S,FD,1,9300,0,R
260,2025-06-27,C,W,TY,2,25300,0.2,R
261,2025-05-19,C,A,FD,1,9700,0.05,R
262,2025-06-19,N,A,FD,2,9600,0.1,V
263,2025-04-16,E,S,ST,1,12500,0,N
264,2025-01-27,N,S,GD,2,36500,0.05,V
265,2025-01-14,C,A,GD,3,39100,0.05,R
266,2025-02-15,W,A,FD,4,10200,0.1,N
267,2025-03-15,N,W,BK,2,15500,0,N
268,2025-04-07,S,A,BK,1,18800,0.05,N
269,2025-03-21,S,A,TY,1,31200,0.2,N
270,2025-05-02,S,W,TY,3,34500,0,R
271,2025-01-09,N,S,ST,5,15400,0.2,R
272,2025-04-26,E,A,FD,3,8700,0.1,N
273,2025-06-18,S,W,ST,1,15500,0,N
274,2025-03-05,N,A,TY,1,24600,0.1,N
275,2025-04-27,S,W,BK,3,16800,0,N
276,2025-01-28,C,W,FD,3,8400,0.1,R
277,2025-02-22,S,S,TY,1,20900,0.05,R
278,2025-01-03,N,A,TY,2,27800,0,R
279,2025-03-18,N,W,ST,1,16900,0,N
280,2025-01-18,W,W,BK,1,12600,0.05,V
281,2025-04-15,N,A,ST,1,13900,0.05,R
282,2025-01-05,S,A,ST,2,15000,0.15,V
283,2025-04-25,C,A,GD,1,43400,0,R
284,2025-03-03,S,A,FD,1,8200,0.05,N
285,2025-02-16,W,A,BK,1,19500,0,N
286,2025-01-08,C,W,FD,2,7700,0.1,N
287,2025-05-19,N,S,BK,2,23700,0.05,R
288,2025-05-04,C,S,ST,1,16200,0.05,N
289,2025-03-09,E,A,GD,2,51600,0,R
290,2025-02-28,C,S,GD,1,46900,0.2,N
291,2025-05-21,N,S,TY,2,28200,0.05,N
292,2025-04-10,E,S,GD,2,33100,0.05,N
293,2025-04-20,S,A,ST,3,14400,0,V
294,2025-01-25,W,W,TY,2,25200,0.1,R
295,2025-03-20,S,A,FD,1,6400,0.1,N
296,2025-04-22,S,S,TY,1,26400,0,N
297,2025-06-22,S,A,FD,2,8600,0.15,R
298,2025-05-25,N,W,BK,3,14900,0,V
299,2025-03-15,S,W,BK,1,21700,0,N
300,2025-02-07,E,W,ST,1,11500,0,N
301,2025-02-26,E,A,BK,1,20000,0.1,N
302,2025-05-27,E,S,FD,1,7200,0.15,R
303,2025-01-13,S,S,ST,2,12500,0.15,N
304,2025-05-15,N,W,BK,2,15500,0,N
305,2025-01-09,S,S,BK,1,11900,0.1,V
306,2025-02-10,W,A,FD,1,8400,0,R
307,2025-05-12,W,A,GD,3,52800,0,N
308,2025-03-21,C,A,FD,2,8600,0,N
309,2025-04-26,S,A,FD,5,6700,0.05,R
310,2025-04-14,W,W,GD,2,38500,0,N
311,2025-01-20,W,A,GD,1,47100,0,V
312,2025-04-20,S,A,ST,2,13500,0,R
313,2025-05-26,N,W,FD,2,12300,0,V
314,2025-04-20,C,W,TY,2,24600,0,N
315,2025-03-22,N,A,FD,1,8900,0,V
316,2025-04-23,C,S,TY,1,26900,0,N
317,2025-05-20,N,W,FD,5,11000,0,N
318,2025-02-24,C,W,ST,4,15000,0.05,R
319,2025-06-19,S,S,BK,1,22400,0,N
320,2025-06-07,E,A,BK,1,11400,0,R
321,2025-01-15,N,W,ST,1,11200,0,V
322,2025-03-14,C,S,BK,2,13800,0,R
323,2025-05-12,N,W,TY,1,22700,0,R
324,2025-01-20,W,S,ST,1,12100,0.15,N
325,2025-05-23,N,A,BK,1,17000,0.05,R
326,2025-04-27,E,A,FD,2,8700,0,N
327,2025-01-11,E,W,TY,1,21200,0,V
328,2025-05-22,E,S,GD,1,45000,0,R
329,2025-05-09,N,A,TY,1,28000,0,R
330,2025-02-07,S,W,GD,1,45000,0.2,N
331,2025-05-06,N,W,FD,3,8500,0.1,R
332,2025-03-23,N,A,BK,1,22400,0.05,R
333,2025-01-02,E,S,GD,2,41400,0,N
334,2025-03-15,W,W,BK,2,13900,0.05,R
335,2025-04-17,C,W,ST,1,14800,0,N
336,2025-02-09,C,W,ST,1,16000,0.05,R
337,2025-02-18,W,A,GD,1,50600,0.1,N
338,2025-04-19,E,A,GD,1,48300,0.1,N
339,2025-04-15,C,A,BK,3,14700,0,V
340,2025-04-25,C,W,BK,2,11100,0,N
341,2025-01-09,C,A,FD,2,9100,0,V
342,2025-06-05,S,W,FD,1,10200,0,N
343,2025-05-04,E,A,BK,1,18000,0.05,R
344,2025-02-08,S,A,FD,1,7300,0.1,R
345,2025-03-26,W,A,TY,2,24100,0,N
346,2025-04-17,N,W,BK,2,18600,0.15,N
347,2025-06-28,E,A,ST,2,13100,0.05,V
348,2025-05-11,S,A,FD,1,7300,0,V
349,2025-04-23,N,W,FD,2,9600,0,R
350,2025-02-01,N,W,FD,2,6800,0,R
351,2025-05-20,E,W,TY,1,24300,0.05,R
352,2025-02-07,N,A,GD,4,43600,0.1,N
353,2025-06-06,S,A,ST,2,17000,0.15,N
354,2025-02-07,S,W,FD,3,9800,0,R
355,2025-04-04,N,A,ST,3,13600,0.2,N
356,2025-05-11,C,S,BK,1,24700,0.1,R
357,2025-03-07,C,A,BK,4,27500,0.05,N
358,2025-06-22,S,A,TY,1,22000,0,N
359,2025-03-22,E,W,GD,1,25600,0,N
360,2025-02-28,C,A,BK,1,21500,0,R
361,2025-05-28,W,W,ST,2,14100,0,R
362,2025-01-06,E,W,BK,1,14500,0,R
363,2025-04-16,N,W,FD,2,10400,0,R
364,2025-03-23,N,W,BK,1,16300,0.2,R
365,2025-01-27,W,S,TY,3,19100,0.15,N
366,2025-02-08,C,A,ST,1,14500,0.05,N
367,2025-03-22,E,S,BK,1,21000,0.05,R
368,2025-06-23,S,S,GD,1,44100,0,R
369,2025-02-21,N,W,GD,3,43400,0,V
370,2025-06-21,S,A,FD,2,8500,0.05,V
371,2025-03-02,E,A,FD,3,6800,0.1,R
372,2025-01-17,W,A,TY,4,21200,0.15,N
373,2025-01-11,C,S,TY,5,36100,0.1,N
374,2025-06-02,N,W,FD,1,8600,0.05,R
375,2025-04-24,W,W,ST,2,14400,0,R
376,2025-01-03,S,A,BK,1,10800,0.05,N
377,2025-05-10,N,W,GD,1,36500,0.2,R
378,2025-03-02,C,W,ST,2,17400,0,R
379,2025-01-02,E,W,GD,1,50300,0,V
380,2025-02-03,E,W,ST,1,14900,0,V
381,2025-05-09,S,A,FD,1,10300,0,V
382,2025-01-12,W,W,ST,3,14400,0.1,N
383,2025-03-15,C,S,BK,1,18400,0.15,V
384,2025-05-22,S,A,GD,1,39200,0.1,V
385,2025-03-23,C,S,FD,5,9200,0,R
386,2025-03-25,N,W,TY,1,31100,0.05,N
387,2025-06-18,S,W,BK,2,18000,0.05,R
388,2025-01-03,S,W,BK,2,19700,0,V
389,2025-05-28,E,A,ST,1,17500,0.2,R
390,2025-05-16,C,W,TY,1,22200,0.05,R
391,2025-06-07,N,A,ST,2,11600,0.05,R
392,2025-05-02,E,W,ST,2,14200,0.05,R
393,2025-02-15,E,W,ST,3,16100,0.05,R
394,2025-03-27,E,S,ST,1,11900,0,N
395,2025-06-02,W,A,ST,1,14400,0.05,R
396,2025-01-26,S,A,BK,1,21700,0.05,R
397,2025-02-28,N,W,TY,1,20900,0,R
398,2025-03-24,W,W,GD,2,47600,0.15,N
399,2025-06-26,S,W,GD,1,40600,0,N
400,2025-05-24,E,W,ST,1,12700,0,N
401,2025-02-24,E,A,ST,1,10700,0,N
402,2025-06-14,C,W,FD,2,8500,0,V
403,2025-06-22,C,W,FD,4,9600,0,R
404,2025-02-05,N,W,BK,1,20000,0,R
405,2025-05-03,N,A,GD,1,41400,0,V
406,2025-04-02,C,A,TY,1,29000,0,V
407,2025-01-05,E,S,BK,3,20400,0,N
408,2025-06-01,E,A,FD,4,9000,0.2,R
409,2025-01-22,W,A,BK,2,20700,0.05,V
410,2025-01-23,C,W,BK,2,19900,0,R
411,2025-01-12,W,A,TY,2,17000,0.15,R
412,2025-05-11,E,W,FD,3,6500,0.2,N
413,2025-01-06,W,W,FD,1,6700,0,N
414,2025-04-11,W,S,ST,2,15900,0.05,N
415,2025-02-28,W,W,ST,3,11600,0.05,V
416,2025-04-14,C,A,FD,3,8700,0,N
417,2025-06-11,N,W,FD,4,6600,0.1,N
418,2025-02-26,E,W,BK,3,14500,0,R
419,2025-03-08,C,W,GD,1,34600,0,R
420,2025-01-24,N,S,TY,2,27600,0.1,N
421,2025-06-10,N,A,BK,1,18300,0,R
422,2025-06-21,C,W,ST,1,10800,0,N
423,2025-01-26,S,W,TY,2,23300,0,N
424,2025-06-25,C,W,FD,2,8500,0,N
425,2025-03-17,C,W,GD,1,55100,0,N
426,2025-04-20,N,A,BK,2,10600,0.05,R
427,2025-03-16,E,S,BK,1,17800,0.05,V
428,2025-03-05,C,W,ST,2,11400,0.15,N
429,2025-05-01,N,S,BK,3,22200,0,N
430,2025-01-14,E,W,GD,1,39300,0.05,N
431,2025-06-27,S,S,ST,5,12900,0.2,V
432,2025-05-15,C,W,FD,3,6300,0,N
433,2025-03-15,N,S,GD,1,50300,0.2,R
434,2025-01-23,E,A,TY,2,24000,0.05,N
435,2025-02-03,E,W,ST,2,17000,0.1,N
436,2025-04-24,W,W,ST,2,11100,0,N
437,2025-02-07,S,A,TY,1,29400,0.15,R
438,2025-05-08,S,W,FD,1,10300,0.1,R
439,2025-05-17,C,A,BK,1,16600,0.1,N
440,2025-04-08,N,A,ST,2,15200,0.1,N
441,2025-02-09,S,S,GD,3,43100,0,N
442,2025-02-09,W,W,GD,3,31800,0.05,V
443,2025-02-28,N,W,FD,1,6300,0.1,N
444,2025-03-28,N,A,ST,1,14300,0.05,N
445,2025-01-14,C,A,FD,1,9300,0,N
446,2025-05-11,W,S,GD,1,46800,0.1,R
447,2025-03-16,N,W,GD,2,49100,0,R
448,2025-06-20,N,A,GD,2,43900,0,N
449,2025-02-10,W,A,ST,2,14200,0.05,R
450,2025-05-01,W,A,ST,1,14500,0.1,N
451,2025-06-08,C,W,FD,2,7200,0.05,R
452,2025-01-08,W,W,GD,2,32200,0.1,R
453,2025-03-22,S,S,TY,4,31000,0.05,N
454,2025-06-08,S,W,BK,1,17400,0.1,V
455,2025-06-27,N,S,TY,1,26400,0.05,V
456,2025-05-05,N,A,BK,1,20700,0,N
457,2025-05-03,N,A,GD,5,39600,0,N
458,2025-04-02,E,W,ST,1,12200,0.1,N
459,2025-04-28,E,A,TY,1,20200,0.15,R
460,2025-04-14,C,W,FD,4,9200,0,N
461,2025-06-14,S,A,GD,1,40800,0.1,N
462,2025-06-16,N,W,BK,1,15600,0,R
463,2025-06-23,S,W,GD,1,33900,0.1,N
464,2025-02-15,S,S,ST,2,14200,0.1,N
465,2025-02-02,E,A,FD,1,8200,0.05,R
466,2025-05-07,N,S,BK,1,19000,0.05,V
467,2025-02-09,N,W,ST,1,14500,0,N
468,2025-01-20,W,W,FD,1,10200,0.05,R
469,2025-05-23,N,S,BK,2,21800,0.2,R
470,2025-01-12,C,A,TY,3,30100,0,R
471,2025-06-28,E,W,GD,1,23400,0.1,V
472,2025-06-16,S,W,ST,1,19500,0,N
473,2025-04-26,S,A,ST,1,15300,0.1,N
474,2025-06-09,C,W,BK,1,12800,0.05,N
475,2025-04-23,N,A,ST,3,8500,0.1,N
476,2025-02-23,E,A,GD,1,41300,0,N
477,2025-02-16,E,A,ST,1,18400,0,R
478,2025-01-17,C,W,ST,4,17700,0,N
479,2025-02-10,N,A,FD,1,10400,0,N
480,2025-06-28,N,A,GD,1,37300,0.1,R
481,2025-05-17,C,W,GD,2,45900,0,N
482,2025-04-10,S,W,FD,4,11600,0.1,N
483,2025-05-28,W,A,FD,2,8600,0,N
484,2025-02-07,S,A,BK,1,16000,0.05,R
485,2025-04-26,W,A,FD,4,8900,0,R
486,2025-04-12,S,W,TY,1,21000,0,N
487,2025-04-11,N,S,FD,2,7800,0,R
488,2025-02-22,C,S,BK,1,16700,0.05,N
489,2025-01-20,N,A,TY,1,28100,0.1,N
490,2025-01-22,N,A,FD,1,7900,0.05,N
491,2025-06-20,N,W,TY,2,28000,0,N
492,2025-05-01,C,W,ST,3,22000,0.05,R
493,2025-02-28,N,W,BK,1,22200,0.05,R
494,2025-01-12,C,W,ST,1,12700,0.05,N
495,2025-03-03,S,S,GD,2,32000,0,N
496,2025-06-06,N,W,ST,1,14200,0.2,N
497,2025-04-12,S,A,FD,2,7600,0.05,R
498,2025-04-05,E,W,BK,1,15800,0,R
499,2025-04-16,N,W,TY,4,21700,0,N
500,2025-02-12,N,W,FD,3,6200,0,R
501,2025-04-20,N,A,GD,3,37800,0.05,R
502,2025-05-07,N,A,ST,1,12300,0,R
503,2025-05-01,N,S,GD,2,38900,0,N
504,2025-02-03,W,W,GD,1,45700,0,N
505,2025-03-14,N,A,ST,1,15700,0,V
506,2025-01-17,S,A,FD,2,9900,0.05,R
507,2025-05-19,C,A,TY,2,32300,0.15,V
508,2025-04-12,N,A,FD,2,8600,0,N
509,2025-03-24,C,A,ST,1,17900,0,R
510,2025-04-08,E,A,BK,1,20900,0,N
511,2025-02-05,C,S,FD,2,10600,0,N
512,2025-06-12,W,W,TY,1,23600,0.05,N
513,2025-03-16,N,S,GD,2,46800,0.05,R
514,2025-06-28,N,A,ST,2,10600,0.2,R
515,2025-04-21,W,S,TY,2,19700,0.15,N
516,2025-04-16,N,A,FD,1,5600,0,R
517,2025-05-16,N,A,GD,1,55000,0.15,R
518,2025-04-07,E,A,ST,1,12800,0,R
519,2025-04-15,E,A,ST,1,13200,0,N
520,2025-03-08,S,S,FD,1,6500,0.05,N
521,2025-05-24,C,A,TY,4,26500,0,N
522,2025-02-09,C,W,BK,1,17400,0.2,N
523,2025-06-05,S,W,GD,2,33100,0.05,R
524,2025-01-26,W,A,GD,1,41100,0,R
525,2025-02-19,E,A,FD,1,11400,0.05,N
526,2025-01-06,C,A,GD,2,31000,0,N
527,2025-06-01,N,W,BK,1,14400,0,N
528,2025-06-27,S,W,BK,1,21400,0,N
529,2025-03-03,C,A,GD,1,39500,0,R
530,2025-03-23,N,A,GD,2,25900,0,N
531,2025-01-26,S,W,FD,1,9200,0.1,V
532,2025-03-26,S,A,TY,3,26100,0.1,R
533,2025-04-02,N,W,ST,4,11700,0,R
