student_id,grade,class_name,math,english,science,attendance_rate,homework_rate,study_hours
S0153,1,C,79,84,94,1.0,0.59,3.6
S0154,2,D,94,92,100,0.97,0.77,4.0
S0155,3,B,91,100,82,0.94,0.71,3.0
S0156,2,B,81,90,89,0.83,0.66,1.0
S0157,2,A,80,67,96,1.0,0.64,0.6
S0158,2,D,100,96,100,0.91,0.97,4.4
S0159,1,A,100,75,78,1.0,0.86,4.1
S0160,3,C,88,95,79,0.81,1.0,3.9
S0161,1,B,92,98,87,0.88,0.97,2.6
S0162,3,A,83,92,100,0.73,0.65,4.3
S0163,3,B,83,83,88,0.91,0.71,2.8
S0164,1,D,99,73,75,0.82,0.75,4.4
S0165,2,B,100,98,80,0.78,0.8,2.3
S0166,3,B,78,100,96,0.88,0.88,0.9
S0167,3,C,95,79,100,0.76,0.74,2.8
S0168,1,A,81,81,92,0.78,0.53,2.8
S0169,3,A,89,73,89,0.97,0.77,4.1
S0170,3,B,86,92,83,0.9,0.74,1.4
S0171,1,A,85,94,88,0.85,0.89,1.6
S0172,1,B,71,74,66,0.87,0.5,1.5
S0173,3,D,75,100,91,0.82,0.82,4.5
S0174,3,B,93,85,74,0.94,0.9,4.1
S0175,3,B,81,72,84,0.85,0.76,1.7
S0176,1,A,77,86,85,0.88,0.59,2.5
S0177,1,B,76,94,96,0.84,0.71,1.4
S0178,1,C,93,78,100,0.89,0.97,0.8
S0179,3,A,86,67,67,0.7,0.42,2.8
S0180,2,D,91,74,72,0.96,0.81,4.0
S0181,2,C,84,74,87,0.95,0.69,2.1
S0182,1,A,78,90,100,0.97,0.75,0.8
S0183,3,B,76,93,90,0.87,0.92,0.6
S0184,2,C,77,91,71,0.86,0.73,2.8
S0185,2,B,74,88,71,0.78,0.54,2.1
S0186,2,C,100,89,96,0.86,0.63,4.5
S0187,1,B,74,78,96,0.72,1.0,1.8
S0188,1,C,74,70,88,0.81,0.84,4.4
S0189,1,D,92,100,85,1.0,0.99,3.4
S0190,2,B,87,81,94,0.96,0.67,1.3
S0191,3,D,75,89,87,0.86,0.71,2.3
S0192,3,C,80,86,89,0.91,0.98,2.2
S0193,2,C,90,87,75,0.81,0.84,1.6
S0194,1,D,74,95,81,0.91,1.0,3.8
S0195,2,B,83,66,87,0.95,0.94,3.6
S0196,2,B,93,81,87,0.87,0.93,2.9
S0197,1,D,79,86,90,0.94,0.82,2.2
S0198,2,B,89,83,97,1.0,0.71,3.4
S0199,1,D,75,74,88,0.73,0.78,3.1
S0200,1,C,77,76,79,0.81,0.88,1.2
S0201,1,B,70,65,73,0.87,0.9,2.5
S0202,3,A,96,79,92,0.97,0.78,4.5
S0203,2,B,95,66,100,0.78,0.76,4.2
S0204,1,C,88,65,100,0.84,0.79,0.6
S0205,3,A,97,86,100,0.95,0.63,1.8
S0206,3,C,91,78,96,0.88,0.64,1.5
S0207,2,B,100,84,87,0.88,0.74,4.0
S0208,3,A,84,88,80,0.78,0.61,1.5
S0209,2,B,79,92,86,0.85,0.62,4.3
S0210,2,D,94,66,77,0.81,0.71,1.3
S0211,3,D,95,87,66,0.94,0.7,2.3
S0212,3,A,92,70,97,0.75,0.94,4.5
S0213,1,A,79,82,100,0.89,0.82,4.5
S0214,3,A,100,83,100,0.95,0.98,2.4
S0215,3,C,92,86,73,0.91,0.64,3.1
S0216,1,B,72,74,78,0.84,0.7,0.8
S0217,3,B,68,93,70,0.81,0.77,3.8
S0218,2,C,70,84,93,0.78,0.55,1.4
S0219,2,B,77,74,84,0.93,0.86,1.2
S0220,3,C,75,89,76,0.79,0.68,3.9
S0221,3,B,94,97,94,0.92,0.76,1.4
S0222,1,B,90,89,83,0.96,1.0,2.1
S0223,2,A,74,86,84,0.75,0.91,3.1
S0224,2,B,100,84,92,0.83,0.96,2.1
S0225,3,A,77,81,84,0.78,0.58,0.5
S0226,2,A,81,88,75,0.74,0.6,3.1
S0227,2,C,92,78,100,0.84,0.76,2.7
S0228,2,B,98,90,80,0.84,0.82,3.1
S0229,2,D,61,71,100,0.84,0.58,4.2
S0230,3,C,74,92,90,1.0,0.35,2.0
S0231,3,A,63,82,82,0.92,0.81,0.7
S0232,2,C,83,85,100,0.96,0.81,3.5
S0233,3,A,87,71,96,0.84,0.7,0.7
S0234,1,D,100,66,84,0.91,0.79,3.0
S0235,3,C,77,71,94,0.85,0.59,3.5
S0236,3,A,81,88,76,0.83,0.99,2.2
S0237,3,D,82,69,88,0.89,0.35,3.3
S0238,2,A,72,81,83,0.88,0.7,0.8
S0239,1,B,97,81,77,0.93,0.99,2.8
S0240,3,B,92,100,87,0.8,0.64,1.4
S0241,1,A,88,90,76,0.84,0.93,0.5
S0242,1,C,79,89,91,0.89,0.9,2.2
S0243,3,B,85,85,87,0.91,0.58,1.1
S0244,1,B,71,78,87,0.81,0.76,1.2
S0245,1,C,76,73,88,0.91,0.93,3.2
S0246,3,C,87,65,67,0.72,0.82,1.2
S0247,1,C,87,87,96,0.94,1.0,1.5
S0248,3,D,78,96,100,0.83,1.0,4.1
S0249,1,D,78,94,100,1.0,0.76,3.1
S0250,3,D,83,80,77,0.86,0.83,0.9
S0251,2,A,73,99,95,1.0,0.83,0.5
S0252,1,C,77,84,80,0.88,0.97,1.8
S0253,1,C,99,100,86,0.91,0.91,1.0
S0254,1,A,79,75,84,0.83,0.63,3.4
S0255,2,A,85,66,100,0.83,0.86,2.6
S0256,1,C,83,90,89,0.99,0.8,3.0
S0257,3,C,83,93,77,0.9,0.52,1.9
S0258,1,D,83,87,89,0.93,0.8,0.9
S0259,1,B,92,83,97,0.83,0.72,2.0
S0260,3,B,83,85,91,0.88,0.85,3.9
S0261,1,C,94,62,77,0.88,0.76,3.3
S0262,3,B,80,90,84,0.9,0.92,1.8
S0263,1,B,85,87,76,1.0,0.71,2.0
S0264,1,A,65,78,74,0.8,0.65,3.9
S0265,2,C,100,86,85,0.95,0.73,3.4
S0266,1,D,87,90,82,0.81,0.75,4.3
S0267,2,B,79,89,87,0.82,0.84,2.8
S0268,2,C,97,97,100,0.98,0.96,2.8
S0269,1,D,83,84,83,0.97,0.65,3.2
S0270,1,C,98,78,68,0.84,0.61,2.1
S0271,2,D,72,63,76,0.86,0.65,4.3
S0272,3,C,56,80,75,0.86,0.61,0.8
S0273,1,D,81,63,100,0.95,0.75,4.1
S0274,1,A,88,100,79,0.86,0.95,1.9
S0275,3,B,92,80,76,1.0,0.59,2.2
S0276,2,D,83,85,98,0.94,0.63,4.5
S0277,1,C,92,78,96,0.85,0.97,4.2
S0278,3,D,83,76,84,1.0,0.67,4.4
S0279,3,B,82,79,85,0.92,0.7,2.2
S0280,1,B,86,94,89,0.9,0.89,1.0
S0281,3,C,95,82,100,0.92,0.84,3.8
S0282,1,C,77,75,81,0.79,0.94,0.6
S0283,3,B,60,83,82,0.98,0.5,3.6
S0284,3,A,91,100,91,0.78,0.86,3.1
S0285,1,C,82,76,67,0.99,0.8,2.0
S0286,1,A,100,85,70,0.88,0.77,2.3
S0287,3,A,82,91,79,0.85,0.68,0.8
S0288,1,D,86,83,81,0.89,0.8,1.7
S0289,1,D,92,82,86,0.9,0.91,2.4
S0290,1,C,82,85,86,0.95,0.77,4.3
S0291,1,B,81,86,75,0.94,0.94,4.1
S0292,3,A,82,71,89,0.79,0.94,2.7
S0293,3,B,85,79,90,0.85,0.9,0.5
S0294,2,A,100,67,61,0.79,0.86,1.2
S0295,2,D,71,83,100,0.74,0.77,3.2
S0296,2,C,75,87,100,0.88,0.88,3.3
S0297,2,C,79,77,87,0.75,0.73,2.6
S0298,3,C,79,100,79,0.76,0.99,0.6
S0299,1,B,62,86,86,0.76,0.83,1.1
S0300,1,C,72,72,62,0.82,0.7,3.3
S0301,3,D,83,89,83,0.81,0.8,4.1
S0302,2,D,77,81,100,0.81,0.45,4.3
S0303,1,A,90,79,91,1.0,0.87,3.4
S0304,2,D,84,76,94,0.88,0.92,3.7
S0305,2,B,68,90,82,0.92,0.95,4.3
S0306,1,D,72,77,85,0.82,0.65,1.0
S0307,2,A,98,82,82,0.86,0.72,3.9
S0308,2,C,100,87,89,0.8,0.84,1.1
S0309,1,B,82,83,87,0.89,0.77,4.3
S0310,2,A,74,100,76,0.75,1.0,3.8
S0311,2,A,77,72,74,1.0,0.93,3.3
S0312,2,A,100,100,95,1.0,0.75,3.9
S0313,1,B,89,68,82,0.99,0.5,4.0
S0314,2,C,96,88,69,0.88,0.88,1.8
S0315,1,A,84,63,92,0.82,0.93,1.8
S0316,2,D,86,76,86,0.84,0.62,3.9
S0317,1,C,75,63,82,0.68,0.62,0.6
S0318,2,B,96,100,100,0.97,0.93,2.7
S0319,2,B,93,100,86,0.94,1.0,2.7
S0320,2,B,82,72,78,0.87,0.61,0.6
S0321,2,D,98,97,92,0.83,0.88,1.1
S0322,2,C,81,77,77,0.92,0.79,3.0
S0323,2,B,70,84,83,0.72,0.72,1.5
S0324,2,B,92,81,90,0.8,1.0,1.4
S0325,3,B,90,76,77,0.91,0.93,2.2
S0326,1,A,85,70,94,1.0,0.54,2.3
S0327,1,C,94,71,87,0.85,0.75,3.6
S0328,1,A,83,83,80,0.84,0.76,3.3
S0329,2,D,100,71,95,0.86,0.84,3.4
S0330,2,B,94,77,100,0.96,0.79,4.4
S0331,1,D,74,84,88,0.87,0.7,4.3
S0332,3,C,85,81,86,0.78,1.0,2.8
S0333,2,C,77,70,74,0.78,0.89,0.9
S0334,2,D,90,98,97,0.94,0.9,1.5
S0335,2,C,74,81,100,0.71,0.57,2.7
S0336,3,B,87,93,70,0.96,0.63,3.1
S0337,3,C,92,83,84,0.87,0.7,2.2
S0338,3,A,88,80,85,1.0,0.91,1.6
S0339,2,C,74,82,90,0.81,0.69,2.1
S0340,3,C,83,52,79,0.82,0.8,4.1
S0341,3,D,88,100,81,0.93,0.91,2.8
S0342,2,D,94,100,82,0.91,0.61,1.6
S0343,2,A,80,72,73,0.64,0.88,2.4
S0344,1,C,77,100,85,0.83,1.0,2.2
S0345,2,C,77,51,80,0.95,0.67,4.3
S0346,1,D,92,89,84,0.95,0.78,4.1
S0347,1,D,83,99,70,0.8,0.76,2.8
S0348,1,A,70,81,78,0.91,0.78,2.1
S0349,2,A,72,84,100,0.82,0.99,3.8
S0350,2,A,87,85,97,0.93,0.94,1.9
S0351,1,A,61,100,97,0.94,0.81,0.6
S0352,2,C,100,100,74,1.0,0.79,1.9
S0353,1,A,84,96,100,1.0,0.65,3.3
S0354,1,A,77,75,86,0.79,0.72,3.9
S0355,2,D,84,100,85,0.89,0.98,1.0
S0356,3,D,92,98,92,0.9,1.0,2.7
S0357,2,A,97,82,90,0.77,0.81,2.2
S0358,3,B,78,100,93,0.9,0.73,2.7
S0359,3,B,70,87,98,0.82,0.75,1.0
S0360,3,D,76,71,100,0.9,0.67,2.8
S0361,3,B,81,82,79,0.83,0.82,1.2
S0362,2,C,94,100,99,0.81,0.87,0.6
S0363,1,A,80,85,93,0.87,0.75,2.3
S0364,3,C,92,86,100,0.98,0.81,0.9
S0365,1,C,77,84,88,0.79,0.96,0.6
S0366,3,A,100,97,83,0.78,1.0,2.5
S0367,3,C,84,84,80,0.85,0.85,2.5
S0368,1,D,72,83,87,0.93,0.51,4.3
S0369,2,B,88,81,82,0.83,0.91,3.8
S0370,2,B,62,72,76,0.75,0.8,3.1
S0371,1,C,83,69,89,0.81,0.97,3.3
S0372,2,D,78,100,81,0.85,0.71,3.8
S0373,2,B,74,77,84,0.95,0.7,3.7
S0374,3,C,100,75,86,0.72,0.76,4.3
S0375,2,B,59,92,94,0.88,0.41,3.3
S0376,2,C,78,81,83,0.94,0.7,2.2
S0377,3,B,98,80,100,0.93,0.89,2.5
S0378,3,A,78,95,96,0.88,1.0,4.0
S0379,2,A,54,85,83,0.78,0.35,0.9
S0380,3,D,76,89,80,0.83,0.84,1.9
S0381,1,B,90,74,86,0.93,0.84,3.3
S0382,3,A,82,95,90,0.91,0.88,3.4
S0383,1,D,92,98,72,0.98,0.8,1.8
S0384,3,D,92,92,95,0.78,0.8,3.8
S0385,1,A,94,85,88,0.89,0.87,2.9
S0386,2,A,100,83,95,1.0,0.67,3.7
S0387,2,B,82,87,90,0.94,0.82,3.9
S0388,1,A,98,90,90,0.95,0.79,1.0
S0389,2,D,90,99,80,0.82,0.96,4.1
S0390,2,D,77,77,96,0.83,0.7,4.3
S0391,3,B,84,75,93,0.82,0.79,2.3
S0392,3,A,90,100,73,0.94,0.84,3.8
S0393,1,C,80,84,78,0.91,0.6,3.9
S0394,1,C,97,77,91,0.85,0.86,0.7
S0395,1,C,71,53,58,0.91,0.43,0.8
S0396,1,C,91,83,69,0.98,0.39,1.0
S0397,1,C,92,100,93,0.94,0.78,1.6
S0398,1,C,69,92,90,0.83,0.7,1.0
S0399,2,B,89,77,88,0.82,0.91,3.3
S0400,3,C,62,85,69,0.81,0.46,0.9
S0401,3,C,100,86,87,0.97,0.8,2.0
S0402,1,B,73,87,80,0.98,0.76,1.7
S0403,1,C,100,86,66,0.94,0.84,4.4
S0404,1,B,84,76,97,0.88,0.82,4.0
S0405,2,A,70,88,82,0.88,0.8,1.2
S0406,1,B,91,67,84,0.73,0.72,0.6
S0407,3,A,74,78,100,0.88,0.61,1.3
S0408,3,D,85,100,88,0.9,0.92,2.1
S0409,3,A,84,100,97,1.0,0.79,0.8
S0410,1,A,88,88,81,0.89,0.78,3.7
S0411,3,B,77,83,91,0.9,0.76,1.9
S0412,1,B,80,100,90,0.93,0.64,2.1
S0413,1,B,95,84,92,0.93,0.91,2.8
S0414,1,B,95,81,77,0.86,0.79,1.4
S0415,2,A,79,84,75,0.87,1.0,2.4
S0416,2,C,99,90,75,0.94,0.71,1.2
S0417,3,C,81,62,71,0.87,0.45,1.2
S0418,2,A,77,100,98,0.88,1.0,1.6
S0419,1,C,71,84,98,0.91,0.98,1.6
S0420,1,D,77,72,87,0.8,0.72,2.4
S0421,1,D,76,88,72,0.77,0.77,4.4
S0422,3,D,91,100,89,0.96,1.0,0.8
S0423,1,B,89,89,82,0.9,0.62,4.4
S0424,1,A,79,85,81,0.71,0.69,2.5
S0425,2,C,100,74,86,0.99,0.82,4.1
S0426,2,B,87,59,85,0.84,0.68,2.0
S0427,2,B,83,79,98,0.81,0.75,1.8
S0428,1,D,82,85,81,0.97,0.62,3.7
S0429,2,A,88,85,78,0.85,0.72,1.7
S0430,3,D,100,93,81,1.0,0.81,1.6
S0431,1,B,90,97,96,0.82,0.67,3.0
S0432,2,A,100,74,87,0.88,0.58,2.2
S0433,3,B,77,95,72,0.77,0.65,3.5
S0434,3,B,86,91,83,0.98,0.81,4.4
S0435,1,B,81,86,77,0.93,0.91,3.1
S0436,3,A,94,87,73,0.83,0.71,1.1
S0437,3,A,78,100,100,0.88,0.98,2.3
S0438,3,B,97,82,100,0.84,0.85,1.3
S0439,1,B,100,100,97,0.94,0.82,3.3
S0440,3,D,85,84,73,0.9,0.61,0.9
S0441,1,C,77,94,73,0.81,0.8,4.2
S0442,1,A,100,79,99,0.87,0.91,3.5
S0443,3,A,93,99,77,0.88,0.82,1.2
S0444,2,D,100,83,74,0.81,0.61,4.4
S0445,3,B,82,67,83,0.79,0.57,1.3
S0446,1,B,70,80,70,0.87,0.85,4.1
S0447,1,A,84,95,75,1.0,0.84,2.1
S0448,2,D,77,81,76,0.88,0.69,0.6
S0449,1,A,83,72,63,0.75,0.85,3.9
S0450,2,A,95,78,98,0.9,0.93,4.1
S0451,3,D,97,77,80,0.92,0.7,1.5
S0452,1,C,90,73,94,0.95,0.6,4.1
S0453,1,C,87,76,75,0.76,0.84,0.6
S0454,1,A,69,76,100,0.73,1.0,2.8
S0455,1,B,95,79,82,0.89,0.81,3.6
S0456,1,D,81,92,87,0.99,0.63,2.8
S0457,2,D,82,91,91,0.87,0.82,2.6
S0458,3,B,84,72,88,0.82,0.82,1.2
S0459,3,D,88,88,92,0.93,0.61,0.8
S0460,3,D,85,66,86,0.84,0.73,1.2
S0461,1,C,89,93,92,0.75,0.86,2.2
S0462,1,A,89,77,90,0.76,0.69,3.9
S0463,3,A,81,86,86,0.79,0.73,2.5
S0464,2,C,98,94,96,0.97,0.41,1.1
S0465,2,C,76,83,83,0.83,0.91,2.1
S0466,2,C,85,86,79,0.83,0.93,1.4
S0467,2,A,76,85,75,0.88,0.7,3.7
S0468,2,B,68,85,82,0.91,1.0,4.4
S0469,2,D,87,77,88,0.82,0.72,2.7
S0470,2,C,83,71,86,0.89,0.57,4.3
S0471,2,C,89,95,68,0.86,0.71,2.7
S0472,2,C,86,86,78,0.83,0.94,1.8
S0473,3,C,99,91,92,0.94,0.49,1.5
S0474,2,C,73,85,83,0.85,0.69,2.8
S0475,3,D,82,82,75,0.77,0.69,0.5
S0476,2,C,95,93,77,0.77,0.95,0.6
S0477,1,A,81,77,87,0.95,0.73,3.3
S0478,3,B,85,81,84,0.88,0.98,1.7
S0479,2,D,100,78,83,0.77,0.76,4.1
S0480,2,A,96,96,99,0.8,0.74,2.8
