roll_num,die1,die2,total
280,3,4,7
281,3,6,9
282,5,4,9
283,5,1,6
284,6,6,12
285,2,1,3
286,3,5,8
287,6,5,11
288,6,2,8
289,3,3,6
290,5,5,10
291,6,6,12
292,1,5,6
293,2,2,4
294,2,5,7
295,1,1,2
296,6,4,10
297,4,4,8
298,2,6,8
299,4,6,10
300,5,1,6
301,3,2,5
302,3,2,5
303,4,6,10
304,1,3,4
305,3,1,4
306,1,5,6
307,1,2,3
308,4,5,9
309,4,6,10
310,3,3,6
311,2,4,6
312,3,5,8
313,3,5,8
314,5,6,11
315,6,6,12
316,1,2,3
317,2,2,4
318,2,4,6
319,3,3,6
320,2,5,7
321,5,6,11
322,4,3,7
323,3,1,4
324,2,4,6
325,3,4,7
326,2,2,4
327,5,1,6
328,2,4,6
329,6,2,8
330,6,1,7
331,6,3,9
332,3,6,9
333,2,1,3
334,6,3,9
335,5,3,8
336,1,5,6
337,1,5,6
338,2,6,8
339,3,1,4
340,3,4,7
341,2,4,6
342,3,5,8
343,4,2,6
344,4,6,10
345,1,3,4
346,2,5,7
347,3,4,7
348,6,6,12
349,4,4,8
350,1,3,4
351,1,1,2
352,1,1,2
353,4,2,6
354,1,4,5
355,2,5,7
356,6,4,10
357,2,5,7
358,5,1,6
359,2,6,8
360,2,5,7
361,6,2,8
362,2,4,6
363,1,1,2
364,6,4,10
365,4,6,10
366,5,3,8
367,6,6,12
368,1,2,3
369,5,2,7
370,5,6,11
371,1,4,5
372,5,5,10
373,3,2,5
374,4,5,9
375,1,4,5
376,5,2,7
377,3,5,8
378,3,1,4
379,4,6,10
380,3,1,4
381,3,2,5
382,2,3,5
383,5,4,9
384,3,2,5
385,1,2,3
386,3,6,9
387,1,1,2
388,3,2,5
389,2,5,7
390,2,1,3
391,1,3,4
392,4,2,6
393,1,6,7
394,5,1,6
395,5,4,9
396,2,1,3
397,4,6,10
398,1,5,6
399,6,3,9
400,6,4,10
401,4,1,5
402,4,5,9
403,5,5,10
404,4,1,5
405,2,4,6
406,2,1,3
407,3,5,8
408,4,3,7
409,1,3,4
410,6,4,10
411,6,6,12
412,3,6,9
413,1,5,6
414,5,2,7
415,6,1,7
416,3,6,9
417,4,4,8
418,1,1,2
419,4,6,10
420,3,4,7
421,2,6,8
422,5,1,6
423,5,4,9
424,3,3,6
425,3,3,6
426,1,6,7
427,2,2,4
428,5,2,7
429,1,4,5
430,5,5,10
431,2,1,3
432,3,3,6
433,3,6,9
434,6,2,8
435,3,1,4
436,3,4,7
437,6,6,12
438,3,6,9
439,3,5,8
440,2,2,4
441,6,4,10
442,1,6,7
443,2,5,7
444,1,3,4
445,4,5,9
446,3,2,5
447,2,2,4
448,6,3,9
449,1,4,5
450,5,5,10
451,4,5,9
452,2,4,6
453,4,4,8
454,5,4,9
455,3,5,8
456,5,3,8
457,1,3,4
458,1,1,2
459,5,5,10
460,4,4,8
461,3,6,9
462,1,3,4
463,4,6,10
464,2,3,5
465,4,4,8
466,1,3,4
467,6,2,8
468,2,1,3
469,1,6,7
470,3,5,8
471,5,1,6
472,6,6,12
473,5,3,8
474,6,2,8
475,5,5,10
476,4,2,6
477,1,4,5
478,2,5,7
479,6,1,7
480,3,2,5
481,3,5,8
482,1,5,6
483,3,2,5
484,1,6,7
485,6,2,8
486,2,5,7
487,2,5,7
488,4,2,6
489,1,4,5
490,2,6,8
491,5,6,11
492,3,6,9
493,5,5,10
494,2,4,6
495,3,4,7
496,3,4,7
497,5,5,10
498,2,5,7
499,2,2,4
500,4,2,6
501,6,6,12
502,1,3,4
503,5,1,6
504,6,3,9
505,2,3,5
506,4,5,9
507,6,2,8
508,1,4,5
509,5,6,11
510,3,4,7
511,5,3,8
512,1,3,4
513,2,2,4
514,6,6,12
515,6,2,8
516,6,6,12
517,4,2,6
518,1,2,3
519,6,1,7
520,4,3,7
521,6,6,12
522,2,2,4
523,6,5,11
524,2,5,7
525,4,5,9
526,3,4,7
527,3,5,8
528,1,5,6
529,5,3,8
530,2,6,8
531,6,6,12
532,3,6,9
533,6,3,9
534,1,6,7
535,3,3,6
536,3,6,9
537,2,6,8
538,2,1,3
539,5,3,8
540,4,6,10
541,1,1,2
542,4,5,9
543,3,2,5
544,5,6,11
545,6,5,11
546,3,4,7
547,4,4,8
548,5,3,8
549,6,3,9
550,4,3,7
551,3,5,8
552,2,4,6
553,5,3,8
554,1,5,6
555,6,6,12
556,6,4,10
557,3,4,7
558,3,1,4
559,6,3,9
560,6,5,11
561,1,5,6
562,3,4,7
563,6,6,12
564,5,2,7
565,1,1,2
566,4,1,5
567,2,6,8
568,5,1,6
569,2,3,5
570,6,4,10
571,6,6,12
572,6,1,7
573,6,4,10
574,1,5,6
575,5,5,10
576,4,3,7
577,4,2,6
578,4,3,7
579,5,5,10
580,1,6,7
581,3,4,7
582,4,3,7
583,3,2,5
584,2,3,5
585,4,5,9
586,5,2,7
587,5,5,10
588,2,3,5
589,1,5,6
590,4,5,9
591,5,2,7
592,1,4,5
593,1,2,3
594,5,2,7
595,4,3,7
596,3,3,6
597,4,6,10
598,4,2,6
599,4,3,7
600,2,6,8
601,3,4,7
602,6,3,9
603,2,3,5
604,6,5,11
605,4,4,8
606,2,5,7
607,4,5,9
608,5,2,7
609,5,1,6
610,5,4,9
611,5,6,11
612,1,4,5
613,1,6,7
614,4,4,8
615,5,5,10
616,5,6,11
617,4,5,9
618,3,3,6
619,1,1,2
620,6,2,8
621,4,4,8
622,6,4,10
623,5,6,11
624,3,6,9
625,6,6,12
626,3,4,7
627,4,5,9
628,4,6,10
629,5,4,9
630,2,3,5
631,4,4,8
632,3,1,4
633,1,6,7
634,3,2,5
635,3,5,8
636,1,4,5
637,2,3,5
638,1,6,7
639,5,3,8
640,6,4,10
641,6,4,10
642,1,1,2
643,2,4,6
644,2,3,5
645,5,5,10
646,4,4,8
647,3,6,9
648,6,2,8
649,3,3,6
650,1,2,3
651,4,2,6
652,6,1,7
653,4,6,10
654,2,2,4
655,5,1,6
656,6,1,7
657,5,1,6
658,6,1,7
659,3,6,9
660,5,4,9
661,6,6,12
662,5,3,8
663,3,6,9
664,4,3,7
665,3,6,9
666,5,1,6
667,3,5,8
668,2,5,7
669,2,2,4
670,5,4,9
671,3,3,6
672,4,3,7
673,4,3,7
674,2,3,5
675,5,1,6
676,6,2,8
677,6,5,11
678,5,5,10
679,3,6,9
680,6,1,7
681,5,5,10
682,3,2,5
683,3,6,9
684,2,5,7
685,4,3,7
686,5,2,7
687,5,2,7
688,3,5,8
689,3,5,8
690,1,5,6
691,1,2,3
692,6,5,11
693,6,6,12
694,6,2,8
695,6,3,9
696,1,5,6
697,2,5,7
698,4,1,5
699,1,3,4
700,2,2,4
701,4,2,6
702,5,2,7
703,2,5,7
704,6,6,12
705,6,4,10
706,6,4,10
707,4,2,6
708,6,6,12
709,6,4,10
710,4,2,6
711,1,2,3
712,1,2,3
713,6,4,10
714,4,5,9
715,3,6,9
716,1,3,4
717,6,4,10
718,4,4,8
719,4,5,9
720,4,1,5
721,5,3,8
722,4,5,9
723,2,5,7
724,1,1,2
725,5,1,6
726,4,1,5
727,6,2,8
728,5,6,11
729,6,2,8
730,5,2,7
731,2,3,5
732,6,4,10
733,2,6,8
734,3,2,5
735,3,5,8
736,2,5,7
737,3,1,4
738,6,3,9
739,1,4,5
740,4,6,10
741,5,1,6
742,6,6,12
743,5,6,11
744,5,3,8
745,5,1,6
746,2,6,8
747,1,1,2
748,3,6,9
749,3,4,7
750,2,3,5
751,2,6,8
752,2,5,7
753,1,5,6
754,2,1,3
755,6,5,11
756,4,2,6
757,6,5,11
758,6,6,12
759,5,6,11
760,2,4,6
761,4,6,10
762,3,1,4
763,1,4,5
764,6,2,8
765,5,3,8
766,2,5,7
767,4,2,6
768,4,2,6
769,3,4,7
770,5,6,11
771,5,3,8
772,6,2,8
773,1,4,5
774,1,5,6
775,2,5,7
776,6,6,12
777,2,5,7
778,6,6,12
779,1,1,2
780,3,2,5
781,5,2,7
782,4,1,5
783,5,1,6
784,3,1,4
785,4,2,6
786,1,4,5
787,6,5,11
788,5,4,9
789,2,3,5
790,1,6,7
791,6,2,8
792,2,4,6
793,1,5,6
794,5,3,8
795,1,1,2
796,6,6,12
797,2,5,7
798,1,4,5
799,2,5,7
800,3,3,6
801,1,4,5
802,5,3,8
803,6,2,8
804,3,1,4
805,3,5,8
806,6,1,7
807,6,5,11
808,3,5,8
809,1,1,2
810,2,2,4
811,2,2,4
812,4,1,5
813,2,3,5
814,2,5,7
815,6,3,9
816,3,5,8
817,1,1,2
818,4,3,7
819,3,1,4
820,4,2,6
821,4,6,10
822,2,4,6
823,2,4,6
824,1,2,3
825,2,2,4
826,6,3,9
827,1,4,5
828,5,3,8
829,3,5,8
830,1,6,7
831,1,3,4
832,5,4,9
833,2,6,8
834,2,1,3
835,6,5,11
836,5,1,6
837,5,4,9
838,6,2,8
839,2,6,8
840,3,1,4
841,6,1,7
842,2,4,6
843,5,5,10
844,4,2,6
845,5,1,6
846,2,1,3
847,5,5,10
848,5,4,9
849,3,5,8
850,6,6,12
851,1,5,6
852,3,3,6
853,5,4,9
854,4,3,7
855,3,6,9
856,2,5,7
857,1,6,7
858,3,2,5
859,5,5,10
860,1,4,5
861,2,5,7
862,3,5,8
863,5,6,11
864,5,3,8
865,4,3,7
866,5,5,10
867,3,2,5
868,6,5,11
869,6,1,7
870,6,6,12
871,3,6,9
872,2,6,8
873,5,6,11
874,6,1,7
875,6,5,11
876,2,5,7
877,4,5,9
878,4,5,9
879,6,2,8
880,3,6,9
881,6,4,10
882,3,6,9
883,5,5,10
884,2,3,5
885,6,2,8
886,2,3,5
887,3,4,7
888,1,4,5
889,2,1,3
890,1,5,6
891,2,1,3
892,4,5,9
893,6,1,7
894,5,5,10
895,6,2,8
896,1,4,5
897,3,2,5
898,3,4,7
899,6,1,7
900,1,6,7
901,4,2,6
902,6,2,8
903,2,4,6
904,5,3,8
905,4,1,5
906,3,2,5
907,5,4,9
908,6,6,12
909,3,1,4
910,3,4,7
911,3,3,6
912,1,3,4
913,6,4,10
914,4,3,7
915,1,5,6
916,3,2,5
917,6,4,10
918,6,5,11
919,6,2,8
920,6,4,10
921,2,6,8
922,1,1,2
923,4,4,8
924,2,3,5
925,6,6,12
926,1,6,7
927,3,3,6
928,1,3,4
929,4,2,6
930,1,3,4
931,5,6,11
932,3,3,6
933,3,3,6
934,5,3,8
935,5,6,11
936,6,3,9
937,5,1,6
938,6,6,12
939,6,1,7
940,2,3,5
941,4,1,5
942,6,2,8
943,2,1,3
944,5,5,10
945,2,4,6
946,5,2,7
947,5,5,10
948,4,6,10
949,3,5,8
950,3,1,4
951,5,4,9
952,5,4,9
953,2,2,4
954,2,1,3
955,5,2,7
956,4,4,8
957,5,5,10
958,1,5,6
959,2,6,8
960,3,3,6
961,6,6,12
962,4,3,7
963,1,5,6
964,5,3,8
965,1,2,3
966,1,3,4
967,3,6,9
968,1,1,2
969,2,2,4
970,2,4,6
971,1,4,5
972,4,1,5
973,1,4,5
974,5,2,7
975,3,4,7
976,3,6,9
977,5,6,11
978,1,5,6
979,5,3,8
980,4,2,6
981,5,2,7
982,6,5,11
983,5,5,10
984,1,5,6
985,2,4,6
986,3,6,9
987,3,4,7
988,3,2,5
989,6,1,7
990,1,4,5
991,5,5,10
992,2,1,3
993,3,6,9
994,2,4,6
995,2,4,6
996,3,3,6
997,3,6,9
998,3,4,7
999,6,5,11
1000,2,1,3
1001,5,1,6
1002,3,5,8
1003,3,4,7
1004,3,1,4
1005,5,1,6
1006,1,2,3
1007,6,2,8
1008,4,5,9
1009,2,3,5
1010,4,2,6
1011,4,5,9
1012,4,5,9
1013,6,2,8
1014,2,4,6
1015,4,3,7
1016,5,6,11
1017,6,1,7
1018,4,2,6
1019,2,2,4
1020,1,6,7
1021,4,5,9
1022,2,5,7
1023,5,1,6
1024,1,2,3
1025,4,4,8
1026,6,4,10
1027,4,1,5
1028,6,1,7
1029,4,5,9
1030,6,5,11
1031,6,3,9
1032,6,5,11
1033,3,1,4
1034,5,4,9
1035,1,6,7
1036,6,1,7
1037,1,4,5
1038,6,3,9
1039,4,5,9
1040,1,3,4
1041,3,5,8
1042,6,1,7
1043,4,5,9
1044,2,4,6
1045,6,6,12
1046,4,3,7
1047,6,3,9
1048,3,2,5
1049,4,4,8
1050,6,6,12
1051,6,2,8
1052,2,2,4
1053,2,1,3
1054,1,6,7
1055,3,5,8
1056,6,6,12
1057,5,5,10
1058,5,5,10
1059,4,2,6
1060,1,4,5
1061,5,4,9
1062,3,3,6
1063,2,1,3
1064,3,1,4
1065,1,3,4
1066,2,3,5
1067,6,5,11
1068,2,4,6
1069,1,5,6
1070,2,4,6
1071,5,5,10
1072,1,2,3
1073,3,2,5
1074,4,4,8
1075,6,1,7
1076,6,5,11
1077,4,6,10
1078,5,6,11
1079,5,4,9
1080,2,2,4
1081,5,3,8
1082,1,3,4
1083,3,2,5
1084,5,6,11
1085,5,4,9
1086,6,2,8
1087,6,1,7
1088,3,6,9
1089,2,6,8
1090,2,1,3
1091,2,5,7
1092,2,2,4
1093,6,2,8
1094,1,6,7
1095,3,3,6
1096,3,1,4
1097,1,3,4
1098,2,2,4
1099,3,6,9
1100,5,4,9
1101,1,4,5
1102,1,6,7
1103,4,2,6
1104,6,3,9
1105,5,1,6
1106,6,2,8
1107,3,2,5
1108,1,1,2
1109,5,2,7
1110,1,6,7
1111,2,2,4
1112,6,1,7
1113,3,3,6
1114,5,2,7
1115,4,1,5
1116,5,3,8
1117,4,4,8
1118,3,2,5
1119,3,4,7
1120,5,2,7
1121,1,5,6
1122,3,6,9
1123,1,2,3
1124,2,1,3
1125,4,3,7
1126,4,1,5
1127,4,5,9
1128,2,1,3
1129,2,5,7
1130,1,4,5
1131,4,4,8
1132,5,4,9
1133,6,1,7
1134,5,3,8
1135,1,5,6
1136,5,5,10
1137,4,3,7
1138,6,3,9
1139,5,3,8
1140,5,5,10
1141,4,5,9
1142,5,6,11
1143,1,5,6
1144,1,2,3
1145,2,2,4
1146,5,4,9
1147,5,1,6
1148,3,3,6
1149,6,5,11
1150,3,3,6
1151,2,5,7
1152,4,2,6
1153,1,4,5
1154,2,2,4
1155,5,6,11
1156,3,3,6
1157,3,1,4
1158,2,1,3
1159,4,3,7
1160,3,2,5
1161,5,4,9
1162,2,5,7
1163,5,1,6
1164,3,2,5
1165,1,1,2
1166,2,5,7
1167,3,1,4
1168,3,3,6
1169,4,5,9
1170,2,6,8
1171,2,1,3
1172,5,2,7
1173,1,2,3
1174,3,4,7
1175,5,1,6
1176,3,3,6
1177,6,5,11
1178,5,1,6
1179,1,3,4
1180,3,6,9
1181,1,5,6
1182,5,1,6
1183,4,4,8
1184,5,3,8
1185,6,5,11
1186,3,3,6
1187,2,2,4
1188,6,5,11
1189,6,4,10
1190,1,5,6
1191,1,3,4
1192,2,6,8
1193,1,1,2
1194,3,4,7
1195,1,2,3
1196,5,4,9
1197,2,2,4
1198,4,5,9
1199,1,5,6
1200,3,5,8
1201,1,4,5
1202,6,6,12
1203,4,4,8
1204,5,4,9
1205,6,4,10
1206,2,6,8
1207,4,2,6
1208,2,4,6
1209,4,1,5
1210,2,5,7
1211,1,6,7
1212,1,4,5
1213,6,5,11
1214,1,3,4
1215,6,2,8
1216,6,4,10
1217,4,1,5
1218,2,3,5
1219,1,5,6
1220,2,6,8
1221,2,1,3
1222,3,5,8
1223,1,3,4
1224,6,2,8
1225,2,4,6
1226,1,5,6
1227,4,1,5
1228,4,5,9
1229,1,2,3
1230,4,3,7
1231,6,6,12
1232,6,3,9
1233,6,2,8
1234,3,4,7
1235,5,6,11
1236,2,3,5
1237,3,6,9
1238,1,2,3
1239,5,6,11
1240,1,1,2
1241,1,2,3
1242,1,4,5
1243,4,2,6
1244,4,5,9
1245,6,4,10
1246,6,3,9
1247,3,3,6
1248,1,3,4
1249,2,6,8
1250,6,2,8
1251,3,5,8
1252,4,3,7
1253,4,2,6
1254,2,6,8
1255,4,3,7
1256,4,3,7
1257,6,1,7
1258,4,4,8
1259,4,1,5
1260,1,2,3
1261,4,4,8
1262,6,5,11
1263,1,2,3
1264,6,4,10
1265,1,4,5
1266,5,2,7
1267,3,3,6
1268,2,3,5
1269,5,3,8
1270,4,1,5
1271,6,4,10
1272,3,3,6
1273,1,2,3
1274,1,5,6
1275,4,2,6
1276,2,3,5
1277,3,2,5
1278,5,1,6
1279,4,2,6
1280,2,3,5
1281,5,4,9
1282,2,4,6
1283,2,1,3
1284,5,2,7
1285,1,1,2
1286,3,4,7
1287,5,6,11
1288,4,6,10
1289,4,2,6
1290,6,6,12
1291,4,2,6
1292,6,1,7
1293,1,6,7
1294,1,1,2
1295,4,2,6
1296,5,6,11
1297,1,1,2
1298,5,2,7
1299,3,6,9
1300,1,3,4
1301,5,1,6
1302,6,6,12
1303,6,2,8
1304,5,2,7
1305,5,5,10
1306,2,1,3
1307,3,3,6
1308,5,3,8
1309,4,5,9
1310,6,6,12
1311,4,3,7
1312,4,3,7
1313,3,1,4
1314,3,2,5
1315,2,2,4
1316,1,6,7
1317,3,3,6
1318,4,1,5
1319,1,2,3
1320,3,3,6
1321,5,2,7
1322,2,6,8
1323,5,5,10
1324,4,3,7
1325,5,2,7
1326,4,3,7
1327,6,4,10
1328,1,6,7
1329,5,2,7
1330,4,6,10
1331,1,2,3
1332,6,3,9
1333,6,5,11
1334,2,6,8
1335,1,3,4
1336,6,3,9
1337,5,3,8
1338,4,5,9
1339,5,2,7
1340,4,1,5
1341,4,2,6
1342,4,6,10
1343,3,6,9
1344,3,5,8
1345,5,1,6
1346,2,2,4
1347,6,6,12
1348,2,5,7
1349,1,3,4
1350,5,4,9
1351,4,3,7
1352,6,2,8
1353,4,1,5
1354,2,3,5
1355,1,1,2
1356,6,6,12
1357,6,3,9
1358,5,6,11
1359,1,1,2
1360,5,3,8
1361,6,3,9
1362,5,3,8
1363,2,5,7
1364,5,3,8
1365,5,1,6
1366,2,5,7
1367,4,4,8
1368,4,2,6
1369,3,5,8
1370,4,2,6
1371,1,4,5
1372,4,1,5
1373,3,6,9
1374,2,5,7
1375,5,5,10
1376,4,2,6
1377,4,2,6
1378,3,1,4
1379,1,1,2
1380,6,2,8
1381,2,3,5
1382,2,3,5
1383,3,5,8
1384,1,1,2
1385,3,4,7
1386,3,2,5
1387,5,3,8
1388,3,1,4
1389,2,4,6
1390,3,6,9
1391,6,3,9
1392,3,2,5
1393,1,3,4
1394,1,1,2
1395,2,4,6
1396,2,5,7
1397,2,1,3
1398,3,4,7
1399,6,4,10
1400,6,5,11
1401,1,2,3
1402,4,6,10
1403,3,6,9
1404,5,6,11
1405,1,6,7
1406,6,2,8
1407,4,5,9
1408,5,6,11
1409,4,6,10
1410,1,5,6
1411,2,6,8
1412,2,3,5
1413,3,4,7
1414,1,6,7
1415,4,3,7
1416,5,1,6
1417,4,5,9
1418,5,2,7
1419,2,6,8
1420,5,1,6
1421,4,5,9
1422,4,1,5
1423,6,4,10
1424,4,4,8
1425,5,1,6
1426,4,5,9
1427,1,1,2
1428,5,4,9
1429,3,2,5
1430,5,2,7
1431,5,1,6
1432,2,3,5
1433,2,3,5
1434,1,6,7
1435,2,4,6
1436,1,2,3
1437,4,1,5
1438,5,3,8
1439,3,1,4
1440,6,3,9
1441,6,2,8
1442,3,2,5
1443,5,5,10
1444,6,4,10
1445,5,6,11
1446,6,3,9
1447,3,5,8
1448,1,6,7
1449,5,6,11
1450,1,2,3
1451,4,2,6
1452,4,3,7
1453,6,5,11
1454,5,6,11
1455,6,6,12
1456,5,2,7
1457,2,6,8
1458,3,5,8
1459,5,4,9
1460,4,3,7
1461,2,2,4
1462,6,4,10
1463,2,4,6
1464,1,2,3
1465,1,5,6
1466,4,3,7
1467,5,6,11
1468,4,6,10
1469,4,3,7
1470,5,3,8
1471,1,1,2
1472,3,5,8
1473,2,2,4
1474,2,4,6
1475,1,1,2
1476,1,6,7
1477,3,4,7
1478,5,5,10
1479,3,2,5
1480,3,1,4
1481,2,2,4
1482,5,4,9
1483,6,1,7
1484,5,2,7
1485,5,6,11
1486,2,1,3
1487,2,1,3
1488,3,1,4
1489,4,3,7
1490,6,2,8
1491,5,5,10
1492,6,6,12
1493,6,5,11
1494,4,2,6
1495,2,5,7
1496,6,4,10
1497,2,5,7
1498,4,3,7
1499,6,1,7
1500,1,5,6
1501,2,3,5
1502,4,4,8
1503,4,4,8
1504,3,3,6
1505,5,6,11
1506,3,5,8
1507,3,4,7
1508,4,1,5
1509,1,3,4
1510,6,6,12
1511,4,2,6
1512,3,1,4
1513,1,5,6
1514,4,4,8
1515,2,5,7
1516,3,3,6
1517,1,3,4
1518,6,1,7
1519,3,2,5
1520,4,1,5
1521,3,2,5
1522,2,5,7
1523,3,2,5
1524,3,2,5
1525,1,1,2
1526,4,4,8
1527,2,1,3
1528,5,4,9
1529,6,1,7
1530,3,3,6
1531,5,1,6
1532,6,1,7
1533,1,3,4
1534,5,4,9
1535,4,4,8
1536,4,2,6
1537,4,6,10
1538,1,1,2
1539,3,5,8
1540,5,4,9
1541,5,6,11
1542,5,3,8
1543,6,1,7
1544,6,1,7
1545,6,5,11
1546,2,6,8
1547,5,5,10
1548,3,2,5
1549,2,2,4
1550,1,5,6
1551,4,3,7
1552,2,2,4
1553,1,5,6
1554,3,2,5
1555,1,1,2
1556,6,6,12
1557,3,5,8
1558,3,4,7
1559,5,3,8
1560,4,1,5
1561,4,3,7
1562,2,4,6
1563,5,6,11
1564,3,4,7
1565,3,5,8
1566,6,1,7
1567,1,4,5
1568,2,5,7
1569,1,3,4
1570,5,6,11
1571,5,2,7
1572,6,1,7
1573,5,3,8
1574,2,3,5
1575,4,5,9
1576,1,4,5
1577,5,6,11
1578,3,5,8
1579,4,2,6
1580,3,3,6
1581,2,6,8
1582,6,6,12
1583,1,6,7
1584,6,3,9
1585,6,6,12
1586,5,4,9
1587,4,6,10
1588,5,5,10
1589,5,6,11
1590,1,4,5
1591,5,2,7
1592,3,2,5
1593,1,6,7
1594,4,4,8
1595,4,1,5
1596,4,5,9
1597,1,3,4
1598,3,2,5
1599,2,5,7
1600,5,5,10
1601,3,2,5
1602,1,1,2
1603,2,2,4
1604,3,1,4
1605,4,6,10
1606,4,1,5
1607,6,4,10
1608,6,4,10
1609,6,5,11
1610,1,1,2
1611,5,5,10
1612,4,2,6
1613,1,2,3
1614,2,4,6
1615,1,4,5
1616,5,4,9
1617,1,6,7
1618,5,6,11
1619,5,5,10
1620,2,5,7
1621,2,2,4
1622,4,6,10
1623,1,4,5
1624,4,6,10
1625,6,1,7
1626,3,5,8
1627,1,2,3
1628,1,4,5
1629,2,3,5
1630,5,6,11
1631,1,1,2
1632,3,1,4
1633,6,6,12
1634,4,3,7
1635,6,2,8
1636,5,2,7
1637,1,4,5
1638,3,6,9
1639,3,3,6
1640,3,2,5
1641,4,4,8
1642,6,5,11
1643,2,4,6
1644,5,2,7
1645,4,5,9
1646,5,6,11
1647,1,1,2
1648,6,1,7
1649,6,1,7
1650,3,4,7
1651,2,4,6
1652,4,5,9
1653,3,4,7
1654,2,1,3
1655,1,2,3
1656,1,2,3
1657,4,2,6
1658,1,3,4
1659,1,6,7
1660,2,3,5
1661,1,3,4
1662,5,5,10
1663,1,3,4
