day,TechA,FinB,SmallC,MidD,LargeE
119,54426,130877,9729,26854,162454
120,54078,130989,10053,26640,163731
121,53980,133311,10242,26241,166137
122,52577,133158,10454,26812,166725
123,54206,133612,10781,27585,167089
124,55486,133098,10548,26988,167734
125,54497,132021,10632,27433,168930
126,55502,123945,10600,27236,169552
127,54330,122595,10510,27866,171073
128,54959,120703,10441,27945,165812
129,54878,120572,10399,28009,168072
130,54769,118119,10135,28354,165404
131,55400,119182,10045,28749,169891
132,55658,117600,10083,28251,172746
133,55236,120232,10194,27753,170178
134,53672,118881,10094,27803,173392
135,53529,117255,9880,28005,169719
136,53698,117375,9904,28540,171506
137,52858,114796,9942,28575,166475
138,51411,112897,9984,28452,163873
139,51742,111560,10174,29131,163331
140,51345,112517,10232,29737,169105
141,51912,111885,10588,29440,164862
142,52096,110546,10446,28567,166053
143,52997,108641,10352,28792,167174
144,52888,106922,10205,29474,166362
145,52879,107585,10270,29630,167330
146,53837,107595,10464,29654,168727
147,53955,104531,10497,28681,169645
148,54583,109111,10803,28209,171908
149,54940,107162,10703,28046,175266
150,55104,109616,10280,28075,171964
151,53786,109455,9876,28006,167177
152,53061,108279,9852,28801,175116
153,54433,105733,9947,28093,174757
154,53937,105929,9503,28242,173590
155,53869,105338,9571,29547,177474
156,52880,107187,9536,30255,171559
157,51616,107285,9765,30708,174632
158,52736,106907,9570,31194,175590
159,53030,107319,9717,31616,174202
160,52571,107088,9594,31962,174160
161,51753,104359,9748,32156,171112
162,51335,103054,10004,31602,168475
163,50976,100566,10537,32081,170066
164,50699,101191,10710,32175,166746
165,51016,101208,10836,33104,167351
166,50392,99592,10853,32453,164818
167,50417,98243,10747,32950,163580
168,50603,98496,10908,32498,161804
169,49715,101283,10961,31555,163180
170,51971,101063,10831,31418,165959
171,51478,99174,10898,31106,169399
172,51855,103312,10783,31624,170292
173,51148,103927,10943,31587,170055
174,49886,104373,10805,31908,169433
175,50508,104770,10676,32146,170249
176,50461,105424,10600,32719,169749
177,49432,101680,10252,32966,164724
178,49380,102088,10078,34480,162401
179,50412,100852,10034,34446,164115
180,49737,99048,10060,34505,164068
181,50081,101548,10222,35177,163030
182,49974,100818,10016,36344,161148
183,50551,101778,9690,37205,156517
184,50885,101713,9288,38249,158959
185,51643,101168,8925,37350,158230
186,53564,101245,8889,37106,154054
187,53255,101395,8740,38306,154480
188,53177,98778,8594,38185,153451
189,53245,99334,8422,38999,149857
190,51810,99375,8237,39201,149698
191,53160,98016,8389,39634,150005
192,51864,98148,8425,39586,149614
193,52503,94427,8307,38756,148818
194,52666,94712,8402,38659,148755
195,53653,92723,8330,37472,149070
196,53708,92734,8248,37173,148699
197,53937,96640,8386,36325,144064
198,54682,95016,8162,36592,145138
199,55562,94315,8088,37261,146478
200,56898,93413,8123,37173,150983
201,57002,93938,7829,37875,151172
202,57493,89893,7956,37695,150000
203,57521,86592,7981,36136,146989
204,59498,86843,7946,36427,141513
205,58737,85615,8203,35569,140999
206,55812,86542,8308,35785,138566
207,57420,87298,8024,35297,138654
208,58855,86564,8189,35939,140553
209,60248,87835,8184,36691,142148
210,59682,84704,8222,37153,140800
211,59745,84709,8176,36896,141975
212,61311,83152,8123,37234,143317
213,60156,85176,8143,36039,143237
214,60916,84318,8298,36121,141084
215,62465,84087,8437,36063,141797
216,62907,84899,8323,35983,138917
217,62136,87235,8284,36059,137407
218,61135,87098,8034,36461,137174
219,62367,88373,8021,36143,135781
220,62153,86411,8128,36347,136947
221,61950,82958,7915,35850,135146
222,61977,81764,7839,36821,138205
223,60934,84050,7730,36834,140131
224,59667,83937,7643,37033,140717
225,59874,84812,7730,36651,139456
226,59159,84378,7764,36179,138882
227,57864,83844,7984,36761,139906
228,56895,83577,7866,36515,141999
229,56345,85305,7874,37346,145078
230,58176,85995,7950,36412,146357
231,57323,86140,7978,36703,148088
232,58678,87517,7912,36416,149539
233,58692,85879,7881,34212,144939
234,58395,86226,7918,34961,144749
235,60167,84749,8257,34170,143235
236,58455,84391,8083,34676,140985
237,57238,83929,8027,34652,139274
238,58197,83964,8089,35229,140007
239,57093,87326,8240,36175,140875
240,59481,86220,8230,36095,133785
241,59940,88627,8036,36618,134553
242,61550,92157,8112,35752,136658
243,60531,93523,8101,35971,137086
244,59631,91541,8070,35661,140668
245,58983,89298,8154,34832,142015
246,57786,87118,8280,35463,140014
247,58064,87605,8403,35566,137995
248,57321,89362,8412,34637,136396
249,58988,88030,8431,34497,131762
250,61016,87479,8365,35186,133339
251,60513,88392,8363,36144,129272
252,62274,89060,8307,35345,131295
