date,channel,category,orders,revenue,ad_spend,conversion_rate
2025-05-25,app,book,83,2271365,282460,0.0294
2025-05-25,store,toy,43,1145685,117181,0.0367
2025-05-26,web,toy,91,1992590,312946,0.0291
2025-05-26,app,toy,76,2312737,219328,0.0347
2025-05-26,store,toy,48,1063573,94384,0.0509
2025-05-27,web,toy,52,995702,237175,0.0219
2025-05-27,app,toy,80,2383311,248917,0.0321
2025-05-27,store,food,37,1161412,182608,0.0203
2025-05-28,web,toy,88,2171675,257943,0.0341
2025-05-28,app,book,86,2957655,204269,0.0421
2025-05-28,store,food,5,127909,94884,0.0053
2025-05-01,web,book,65,1138219,279472,0.0233
2025-05-01,app,toy,82,1949425,286017,0.0287
2025-05-01,store,food,5,118233,117971,0.0042
2025-05-02,web,book,79,3244599,332790,0.0237
2025-05-02,app,book,89,2513584,221360,0.0402
2025-05-02,store,food,24,485296,181727,0.0132
2025-05-03,web,book,44,1119430,256433,0.0172
2025-05-03,app,food,101,3510378,200854,0.0503
2025-05-03,store,gadget,46,1202300,109738,0.0419
2025-05-04,web,book,84,1683150,210723,0.0399
2025-05-04,app,gadget,105,3462477,330142,0.0318
2025-05-04,store,toy,36,607328,132542,0.0272
2025-05-05,web,toy,90,3169706,270683,0.0332
2025-05-05,app,food,88,2223078,285195,0.0309
2025-05-05,store,food,24,644184,60209,0.0399
2025-05-06,web,toy,84,2098120,260895,0.0322
2025-05-06,app,toy,30,821705,144353,0.0208
2025-05-06,store,food,18,654564,51502,0.035
2025-05-07,web,food,94,1786336,255077,0.0369
2025-05-07,app,gadget,63,2216202,309876,0.0203
2025-05-07,store,food,45,1232397,107496,0.0419
2025-05-08,web,food,75,2061793,192856,0.0389
2025-05-08,app,food,80,2318920,176056,0.0454
2025-05-08,store,toy,29,708012,27798,0.1043
2025-05-09,web,gadget,81,1802827,207831,0.039
2025-05-09,app,book,39,1217563,191687,0.0203
2025-05-09,store,toy,19,508856,157392,0.0121
2025-05-10,web,toy,87,1230231,254943,0.0341
2025-05-10,app,book,79,2511720,75921,0.1041
2025-05-10,store,book,50,1369593,32458,0.154
2025-06-11,web,toy,87,2279080,273255,0.0318
2025-06-11,app,toy,59,1681561,275641,0.0214
2025-06-11,store,toy,48,1458095,60956,0.0787
2025-06-12,web,food,98,2851507,260697,0.0376
2025-06-12,app,gadget,73,2285939,260954,0.028
2025-06-12,store,food,56,1842489,20000,0.28
2025-06-13,web,toy,82,1531912,254707,0.0322
2025-06-13,app,food,92,2130156,231058,0.0398
2025-06-13,store,book,6,120540,168112,0.0036
2025-06-14,web,food,82,2278136,299703,0.0274
2025-06-14,app,toy,78,1697449,195317,0.0399
2025-06-14,store,food,60,1516564,143702,0.0418
2025-06-15,web,toy,48,1265065,228859,0.021
2025-06-15,app,gadget,71,1909491,233044,0.0305
2025-06-15,store,gadget,43,1233095,133165,0.0323
2025-06-16,web,food,69,2012010,268353,0.0257
2025-06-16,app,food,80,1856825,241062,0.0332
2025-06-16,store,toy,50,1200173,88014,0.0568
2025-06-17,web,book,83,2022906,290732,0.0285
2025-06-17,app,toy,77,2199370,229645,0.0335
2025-06-17,store,gadget,35,838812,34188,0.1024
2025-06-18,web,food,64,1823162,301116,0.0213
2025-06-18,app,food,79,2354340,259512,0.0304
2025-06-18,store,book,73,2308593,92966,0.0785
2025-06-19,web,gadget,115,2954231,206417,0.0557
2025-06-19,app,toy,81,2427810,293818,0.0276
2025-06-19,store,food,58,859059,123863,0.0468
2025-06-20,web,food,103,2916397,326257,0.0316
2025-06-20,app,book,63,2346376,324181,0.0194
2025-06-20,store,book,37,773494,111167,0.0333
2025-06-21,web,book,110,2993968,247651,0.0444
2025-06-21,app,toy,82,3057703,216030,0.038
2025-06-21,store,gadget,38,1248831,34148,0.1113
2025-06-22,web,gadget,88,2055840,247372,0.0356
2025-06-22,app,toy,38,1337960,316499,0.012
2025-06-22,store,food,62,1374102,82237,0.0754
2025-06-23,web,food,79,2424668,228524,0.0346
2025-06-23,app,toy,88,2793270,255095,0.0345
2025-06-23,store,toy,44,761270,83424,0.0527
2025-06-24,web,food,92,2865547,239692,0.0384
2025-06-24,app,book,80,2669115,286124,0.028
2025-06-24,store,book,52,1718906,20000,0.26
2025-06-25,web,food,58,1474843,250957,0.0231
2025-06-25,app,gadget,74,2111666,349683,0.0212
2025-06-25,store,gadget,44,854895,20000,0.22
2025-06-26,web,book,55,1339537,325019,0.0169
2025-06-26,app,toy,91,2635405,202863,0.0449
2025-06-26,store,toy,38,1262970,107512,0.0353
2025-06-27,web,food,69,2229302,270397,0.0255
2025-06-27,app,book,76,1825262,201211,0.0378
2025-06-27,store,book,51,1781280,35871,0.1422
2025-06-28,web,food,90,3227057,286295,0.0314
2025-06-28,app,gadget,84,2991460,230570,0.0364
2025-06-28,store,toy,10,236330,129999,0.0077
2025-06-01,web,book,85,2801535,160273,0.053
2025-06-01,app,book,75,1805394,299506,0.025
2025-06-01,store,food,12,295306,61619,0.0195
2025-06-02,web,book,93,2905868,175425,0.053
2025-06-02,app,toy,97,2636605,202799,0.0478
2025-06-02,store,food,58,1919119,107985,0.0537
2025-06-03,web,book,70,1773497,205072,0.0341
2025-06-03,app,gadget,72,2312613,230901,0.0312
2025-06-03,store,toy,34,695446,70342,0.0483
2025-06-04,web,toy,74,2587533,237893,0.0311
2025-06-04,app,food,95,2518558,256934,0.037
2025-06-04,store,toy,36,895301,195148,0.0184
2025-06-05,web,food,25,703820,272906,0.0092
2025-06-05,app,gadget,98,2845637,135953,0.0721
2025-06-05,store,gadget,66,1701981,89935,0.0734
2025-06-06,web,food,90,3041058,319431,0.0282
2025-06-06,app,book,84,2099937,214508,0.0392
2025-06-06,store,food,9,244253,177712,0.0051
2025-06-07,web,food,62,1572922,276905,0.0224
2025-06-07,app,gadget,92,3567957,220419,0.0417
2025-06-07,store,food,18,286933,40143,0.0448
2025-06-08,web,book,91,2144135,260854,0.0349
2025-06-08,app,book,65,2230255,173906,0.0374
2025-06-08,store,toy,52,1565844,139851,0.0372
2025-06-09,web,food,72,1255901,121410,0.0593
2025-06-09,app,gadget,68,2063626,312502,0.0218
2025-06-09,store,book,26,723724,91486,0.0284
2025-06-10,web,gadget,60,1785485,189374,0.0317
2025-06-10,app,food,68,1875904,289313,0.0235
2025-06-10,store,food,44,938217,96406,0.0456
2025-06-11,web,book,115,2510475,338894,0.0339
2025-06-11,app,gadget,79,2799825,304773,0.0259
2025-06-11,store,book,56,1221639,138710,0.0404
2025-06-12,web,toy,36,986928,202168,0.0178
2025-06-12,app,book,75,2242298,209466,0.0358
2025-06-12,store,toy,16,422293,162778,0.0098
