date,store_region,category,channel,units,revenue
2025-06-15,W,food,app,6,47045
2025-02-05,C,gadget,app,4,207630
2025-02-06,W,toy,app,6,170259
2025-04-24,E,food,store,3,29281
2025-06-09,S,food,web,5,51282
2025-05-28,E,food,web,9,77975
2025-01-09,C,stationery,web,5,31298
2025-04-20,W,stationery,web,4,26272
2025-02-10,C,food,store,4,30748
2025-06-19,C,food,web,4,28024
2025-04-21,E,gadget,store,1,42299
2025-02-10,W,food,app,3,28229
2025-06-19,N,stationery,web,8,60406
2025-03-21,E,stationery,store,1,5474
2025-01-07,C,toy,store,9,223450
2025-05-27,C,gadget,store,5,255243
2025-05-22,S,food,app,4,38019
2025-03-12,E,stationery,store,7,52819
2025-06-08,N,stationery,web,9,64573
2025-02-04,N,stationery,store,6,38262
2025-02-05,N,food,web,4,41307
2025-04-16,N,book,store,7,146487
2025-03-16,S,food,store,7,64528
2025-02-04,N,book,web,3,61993
2025-01-21,S,gadget,web,6,376842
2025-01-18,E,food,store,2,18319
2025-03-02,N,food,store,1,9784
2025-06-12,S,food,store,8,56406
2025-05-18,S,food,web,4,42447
2025-04-19,N,toy,web,4,113380
2025-03-28,N,stationery,web,1,6912
2025-04-02,N,stationery,app,9,55657
2025-04-13,W,book,web,5,93229
2025-06-10,S,stationery,app,2,14978
2025-01-11,W,gadget,app,2,103394
2025-02-11,E,stationery,web,9,57317
2025-05-21,S,toy,store,4,82198
2025-04-10,C,stationery,store,8,56827
2025-01-16,W,food,app,3,23316
2025-02-27,E,stationery,store,9,71642
2025-01-22,W,food,store,1,8605
2025-04-28,W,book,store,1,20116
2025-02-16,S,gadget,app,3,143498
2025-01-08,C,toy,web,9,262168
2025-04-21,C,gadget,web,3,167521
2025-05-02,W,food,web,6,47434
2025-04-10,W,gadget,store,1,51975
2025-02-01,W,book,app,2,33246
2025-02-25,N,gadget,store,1,63889
2025-01-06,W,gadget,store,1,55158
2025-06-07,W,food,web,4,38401
2025-06-13,N,food,app,9,90860
2025-04-04,S,food,store,5,37666
2025-06-10,W,gadget,store,6,334141
2025-02-23,N,stationery,web,1,7322
2025-01-21,E,stationery,web,9,49432
2025-03-10,N,book,store,9,149261
2025-05-26,N,gadget,web,7,330291
2025-02-13,C,stationery,store,5,34334
2025-03-23,N,toy,app,1,25894
2025-01-21,N,book,web,8,125029
2025-04-23,N,gadget,store,5,323632
2025-01-28,C,toy,store,3,80245
2025-04-21,N,stationery,store,8,59063
2025-03-08,C,book,web,2,32102
2025-06-21,W,toy,app,1,28345
2025-01-03,N,gadget,app,4,253997
2025-01-27,E,gadget,app,2,116988
2025-04-28,N,book,app,6,100235
2025-01-21,N,stationery,app,6,43004
2025-01-01,N,gadget,app,4,223825
2025-04-23,N,food,app,7,72541
2025-02-03,W,toy,app,7,199593
2025-04-13,E,gadget,app,7,337381
2025-05-28,E,food,web,4,38755
2025-03-26,S,gadget,store,4,180730
2025-06-02,W,gadget,web,6,283145
2025-04-05,N,stationery,web,1,7946
2025-03-07,S,gadget,web,4,183469
2025-06-28,N,toy,app,8,227461
2025-01-24,E,toy,store,7,140654
2025-01-28,W,food,app,1,9070
2025-04-08,E,toy,app,5,139128
2025-02-18,S,food,web,4,35154
2025-03-19,C,book,app,5,93693
2025-02-06,S,gadget,store,1,63047
2025-01-11,E,toy,web,1,20382
2025-03-06,N,stationery,store,7,43467
2025-02-08,W,stationery,web,6,45260
2025-02-13,W,toy,store,9,181321
2025-01-12,N,stationery,app,5,31791
2025-03-25,S,toy,store,2,42626
2025-03-10,N,toy,app,1,24771
2025-01-23,C,stationery,app,5,35785
2025-02-24,C,gadget,store,9,565030
2025-05-09,S,gadget,app,2,119417
2025-06-12,W,food,store,4,38389
2025-02-06,C,gadget,web,9,404342
2025-03-21,N,stationery,app,4,25409
2025-04-10,N,toy,store,2,50344
2025-06-24,N,stationery,app,5,33853
2025-01-22,S,toy,web,6,176489
2025-05-04,N,toy,web,6,161430
2025-04-19,E,book,store,8,141154
2025-03-06,W,gadget,web,3,180505
2025-04-28,S,food,app,3,21025
2025-06-25,C,food,app,8,67828
2025-05-24,W,food,app,8,60861
2025-03-13,N,toy,app,9,257874
2025-02-28,W,food,store,2,18362
2025-01-26,C,book,app,5,93533
2025-01-09,C,toy,app,9,240609
2025-02-19,C,toy,app,7,161766
2025-03-18,N,gadget,web,7,350366
2025-02-03,S,food,app,9,95511
2025-06-05,N,book,web,6,106169
2025-03-09,W,book,web,3,51286
2025-05-25,S,gadget,web,4,238333
2025-06-24,W,toy,web,9,185420
2025-02-22,E,food,store,6,46761
2025-02-24,S,book,app,1,18201
2025-02-12,S,book,store,3,43493
2025-06-20,W,gadget,store,5,225702
2025-02-18,N,toy,app,5,133467
2025-06-03,S,food,store,2,21227
2025-04-04,E,toy,store,9,259745
2025-06-15,W,food,store,1,10408
2025-03-06,C,gadget,app,1,42513
2025-01-02,W,toy,web,4,95545
2025-03-14,C,gadget,store,5,277839
2025-04-17,S,book,web,9,131241
2025-03-20,S,gadget,store,7,405317
2025-01-02,E,stationery,app,4,24121
2025-04-16,S,food,web,4,34713
2025-01-12,S,stationery,web,7,50958
2025-02-26,W,stationery,app,8,43661
2025-04-14,E,food,app,2,13670
2025-02-01,C,food,store,7,56075
2025-04-06,E,toy,web,9,233611
2025-06-24,S,toy,web,5,112608
2025-06-19,W,book,web,1,16159
2025-01-08,C,food,web,4,29269
2025-02-02,W,book,store,3,49760
2025-02-05,N,book,app,9,141233
2025-06-23,E,toy,store,8,180454
2025-03-21,S,book,store,1,15550
2025-05-27,N,food,store,3,22683
2025-06-06,W,gadget,store,9,435348
2025-04-16,E,food,store,4,36665
2025-02-08,C,food,web,4,27507
2025-01-08,E,stationery,store,3,18818
2025-01-08,E,gadget,store,5,288042
2025-03-28,C,book,store,8,129086
2025-02-19,E,gadget,app,7,352063
2025-03-24,E,gadget,store,6,357050
2025-06-01,W,stationery,web,4,21195
2025-06-01,S,food,store,5,37113
2025-05-20,N,toy,web,5,102089
2025-01-03,C,gadget,app,5,246219
2025-05-03,S,toy,web,5,98518
2025-06-09,C,toy,app,9,195939
2025-05-11,W,food,app,2,19727
2025-06-01,C,gadget,store,5,252241
2025-01-09,W,toy,store,2,48698
2025-01-19,C,gadget,app,9,474823
2025-03-03,E,stationery,web,5,33196
2025-03-26,N,food,app,9,94044
2025-03-20,N,food,web,3,26083
2025-02-25,S,stationery,store,4,21445
2025-06-05,W,book,app,6,121077
2025-05-07,W,stationery,app,5,27929
2025-01-04,S,food,app,2,18561
2025-04-21,N,toy,store,1,23526
2025-04-24,W,stationery,store,2,12056
2025-05-16,C,food,store,8,74247
2025-04-17,C,food,app,4,27581
2025-02-03,S,book,web,2,32430
2025-02-12,S,book,web,2,27550
2025-02-28,E,book,app,9,181040
2025-06-28,E,stationery,web,7,39847
2025-06-08,N,food,web,9,67993
2025-06-06,C,book,web,8,110712
2025-02-22,C,stationery,web,9,61494
2025-03-04,C,food,store,4,33332
2025-01-20,C,toy,store,2,56694
2025-05-12,W,toy,store,6,147744
2025-04-13,E,food,app,4,40729
2025-04-07,C,toy,app,8,237480
2025-05-01,C,stationery,store,1,5755
2025-02-14,W,stationery,app,8,45052
2025-06-07,S,stationery,web,1,5312
2025-02-02,N,stationery,web,5,29544
2025-06-22,W,gadget,app,7,439175
2025-02-19,E,food,web,2,18062
2025-01-08,S,gadget,web,2,84283
2025-02-23,C,food,store,3,30312
2025-04-19,E,gadget,store,4,193717
2025-01-05,E,stationery,app,7,53145
2025-05-01,N,stationery,store,1,5971
2025-03-08,W,stationery,store,5,32653
2025-06-14,W,toy,web,6,158973
2025-02-23,E,gadget,app,5,287346
2025-03-25,N,food,web,4,31880
2025-03-25,C,book,app,4,59176
2025-04-13,C,toy,app,6,139959
2025-05-14,S,toy,web,1,25792
2025-06-01,C,stationery,store,6,38890
2025-05-04,W,toy,store,8,205443
2025-05-24,S,book,web,9,165625
2025-04-12,C,toy,store,4,92851
2025-04-10,E,book,store,7,96875
2025-06-16,N,toy,store,1,29013
2025-03-15,W,toy,store,3,84901
2025-06-28,W,stationery,store,1,7411
2025-01-28,E,book,store,7,139104
2025-01-14,C,food,app,9,64229
2025-03-05,E,toy,web,1,27668
2025-06-13,C,toy,app,3,78294
2025-06-17,C,gadget,store,3,193167
2025-05-24,C,gadget,app,1,56581
2025-06-01,E,book,app,2,34695
2025-06-06,C,stationery,store,2,14880
2025-01-15,N,toy,store,4,112302
2025-06-23,E,stationery,web,1,6125
2025-06-26,W,food,web,1,10433
2025-02-08,S,book,store,4,68688
2025-05-19,E,gadget,store,8,386085
2025-03-20,E,toy,app,4,103938
2025-01-04,E,gadget,store,4,242633
2025-04-02,C,book,store,9,123548
2025-03-17,W,book,web,8,119711
2025-03-05,N,toy,store,1,26539
2025-04-17,N,stationery,store,5,36075
2025-03-22,E,stationery,store,9,71317
2025-06-18,C,gadget,web,6,276325
2025-01-17,N,food,app,7,47622
2025-04-06,S,toy,store,4,89317
2025-03-24,W,toy,app,3,61075
2025-01-03,E,book,web,4,68664
2025-04-07,E,stationery,app,7,53447
2025-03-07,S,book,web,9,153611
2025-05-27,E,book,app,8,132871
2025-06-11,S,food,store,2,14472
2025-04-06,W,gadget,app,1,48317
2025-04-05,W,food,web,6,49171
2025-02-11,E,book,store,7,145870
2025-01-22,S,toy,app,3,81801
2025-03-21,W,book,web,7,105589
2025-02-11,E,stationery,app,3,22141
2025-04-25,C,book,store,9,175391
2025-06-12,S,gadget,web,6,329865
2025-02-17,C,food,web,5,37438
2025-05-03,C,food,app,9,95374
2025-05-18,W,stationery,app,6,44294
2025-01-08,S,stationery,app,8,56918
2025-06-13,S,toy,web,3,60366
2025-03-07,E,stationery,app,1,5850
2025-03-08,W,book,app,2,36967
2025-03-25,C,book,app,4,79269
2025-04-21,E,gadget,store,6,324019
2025-04-07,C,food,web,6,49516
2025-06-26,C,book,store,1,17962
2025-01-24,W,book,store,3,55834
2025-01-09,N,food,store,4,30948
2025-06-02,C,gadget,app,9,420496
2025-06-24,S,food,web,2,19187
2025-06-12,E,book,store,7,98814
2025-04-24,C,book,app,6,97884
2025-06-01,E,book,web,1,16510
2025-05-09,W,book,web,8,127473
2025-05-23,N,stationery,store,6,39616
2025-04-03,W,stationery,app,5,36214
2025-01-09,W,gadget,web,5,295037
2025-01-21,W,stationery,app,4,21460
2025-06-05,W,stationery,app,8,43242
2025-01-22,W,stationery,store,8,51559
2025-03-06,W,food,store,8,67631
2025-02-14,N,toy,app,6,134038
2025-02-09,N,book,app,1,16481
2025-01-26,E,toy,web,6,164429
2025-05-20,N,food,store,6,50378
2025-01-19,S,book,web,9,159821
2025-05-01,C,stationery,web,5,38575
2025-06-17,W,toy,web,4,110755
2025-01-17,W,book,store,3,51720
2025-05-02,N,gadget,store,2,121127
2025-03-09,N,gadget,app,8,475311
2025-06-15,E,gadget,web,6,292082
2025-03-21,W,food,store,3,26288
2025-01-28,W,toy,store,3,68317
2025-03-14,C,gadget,store,1,44589
2025-05-21,E,toy,app,1,26777
2025-04-01,C,gadget,store,7,338231
2025-05-21,C,stationery,web,1,6706
2025-02-18,W,book,web,9,140516
2025-01-18,C,book,store,1,16532
2025-05-08,N,food,store,1,8228
2025-01-27,N,book,app,5,88298
2025-03-07,S,food,store,7,72669
2025-04-08,C,gadget,store,7,352571
2025-03-04,C,stationery,app,3,23145
2025-01-25,N,food,web,3,30294
2025-01-26,C,toy,store,1,28572
2025-02-03,W,food,store,3,28988
2025-03-27,N,gadget,store,7,426424
2025-04-03,S,stationery,web,7,45853
2025-05-19,E,food,app,5,43952
2025-01-17,N,toy,app,8,209881
2025-02-07,W,gadget,store,9,487109
2025-03-13,E,gadget,web,4,199149
2025-06-22,E,book,store,1,16350
2025-03-14,E,gadget,web,6,303387
2025-02-02,N,food,store,3,27511
2025-06-23,N,food,web,7,63885
2025-05-04,E,gadget,web,9,571446
2025-06-12,C,food,app,4,40679
2025-01-17,N,stationery,web,5,39402
2025-04-15,S,book,app,3,51989
2025-06-17,E,gadget,app,7,357017
2025-02-10,W,book,app,1,20075
2025-05-05,S,gadget,app,7,412159
2025-05-25,S,stationery,web,3,15857
2025-03-17,W,toy,store,8,171455
2025-05-14,W,book,store,9,162606
2025-05-19,C,stationery,store,8,60476
2025-02-12,S,book,store,2,31951
2025-03-01,S,toy,web,4,89677
2025-04-27,W,stationery,store,7,38458
2025-06-13,W,toy,web,5,136200
2025-01-15,E,food,web,2,19246
2025-05-23,W,food,web,4,35414
2025-04-11,C,gadget,store,8,387543
2025-05-28,S,book,app,7,125319
2025-04-13,N,gadget,store,3,182939
2025-03-01,S,toy,app,4,83004
2025-06-15,C,book,app,7,115433
2025-05-15,S,book,store,5,85705
2025-05-24,E,toy,web,2,39848
2025-05-06,C,food,web,7,50425
2025-03-18,E,stationery,store,7,39949
2025-03-26,S,book,app,1,18756
2025-02-13,N,book,web,9,126853
2025-03-22,C,toy,store,2,49628
2025-01-23,W,gadget,web,8,486899
2025-06-07,W,food,web,4,31422
2025-03-07,E,stationery,web,5,37408
2025-01-17,E,book,web,9,162387
2025-04-02,C,gadget,store,5,320623
2025-02-05,C,stationery,app,2,15716
2025-04-17,C,food,store,3,20574
2025-01-16,S,toy,web,9,252665
2025-01-28,E,toy,web,6,158198
2025-04-25,W,book,web,3,41609
2025-04-10,C,toy,web,6,148844
2025-03-12,N,stationery,app,7,52944
2025-06-28,C,toy,web,6,138314
2025-02-12,W,food,store,8,79032
2025-03-22,C,gadget,web,5,211593
2025-01-08,E,stationery,web,3,22185
2025-06-16,W,stationery,store,6,44196
2025-04-27,N,stationery,store,6,34028
2025-06-07,S,stationery,web,5,28472
2025-02-22,W,stationery,web,6,43999
2025-03-28,N,gadget,web,8,489747
2025-02-10,C,stationery,app,6,47153
2025-01-15,S,book,web,9,185256
2025-03-03,E,stationery,app,1,5573
2025-04-01,N,book,app,5,81927
2025-06-09,S,stationery,web,9,56237
2025-05-23,N,stationery,app,3,19339
2025-05-21,N,food,web,2,17853
2025-02-06,W,gadget,app,3,152960
2025-03-04,N,book,web,7,117170
2025-02-08,E,toy,store,7,206333
2025-04-11,W,food,web,9,88694
2025-01-16,E,toy,app,2,53008
2025-05-28,C,food,web,2,17643
2025-06-23,N,food,store,6,60019
2025-06-04,S,toy,app,2,42294
2025-04-06,N,stationery,store,2,12906
2025-05-27,E,gadget,web,8,509601
2025-03-23,S,gadget,web,5,275517
2025-06-05,C,toy,store,8,197192
2025-05-08,N,book,web,5,69078
2025-02-28,S,toy,app,6,161762
2025-03-22,N,book,app,6,118158
2025-05-08,E,toy,web,9,215256
2025-01-16,W,gadget,store,8,507317
2025-05-18,S,stationery,web,1,5982
2025-06-03,E,toy,web,7,154619
2025-01-11,W,gadget,web,3,145982
2025-03-16,E,stationery,web,3,16554
2025-01-02,C,stationery,web,1,8084
2025-01-23,W,stationery,app,5,28917
2025-03-21,N,stationery,app,8,53685
2025-04-24,S,stationery,store,9,61525
2025-04-24,C,toy,web,2,40663
2025-06-24,W,toy,web,4,80112
2025-05-19,C,toy,web,9,198780
2025-05-06,W,stationery,store,2,13988
2025-06-05,C,book,web,8,115383
2025-02-04,W,book,app,9,150209
2025-05-21,N,food,app,3,30082
2025-05-03,S,toy,web,1,22755
2025-02-08,E,gadget,store,9,562815
2025-01-10,E,book,store,3,63406
2025-05-23,N,gadget,app,2,115232
2025-03-05,N,book,app,1,18650
2025-06-27,S,book,store,1,20735
2025-06-04,E,gadget,web,2,88034
2025-06-24,C,gadget,web,4,199173
2025-05-14,E,toy,store,7,194732
2025-04-23,W,toy,app,9,198095
2025-06-03,N,book,web,9,139805
2025-02-05,N,gadget,store,9,462148
2025-04-12,S,toy,web,3,77997
2025-02-17,C,toy,store,7,174962
2025-01-19,C,toy,app,5,104491
2025-01-12,S,gadget,app,2,116528
2025-01-08,S,food,app,2,17366
2025-04-07,N,stationery,web,5,40138
2025-06-02,C,food,web,9,94668
2025-06-14,C,gadget,store,1,42530
2025-01-11,W,toy,web,3,67025
2025-02-19,N,stationery,store,6,39676
2025-01-16,N,book,app,2,32724
2025-06-09,N,food,store,7,62978
2025-06-13,C,stationery,store,5,26687
2025-03-23,S,toy,app,7,209850
2025-04-06,W,stationery,app,8,51998
2025-01-16,C,food,store,8,77019
2025-02-20,E,food,app,8,63029
2025-01-06,E,gadget,app,2,119166
2025-01-28,C,toy,web,9,197736
2025-02-09,E,food,app,8,75634
2025-02-20,W,stationery,web,8,42870
2025-03-04,C,book,app,4,77633
2025-02-21,C,gadget,web,2,119611
2025-02-25,S,stationery,store,1,5836
2025-01-02,S,toy,app,9,215572
2025-05-18,W,toy,web,7,187223
2025-05-22,S,food,web,6,59550
2025-06-11,N,book,store,6,106064
2025-03-19,C,book,app,5,81964
2025-04-21,C,toy,app,1,26589
2025-01-18,N,food,web,8,60091
2025-06-03,C,book,app,4,64537
2025-05-07,E,book,app,6,127157
2025-02-09,S,book,web,8,165959
2025-06-13,S,food,store,5,38610
2025-02-23,C,gadget,store,4,167224
2025-06-16,E,toy,app,9,196407
2025-01-21,S,gadget,web,8,414050
2025-03-16,W,stationery,web,6,39823
2025-03-18,S,toy,store,3,84252
2025-02-19,E,food,app,3,28118
2025-06-06,E,food,web,9,61589
2025-02-13,W,book,store,2,38014
2025-04-09,C,toy,app,2,40957
2025-02-17,W,book,app,7,137481
2025-03-14,S,book,web,4,66797
2025-01-11,W,gadget,web,9,561475
2025-05-09,W,food,web,1,8677
2025-05-25,S,toy,store,6,163023
2025-05-08,N,book,web,2,35192
2025-05-15,E,book,app,7,130705
2025-03-07,N,toy,app,7,185692
2025-01-24,W,book,web,2,38485
2025-04-04,C,toy,web,8,198887
2025-05-07,N,stationery,app,4,25950
2025-05-28,E,stationery,store,4,26605
2025-04-15,E,stationery,app,5,31035
2025-03-21,E,food,web,3,23531
2025-04-06,W,gadget,store,2,94297
2025-06-15,C,book,store,6,91439
2025-01-15,C,stationery,app,6,33396
2025-05-18,S,food,web,7,67514
2025-04-23,W,toy,store,5,138252
2025-06-28,S,book,web,4,76398
2025-01-18,S,gadget,app,4,242398
2025-02-07,N,toy,web,7,186079
2025-01-04,E,toy,store,8,231841
2025-01-22,N,toy,app,1,21627
2025-04-27,W,gadget,store,7,425354
2025-05-02,S,gadget,app,1,49597
2025-05-09,E,stationery,app,2,14657
2025-02-27,S,gadget,store,9,392047
2025-03-14,S,book,store,1,14270
2025-04-08,N,gadget,web,7,434652
2025-02-27,S,book,web,4,66453
2025-04-27,C,stationery,app,3,20470
2025-05-12,E,stationery,app,1,5660
2025-01-02,C,toy,store,8,211817
2025-01-26,N,food,app,7,73371
2025-01-16,E,toy,app,3,65319
2025-06-28,C,toy,store,3,65476
2025-01-25,S,stationery,app,8,48534
2025-05-13,N,food,store,1,7601
2025-01-20,N,food,store,7,64998
2025-01-10,W,toy,store,6,151397
2025-03-27,N,food,app,9,66130
2025-06-19,S,food,app,4,35100
2025-03-18,C,book,web,9,173909
2025-04-12,S,toy,app,2,50898
2025-03-02,S,stationery,store,4,21482
2025-03-06,W,gadget,store,6,316653
2025-02-15,W,food,web,3,27656
2025-06-28,C,food,web,3,22616
2025-06-26,C,book,store,7,139329
2025-01-24,W,toy,store,7,156651
2025-01-01,S,stationery,web,8,43320
2025-02-27,S,toy,app,4,78744
2025-04-09,N,stationery,store,2,15008
2025-06-14,N,food,web,1,8498
2025-06-13,W,toy,web,4,85876
2025-05-10,N,toy,store,5,119187
2025-04-18,W,book,app,9,187311
2025-01-09,N,stationery,web,5,34379
2025-06-14,E,book,web,4,69414
2025-06-05,S,food,web,2,17867
2025-05-07,C,gadget,store,7,343154
2025-03-17,C,stationery,store,5,27495
2025-02-21,E,food,web,8,80186
2025-03-02,C,stationery,store,5,34583
2025-04-12,C,toy,web,5,137102
2025-03-12,C,book,store,4,64778
2025-04-24,C,gadget,store,8,513049
2025-04-13,W,stationery,web,5,26908
2025-02-14,W,gadget,web,6,289045
2025-02-24,N,gadget,web,4,241702
2025-02-04,S,stationery,store,8,50442
2025-04-17,E,book,app,9,184311
2025-02-27,E,food,store,9,73147
2025-05-21,E,toy,web,8,208855
2025-06-14,E,toy,store,7,170734
2025-02-10,W,stationery,web,7,42519
2025-05-16,C,stationery,store,1,6647
2025-05-07,W,book,store,1,19285
2025-03-24,C,book,store,5,70325
2025-01-21,S,book,web,2,29671
2025-05-09,E,food,web,2,16315
2025-02-25,E,toy,web,2,40998
2025-03-02,E,toy,web,7,175699
2025-05-20,E,food,app,4,40078
2025-03-17,E,food,app,5,49418
2025-03-05,N,toy,store,1,20026
2025-06-26,W,gadget,web,9,456285
2025-03-12,W,toy,app,9,188026
2025-02-05,C,toy,web,1,20190
2025-05-05,C,food,app,3,25937
2025-03-16,E,gadget,store,3,139447
2025-05-13,N,food,store,1,8954
2025-02-09,N,toy,store,6,162605
2025-01-13,C,toy,store,7,172293
2025-05-24,E,stationery,store,8,46510
2025-04-08,S,stationery,store,1,5324
2025-01-26,C,stationery,store,9,63520
2025-03-15,E,toy,web,9,181837
2025-03-11,E,toy,store,6,123469
2025-05-10,E,food,store,7,61345
2025-04-26,N,food,app,2,17109
2025-03-21,W,book,web,7,99012
2025-01-18,N,food,web,5,42180
2025-02-21,N,food,store,1,7175
2025-01-19,S,stationery,web,1,6640
2025-03-24,E,stationery,app,3,20096
2025-05-12,C,gadget,store,7,393671
2025-02-17,C,food,web,6,55517
2025-05-01,E,food,app,6,58376
2025-04-25,N,food,app,3,23352
2025-06-15,N,book,web,2,33627
2025-05-17,N,book,web,7,142512
2025-04-04,C,food,web,7,74342
2025-05-13,C,book,app,2,38283
2025-04-22,E,toy,app,7,139823
2025-05-12,N,food,web,2,18358
2025-04-17,W,stationery,store,2,11316
2025-06-21,N,book,web,4,82989
2025-01-11,C,stationery,store,3,22422
2025-04-09,W,gadget,app,3,135085
2025-05-03,E,toy,web,4,79559
2025-02-18,S,book,app,9,183928
2025-05-03,S,gadget,store,3,139769
2025-03-28,E,stationery,app,6,40674
2025-06-10,N,toy,web,9,207629
2025-05-07,S,toy,store,8,209077
2025-06-15,N,toy,store,4,86598
2025-04-09,W,toy,app,8,160635
2025-03-23,C,toy,store,6,145037
2025-01-20,E,book,store,9,181822
2025-02-21,W,food,web,6,61034
2025-02-23,N,gadget,web,2,97032
2025-05-25,C,toy,store,4,86991
2025-02-28,W,food,store,2,18562
2025-02-06,N,toy,app,7,206618
2025-03-19,W,toy,app,1,19371
2025-06-13,S,toy,app,3,69289
2025-02-28,W,book,store,3,60140
2025-03-09,E,food,web,3,25025
2025-05-09,E,food,app,2,14135
2025-02-26,E,toy,app,7,205191
2025-05-27,S,stationery,store,2,11945
2025-04-19,S,food,web,1,7460
2025-03-12,W,gadget,store,5,213949
2025-05-09,W,food,store,3,22860
2025-05-12,S,toy,web,7,198366
2025-06-08,S,stationery,app,7,47878
2025-03-28,S,toy,web,8,186432
2025-04-16,E,book,store,7,139192
2025-01-26,S,toy,store,2,54822
2025-06-06,E,food,store,9,68940
2025-02-06,N,gadget,app,3,177836
2025-05-22,E,stationery,store,1,5719
2025-05-19,S,stationery,web,8,52041
2025-02-08,E,stationery,app,5,28238
2025-06-12,E,toy,app,3,78095
2025-02-20,S,gadget,store,2,122226
2025-02-25,W,toy,app,8,166803
2025-06-10,C,gadget,store,5,274635
2025-04-15,E,gadget,store,7,414763
2025-01-02,S,gadget,app,6,363812
2025-03-22,S,gadget,web,7,321812
2025-05-15,W,food,store,6,51015
2025-05-27,W,book,app,3,43270
2025-03-04,S,book,web,5,73891
2025-02-17,S,stationery,web,9,70023
2025-01-20,N,food,store,8,59196
2025-02-21,S,gadget,app,3,169935
2025-06-19,N,food,store,3,23339
2025-05-11,C,toy,app,2,59226
2025-06-19,W,stationery,app,7,56604
2025-05-07,S,book,app,8,167501
2025-05-28,W,toy,store,1,21518
2025-04-21,W,gadget,store,6,362382
2025-06-20,E,book,app,3,57861
2025-06-20,C,toy,web,5,115060
2025-03-22,W,book,store,7,108831
2025-03-21,C,food,web,2,14469
2025-06-24,C,food,web,5,34851
2025-02-16,C,toy,store,4,106529
2025-05-06,C,book,web,4,78632
2025-03-10,C,food,store,5,47487
2025-04-20,N,food,web,4,40227
2025-05-08,C,book,app,8,125066
2025-01-08,E,book,web,7,116248
2025-06-19,E,toy,app,7,160630
2025-04-19,E,stationery,app,6,32823
2025-02-02,C,food,app,6,56714
2025-01-23,E,gadget,web,7,381687
2025-06-25,W,food,app,1,10278
2025-02-16,N,food,web,9,81397
2025-02-17,C,toy,app,9,236415
2025-06-28,E,food,store,7,58580
2025-04-14,N,stationery,store,2,15264
2025-03-10,C,food,app,4,40794
2025-02-01,S,gadget,app,7,386253
2025-04-28,E,stationery,store,7,38780
2025-01-24,N,food,app,6,50527
2025-05-19,E,gadget,web,2,114789
2025-03-05,S,food,app,4,40277
2025-03-23,S,book,store,3,63222
2025-04-23,E,book,app,4,76149
2025-03-17,N,gadget,web,7,327635
2025-03-08,C,toy,app,5,147634
2025-05-13,N,book,web,5,96181
2025-03-23,W,gadget,app,6,275874
2025-06-21,C,toy,app,2,39475
2025-01-18,W,stationery,store,3,17558
2025-02-08,S,toy,web,6,168781
2025-04-07,N,food,store,5,45167
2025-03-13,N,toy,store,7,151188
