date,user_id,user_grade,action,minutes
2025-02-25,U0004,vip,review,39
2025-01-18,U0129,vip,view,4
2025-06-05,U0243,vip,view,23
2025-06-25,U0195,regular,purchase,12
2025-04-05,U0029,vip,view,1
2025-01-14,U0056,new,view,38
2025-04-06,U0098,vip,review,23
2025-01-17,U0008,regular,view,26
2025-01-09,U0013,vip,purchase,14
2025-06-13,U0024,regular,view,4
2025-02-27,U0146,regular,cart,40
2025-01-03,U0204,regular,review,44
2025-03-21,U0158,new,review,32
2025-06-07,U0038,new,purchase,37
2025-05-09,U0252,regular,purchase,15
2025-05-23,U0045,vip,view,24
2025-04-24,U0181,vip,view,43
2025-05-06,U0021,new,view,41
2025-03-27,U0207,vip,view,30
2025-04-25,U0095,regular,review,25
2025-04-01,U0168,regular,purchase,7
2025-03-15,U0102,vip,cart,44
2025-02-25,U0155,new,view,22
2025-06-10,U0010,regular,cart,34
2025-06-16,U0215,new,purchase,33
2025-05-21,U0218,vip,review,29
2025-03-21,U0015,regular,view,19
2025-04-28,U0194,new,review,22
2025-05-14,U0245,regular,review,34
2025-01-02,U0219,new,view,41
2025-02-22,U0075,regular,purchase,26
2025-06-09,U0107,new,cart,13
2025-04-22,U0043,regular,view,1
2025-04-19,U0160,new,review,44
2025-01-05,U0116,regular,view,12
2025-04-10,U0245,regular,cart,10
2025-06-17,U0156,regular,view,28
2025-04-10,U0038,new,purchase,22
2025-02-25,U0130,new,cart,19
2025-01-14,U0161,regular,review,11
2025-05-08,U0221,vip,view,14
2025-02-28,U0239,regular,cart,30
2025-05-06,U0218,regular,cart,25
2025-02-08,U0126,vip,view,14
2025-01-14,U0078,regular,view,40
2025-06-01,U0057,regular,purchase,40
2025-04-15,U0237,vip,cart,25
2025-06-20,U0130,new,cart,38
2025-05-16,U0076,regular,review,10
2025-01-17,U0184,new,cart,28
2025-04-17,U0130,vip,view,3
2025-03-17,U0059,regular,review,12
2025-02-08,U0085,vip,cart,18
2025-06-02,U0107,new,cart,16
2025-05-23,U0107,regular,purchase,25
2025-01-25,U0239,new,review,16
2025-04-02,U0216,regular,cart,28
2025-03-23,U0035,vip,purchase,2
2025-03-14,U0065,new,review,3
2025-03-13,U0156,regular,purchase,43
2025-05-21,U0203,regular,cart,16
2025-01-22,U0219,new,cart,8
2025-06-11,U0166,new,purchase,18
2025-06-04,U0032,vip,purchase,22
2025-06-09,U0138,regular,review,44
2025-02-06,U0259,new,view,25
2025-02-21,U0061,new,view,43
2025-01-02,U0026,vip,view,11
2025-03-26,U0043,new,cart,39
2025-05-06,U0022,regular,review,30
2025-05-04,U0196,new,view,40
2025-02-22,U0162,new,purchase,22
2025-02-05,U0235,new,review,43
2025-01-17,U0005,vip,cart,31
2025-02-28,U0089,vip,review,8
2025-01-01,U0046,regular,cart,7
2025-05-02,U0185,regular,cart,33
2025-02-06,U0114,new,cart,26
2025-01-27,U0119,regular,purchase,19
2025-06-19,U0024,vip,cart,18
2025-02-16,U0050,new,view,34
2025-06-11,U0138,regular,purchase,25
2025-05-10,U0117,vip,review,44
2025-05-13,U0151,vip,cart,3
2025-06-09,U0128,vip,purchase,9
2025-05-17,U0023,new,cart,12
2025-02-01,U0107,new,review,9
2025-06-21,U0117,vip,cart,27
2025-04-02,U0181,new,view,30
2025-03-16,U0148,vip,view,3
2025-03-08,U0034,vip,purchase,43
2025-02-14,U0076,new,view,30
2025-04-02,U0231,regular,cart,6
2025-03-14,U0128,vip,review,19
2025-06-02,U0055,new,purchase,17
2025-03-05,U0013,regular,cart,20
2025-05-05,U0150,regular,purchase,15
2025-06-12,U0191,regular,review,7
2025-01-05,U0193,new,review,30
2025-04-11,U0047,vip,cart,13
2025-03-02,U0129,new,purchase,20
2025-03-28,U0206,vip,view,6
2025-01-27,U0198,vip,cart,33
2025-05-20,U0194,new,purchase,19
2025-05-18,U0210,vip,review,11
2025-06-26,U0158,new,review,31
2025-04-26,U0197,new,cart,5
2025-05-08,U0204,new,purchase,34
2025-03-02,U0116,vip,purchase,24
2025-05-16,U0042,vip,cart,26
2025-06-25,U0159,new,purchase,18
2025-04-27,U0030,regular,review,32
2025-03-18,U0018,vip,purchase,4
2025-05-19,U0254,regular,cart,6
2025-04-28,U0223,new,view,9
2025-06-16,U0192,vip,review,27
2025-02-13,U0224,vip,view,5
2025-01-01,U0149,new,purchase,42
2025-02-17,U0095,vip,view,27
2025-02-17,U0210,regular,view,24
2025-04-22,U0145,new,purchase,44
2025-03-15,U0108,vip,cart,8
2025-06-02,U0062,regular,cart,42
2025-02-06,U0117,regular,purchase,11
2025-04-21,U0224,vip,view,31
2025-05-21,U0108,vip,review,30
2025-02-19,U0018,regular,purchase,31
2025-04-27,U0100,vip,cart,6
2025-06-04,U0103,vip,review,18
2025-02-07,U0187,vip,view,34
2025-04-01,U0209,regular,cart,19
2025-05-01,U0167,vip,review,36
2025-02-10,U0080,new,view,41
2025-03-04,U0110,regular,cart,40
2025-02-21,U0232,new,view,8
2025-01-26,U0156,vip,view,7
2025-04-05,U0058,new,purchase,38
2025-05-10,U0083,vip,cart,1
2025-06-15,U0227,new,view,26
2025-06-02,U0063,regular,review,20
2025-01-07,U0015,new,purchase,24
2025-01-23,U0029,vip,purchase,3
2025-04-04,U0229,vip,purchase,27
2025-02-15,U0141,regular,review,29
2025-04-19,U0122,new,review,35
2025-02-14,U0238,vip,purchase,30
2025-05-05,U0019,new,view,39
2025-02-16,U0116,regular,review,12
2025-06-04,U0143,regular,cart,17
2025-01-28,U0106,vip,review,43
2025-03-02,U0041,new,cart,33
2025-03-21,U0098,new,purchase,13
2025-03-23,U0195,vip,view,28
2025-05-19,U0133,new,purchase,5
2025-06-28,U0064,vip,purchase,40
2025-02-28,U0016,vip,cart,7
2025-04-05,U0020,new,cart,3
2025-01-02,U0208,vip,view,37
2025-05-22,U0203,regular,review,34
2025-06-14,U0135,regular,cart,9
2025-04-25,U0098,new,review,2
2025-03-14,U0253,new,review,26
2025-04-14,U0217,new,review,45
2025-04-18,U0017,vip,view,13
2025-06-08,U0239,regular,review,41
2025-04-23,U0040,new,cart,16
2025-06-07,U0234,regular,view,29
2025-06-12,U0121,new,review,41
2025-01-14,U0082,regular,cart,13
2025-02-08,U0181,new,cart,30
2025-02-18,U0127,vip,purchase,26
2025-01-11,U0065,vip,review,44
2025-06-07,U0043,vip,cart,30
2025-04-22,U0230,vip,review,29
2025-01-20,U0024,new,view,11
2025-06-11,U0255,regular,view,12
2025-05-28,U0230,regular,review,27
2025-02-13,U0108,new,review,36
2025-06-15,U0082,new,cart,6
2025-02-27,U0045,regular,review,25
2025-05-23,U0194,regular,review,9
2025-03-16,U0084,vip,cart,2
2025-02-03,U0159,regular,review,20
2025-02-13,U0133,regular,review,12
2025-02-10,U0253,regular,cart,10
2025-03-22,U0252,vip,purchase,27
2025-06-23,U0240,new,cart,39
2025-04-16,U0205,new,purchase,30
2025-06-19,U0240,regular,view,25
2025-05-24,U0134,vip,review,31
2025-06-11,U0066,regular,cart,9
2025-03-23,U0084,new,cart,31
2025-05-25,U0235,new,purchase,18
2025-05-17,U0096,regular,view,38
2025-03-20,U0042,regular,cart,24
2025-01-27,U0130,new,view,14
2025-01-10,U0156,new,cart,20
2025-05-02,U0140,vip,cart,6
2025-06-18,U0235,vip,view,1
2025-04-05,U0063,new,cart,18
2025-04-05,U0193,regular,purchase,34
2025-05-05,U0144,vip,review,17
2025-03-11,U0198,new,review,5
2025-06-07,U0006,regular,review,26
2025-04-22,U0048,vip,cart,16
2025-02-15,U0206,vip,purchase,44
2025-06-20,U0254,regular,view,20
2025-01-20,U0096,vip,purchase,11
2025-03-28,U0234,vip,cart,36
2025-06-17,U0083,vip,cart,9
2025-04-06,U0029,vip,purchase,2
2025-03-19,U0134,regular,purchase,35
2025-03-09,U0260,regular,cart,23
2025-02-09,U0201,new,review,24
2025-04-02,U0167,vip,purchase,32
2025-04-04,U0236,vip,purchase,34
2025-01-08,U0087,new,cart,40
2025-01-28,U0158,regular,cart,4
2025-02-02,U0199,vip,review,38
2025-06-04,U0080,vip,cart,7
2025-05-22,U0064,vip,cart,10
2025-02-05,U0073,regular,cart,11
2025-04-02,U0175,new,purchase,4
2025-05-08,U0098,vip,view,42
2025-01-09,U0145,vip,purchase,34
2025-06-24,U0260,regular,view,12
2025-05-10,U0005,vip,cart,1
2025-01-20,U0154,vip,purchase,44
2025-01-24,U0122,vip,purchase,28
2025-06-09,U0179,regular,purchase,30
2025-06-21,U0019,vip,cart,26
2025-06-15,U0099,regular,view,29
2025-02-27,U0022,regular,cart,23
2025-04-14,U0203,new,purchase,29
2025-01-24,U0105,vip,purchase,36
2025-06-21,U0079,new,review,1
2025-04-21,U0023,vip,cart,44
2025-01-01,U0221,vip,review,37
2025-05-09,U0113,new,view,20
2025-01-11,U0106,new,purchase,27
2025-03-24,U0216,regular,purchase,30
2025-01-12,U0127,new,view,9
2025-05-25,U0096,vip,cart,24
2025-04-16,U0190,regular,cart,42
2025-03-05,U0176,regular,view,35
2025-05-12,U0249,regular,review,5
2025-01-25,U0218,new,view,7
2025-01-04,U0239,vip,view,14
2025-06-20,U0189,vip,purchase,23
2025-05-03,U0242,new,cart,41
2025-03-17,U0016,regular,purchase,33
2025-06-19,U0068,new,review,15
2025-06-01,U0037,regular,purchase,27
2025-06-11,U0181,vip,purchase,36
2025-01-23,U0169,vip,purchase,14
2025-03-05,U0054,new,purchase,16
2025-01-25,U0042,new,view,13
2025-06-16,U0093,vip,view,4
2025-06-10,U0219,vip,review,22
2025-06-25,U0197,new,purchase,24
2025-04-22,U0162,regular,view,8
2025-05-27,U0096,regular,review,28
2025-05-01,U0195,regular,cart,16
2025-05-01,U0118,new,review,23
2025-05-11,U0155,new,purchase,4
2025-01-15,U0170,regular,cart,15
2025-01-21,U0219,regular,review,15
2025-03-10,U0195,vip,review,25
2025-06-26,U0252,vip,purchase,12
2025-01-02,U0221,regular,cart,10
2025-02-14,U0031,regular,review,44
2025-04-10,U0108,new,purchase,20
2025-06-16,U0238,new,cart,19
2025-02-28,U0160,new,cart,36
2025-03-17,U0132,regular,purchase,45
2025-06-04,U0178,regular,cart,44
2025-03-17,U0235,new,review,31
2025-03-26,U0245,regular,purchase,28
2025-02-15,U0136,new,review,4
2025-01-03,U0090,vip,purchase,39
2025-03-25,U0010,new,review,37
2025-05-27,U0100,regular,cart,38
2025-01-03,U0193,new,review,29
2025-01-28,U0041,new,cart,2
2025-01-21,U0037,regular,cart,8
2025-02-17,U0097,new,view,9
2025-03-11,U0210,vip,review,8
2025-01-13,U0069,regular,view,40
2025-03-07,U0113,new,purchase,25
2025-06-19,U0068,regular,view,40
2025-05-03,U0181,new,cart,13
2025-01-04,U0023,regular,cart,40
2025-05-04,U0103,vip,view,13
2025-02-02,U0111,regular,review,43
2025-02-19,U0171,vip,cart,39
2025-06-03,U0106,new,view,32
2025-02-11,U0221,vip,view,24
2025-06-22,U0214,vip,view,28
2025-03-13,U0114,vip,review,39
2025-06-05,U0117,regular,cart,22
2025-03-04,U0071,vip,purchase,43
2025-01-01,U0097,new,purchase,42
2025-02-24,U0255,vip,cart,28
2025-05-05,U0047,new,view,42
2025-03-09,U0060,new,cart,41
2025-03-11,U0105,regular,view,17
2025-05-23,U0193,regular,view,14
2025-06-15,U0146,vip,view,4
2025-06-24,U0236,new,review,7
2025-03-18,U0206,new,view,35
2025-05-19,U0082,new,view,39
2025-06-03,U0144,new,view,15
2025-01-03,U0234,regular,cart,31
2025-05-11,U0030,vip,view,34
2025-05-21,U0199,new,cart,43
2025-06-10,U0013,vip,view,42
2025-04-18,U0169,regular,view,16
2025-05-25,U0060,vip,purchase,1
2025-05-10,U0164,regular,cart,29
2025-04-03,U0161,new,purchase,11
2025-02-10,U0237,regular,review,22
2025-06-03,U0215,vip,view,40
2025-03-22,U0255,vip,purchase,14
2025-06-11,U0155,regular,cart,2
2025-05-06,U0081,regular,cart,25
2025-01-13,U0159,vip,cart,7
2025-03-16,U0195,vip,cart,21
2025-01-15,U0134,new,view,14
2025-02-25,U0092,regular,purchase,29
2025-03-21,U0106,regular,cart,11
2025-01-11,U0035,new,view,22
2025-04-16,U0236,new,purchase,23
2025-04-17,U0093,regular,cart,40
2025-05-03,U0084,vip,purchase,34
2025-03-02,U0069,regular,view,43
2025-03-22,U0049,vip,purchase,11
2025-04-06,U0166,new,cart,34
2025-05-15,U0248,vip,review,39
2025-04-07,U0225,vip,review,30
2025-06-23,U0252,vip,purchase,45
2025-05-28,U0225,regular,view,6
2025-03-05,U0252,regular,review,10
2025-03-13,U0120,regular,purchase,12
2025-01-13,U0021,vip,purchase,9
2025-05-28,U0250,regular,view,14
2025-03-24,U0224,vip,review,40
2025-02-19,U0008,regular,review,45
2025-04-24,U0249,vip,cart,14
2025-01-05,U0095,regular,purchase,40
2025-06-23,U0059,new,view,11
2025-05-17,U0169,new,review,40
2025-04-27,U0213,new,review,5
2025-05-17,U0018,vip,review,16
2025-03-09,U0064,vip,cart,34
2025-05-15,U0148,regular,view,3
2025-01-07,U0031,vip,purchase,37
2025-05-27,U0076,regular,review,10
2025-05-05,U0195,regular,cart,35
2025-04-01,U0046,vip,view,20
2025-01-03,U0204,vip,view,10
2025-04-23,U0002,vip,review,22
2025-06-19,U0031,vip,view,39
2025-04-22,U0249,vip,review,24
2025-05-23,U0221,new,review,28
2025-05-04,U0157,new,review,40
2025-02-04,U0031,new,review,3
2025-02-08,U0230,vip,review,30
2025-04-15,U0242,new,review,40
2025-02-25,U0111,vip,purchase,13
2025-06-26,U0111,vip,view,18
2025-01-21,U0072,vip,cart,12
2025-01-23,U0020,vip,view,18
2025-06-06,U0065,vip,purchase,39
2025-02-11,U0187,vip,review,19
2025-03-27,U0009,new,cart,33
2025-01-08,U0175,regular,review,16
2025-05-06,U0178,vip,purchase,23
2025-05-12,U0034,regular,cart,43
2025-06-07,U0098,vip,review,36
2025-02-06,U0008,vip,view,25
2025-05-01,U0200,regular,view,32
2025-02-09,U0255,vip,view,27
2025-01-01,U0175,regular,review,27
2025-06-15,U0164,vip,view,38
2025-03-27,U0058,vip,view,27
2025-04-04,U0236,new,cart,24
2025-05-19,U0205,new,review,28
2025-03-23,U0219,new,cart,27
2025-02-25,U0178,vip,review,2
2025-03-17,U0102,new,purchase,30
2025-03-21,U0143,regular,cart,4
2025-02-20,U0193,new,view,2
2025-05-19,U0174,regular,purchase,4
2025-02-16,U0195,new,cart,7
2025-02-21,U0101,regular,cart,41
2025-06-23,U0019,vip,cart,30
2025-06-27,U0022,vip,cart,41
2025-02-04,U0230,regular,purchase,15
2025-03-10,U0028,new,view,3
2025-05-16,U0260,vip,review,3
2025-01-10,U0149,vip,purchase,38
2025-02-07,U0157,new,view,21
2025-02-13,U0157,regular,purchase,4
2025-05-24,U0093,regular,review,9
2025-06-11,U0191,vip,view,5
2025-05-27,U0137,new,purchase,26
2025-05-21,U0024,vip,view,23
2025-01-09,U0209,new,cart,36
2025-03-20,U0177,vip,purchase,26
2025-03-18,U0168,regular,cart,32
2025-02-19,U0188,new,cart,26
2025-01-05,U0059,vip,cart,13
2025-06-07,U0245,regular,cart,41
2025-03-02,U0105,regular,purchase,40
2025-02-18,U0015,vip,view,37
2025-06-24,U0209,new,review,6
2025-02-20,U0084,new,review,1
2025-01-06,U0054,new,review,31
2025-06-19,U0041,vip,purchase,45
2025-03-19,U0093,vip,cart,32
2025-03-08,U0177,regular,purchase,15
2025-01-24,U0239,regular,purchase,15
2025-05-18,U0167,vip,view,10
2025-05-15,U0254,vip,purchase,19
2025-06-17,U0227,new,view,44
2025-05-21,U0066,vip,view,8
2025-03-08,U0195,regular,review,28
2025-06-03,U0126,regular,view,41
2025-05-13,U0240,new,cart,36
2025-06-10,U0009,regular,purchase,19
2025-05-02,U0081,regular,purchase,32
2025-05-03,U0226,new,purchase,16
2025-02-16,U0190,new,review,39
2025-02-18,U0032,new,view,32
2025-03-16,U0133,regular,view,14
2025-04-16,U0140,new,review,11
2025-04-02,U0204,vip,view,1
2025-01-15,U0150,new,view,41
2025-03-25,U0134,vip,purchase,26
2025-05-11,U0042,regular,review,29
2025-01-04,U0029,regular,view,29
2025-06-11,U0138,new,cart,8
2025-04-09,U0215,vip,review,18
2025-02-08,U0036,vip,cart,32
2025-06-13,U0053,regular,view,7
2025-03-03,U0068,vip,view,42
2025-05-26,U0026,regular,review,1
2025-06-24,U0209,regular,review,10
2025-05-09,U0035,new,cart,19
2025-06-21,U0008,new,review,12
2025-02-28,U0257,vip,purchase,4
2025-03-05,U0231,regular,review,22
2025-01-26,U0032,new,view,22
2025-06-15,U0090,vip,view,17
2025-01-25,U0141,vip,cart,26
2025-03-24,U0080,vip,cart,42
2025-05-23,U0164,new,cart,39
2025-06-26,U0206,regular,purchase,38
2025-03-19,U0082,new,cart,38
2025-04-01,U0235,vip,review,40
2025-03-02,U0231,regular,review,7
2025-01-02,U0193,vip,purchase,27
2025-05-12,U0228,new,review,29
2025-02-27,U0203,vip,view,31
2025-02-02,U0202,new,purchase,40
2025-01-21,U0212,new,purchase,1
2025-01-12,U0071,new,cart,28
2025-02-15,U0155,vip,view,18
2025-03-02,U0127,new,review,17
2025-05-19,U0085,regular,review,43
2025-05-10,U0078,vip,view,37
2025-04-13,U0177,new,purchase,20
2025-03-15,U0164,new,cart,29
2025-04-04,U0013,regular,cart,30
2025-03-15,U0049,new,view,17
2025-01-24,U0173,new,cart,17
2025-06-07,U0148,vip,view,5
2025-02-23,U0166,regular,view,24
2025-01-28,U0068,regular,purchase,26
2025-03-24,U0158,vip,cart,1
2025-02-18,U0154,vip,review,41
2025-04-28,U0040,regular,cart,29
2025-04-21,U0084,new,view,21
2025-01-09,U0016,regular,cart,19
2025-06-28,U0052,vip,review,31
2025-05-08,U0078,vip,view,4
2025-02-24,U0125,vip,review,38
2025-02-07,U0130,regular,purchase,36
2025-06-04,U0247,vip,view,30
2025-01-04,U0229,regular,purchase,23
2025-02-19,U0211,new,purchase,16
2025-06-25,U0047,regular,view,30
2025-01-27,U0207,regular,purchase,41
2025-04-11,U0050,vip,cart,2
2025-05-08,U0165,vip,cart,12
2025-06-24,U0186,vip,review,14
2025-02-06,U0210,regular,review,6
2025-04-13,U0170,new,purchase,21
2025-02-06,U0159,vip,cart,30
2025-01-14,U0018,vip,purchase,4
2025-02-14,U0084,vip,purchase,2
2025-05-07,U0028,regular,cart,25
2025-03-12,U0131,vip,review,17
2025-02-25,U0202,regular,purchase,6
2025-03-11,U0204,regular,review,45
2025-06-20,U0013,new,view,4
2025-01-16,U0220,regular,cart,17
2025-04-02,U0237,vip,purchase,36
2025-06-20,U0181,regular,purchase,41
2025-06-24,U0145,regular,purchase,23
2025-05-05,U0163,vip,cart,19
2025-01-14,U0150,vip,view,38
2025-03-04,U0049,new,cart,32
2025-02-01,U0136,vip,view,3
2025-06-24,U0187,regular,review,8
2025-02-16,U0182,vip,review,31
2025-03-02,U0006,vip,review,25
2025-01-24,U0251,regular,cart,23
2025-04-12,U0071,regular,cart,30
2025-03-12,U0219,vip,purchase,28
2025-02-12,U0083,new,view,26
2025-01-13,U0093,vip,purchase,19
2025-05-15,U0110,regular,purchase,40
2025-01-05,U0105,vip,purchase,21
2025-03-14,U0149,new,cart,28
2025-01-16,U0148,vip,view,9
2025-02-01,U0068,regular,view,39
2025-01-19,U0160,vip,cart,30
2025-02-23,U0001,regular,purchase,33
2025-01-16,U0054,new,review,24
2025-04-22,U0093,vip,purchase,7
2025-06-27,U0095,regular,view,9
2025-02-07,U0165,vip,purchase,39
2025-05-25,U0107,new,view,21
2025-04-07,U0243,vip,review,21
2025-05-23,U0030,regular,cart,3
2025-05-17,U0148,new,cart,12
2025-02-16,U0090,new,cart,33
2025-06-14,U0102,vip,view,18
2025-04-02,U0210,regular,cart,33
2025-05-13,U0200,regular,purchase,23
2025-04-17,U0198,vip,view,35
2025-01-14,U0176,regular,review,37
2025-03-25,U0195,regular,view,35
2025-04-12,U0146,vip,view,22
2025-05-05,U0183,vip,view,22
2025-02-18,U0032,new,cart,15
2025-06-25,U0204,regular,review,17
2025-04-04,U0147,vip,view,35
2025-01-25,U0134,vip,purchase,15
2025-05-14,U0106,regular,view,34
2025-06-07,U0185,vip,review,34
2025-05-17,U0144,vip,review,4
2025-06-07,U0088,new,cart,17
2025-02-15,U0013,regular,review,43
2025-02-22,U0099,vip,view,26
2025-02-27,U0075,vip,cart,31
2025-06-17,U0127,new,view,10
2025-04-26,U0090,regular,cart,25
2025-05-26,U0153,vip,purchase,15
2025-05-25,U0024,regular,review,4
2025-02-22,U0242,regular,cart,20
2025-03-09,U0165,vip,review,11
2025-02-03,U0065,new,purchase,27
2025-04-15,U0121,regular,view,41
2025-03-24,U0255,new,view,23
2025-03-08,U0061,new,view,32
2025-06-07,U0153,vip,review,19
2025-04-12,U0232,new,view,5
2025-04-28,U0199,vip,purchase,34
2025-06-11,U0097,vip,view,6
2025-03-06,U0242,vip,view,35
2025-04-12,U0164,new,review,42
2025-06-06,U0169,vip,view,33
2025-03-15,U0088,regular,review,17
2025-06-10,U0097,vip,review,36
2025-02-12,U0253,vip,purchase,44
2025-04-22,U0103,vip,review,1
2025-06-05,U0207,regular,purchase,18
2025-04-22,U0063,regular,cart,39
2025-01-19,U0206,vip,view,16
2025-04-12,U0189,regular,purchase,23
2025-06-23,U0138,new,purchase,4
2025-03-22,U0061,new,review,36
2025-05-14,U0135,vip,cart,7
2025-01-27,U0193,new,cart,24
2025-06-17,U0104,regular,cart,5
2025-06-06,U0232,regular,view,26
2025-03-26,U0146,regular,cart,9
2025-04-24,U0148,vip,purchase,8
2025-06-14,U0115,vip,view,10
2025-03-03,U0212,regular,cart,34
2025-06-09,U0142,vip,review,16
2025-02-25,U0208,regular,view,11
2025-02-12,U0084,vip,purchase,10
2025-05-04,U0033,new,view,26
2025-06-22,U0111,vip,cart,30
2025-03-12,U0199,new,view,33
2025-06-28,U0089,regular,review,24
2025-03-01,U0215,vip,purchase,18
2025-03-04,U0086,regular,purchase,23
2025-03-10,U0213,new,purchase,4
2025-06-23,U0213,vip,review,16
2025-06-15,U0248,vip,view,22
2025-01-04,U0175,new,review,43
2025-04-25,U0252,vip,cart,8
2025-04-10,U0013,new,review,43
2025-06-03,U0211,new,view,25
2025-04-14,U0174,vip,cart,44
2025-04-14,U0017,vip,purchase,1
2025-04-11,U0238,vip,review,16
2025-03-24,U0247,regular,purchase,19
2025-01-08,U0143,regular,purchase,43
2025-06-17,U0047,new,review,40
2025-01-01,U0204,new,cart,17
2025-05-16,U0191,regular,review,26
2025-01-18,U0191,new,cart,41
2025-04-20,U0122,vip,view,31
2025-01-15,U0003,regular,purchase,41
2025-05-28,U0204,vip,view,14
2025-01-06,U0160,regular,review,13
2025-04-09,U0101,regular,purchase,23
2025-06-12,U0205,vip,cart,4
2025-04-07,U0174,vip,cart,23
2025-05-17,U0167,new,purchase,5
2025-06-10,U0203,new,purchase,9
2025-01-28,U0113,vip,review,21
2025-05-19,U0024,regular,view,18
2025-05-13,U0129,regular,purchase,10
2025-03-07,U0019,regular,cart,31
2025-05-02,U0068,new,cart,28
2025-04-12,U0141,vip,view,43
2025-01-22,U0056,new,purchase,33
2025-03-14,U0220,regular,review,28
2025-06-27,U0232,new,cart,38
2025-06-22,U0158,vip,view,6
2025-01-09,U0152,vip,purchase,10
2025-05-03,U0217,regular,review,15
2025-05-14,U0228,new,purchase,9
2025-06-15,U0102,regular,cart,22
2025-06-05,U0046,new,cart,38
2025-03-05,U0126,new,purchase,32
2025-05-04,U0102,new,review,26
2025-04-02,U0189,regular,cart,31
2025-06-11,U0173,vip,purchase,19
2025-04-11,U0098,vip,review,28
2025-04-03,U0126,regular,review,5
2025-05-18,U0132,vip,purchase,32
2025-03-13,U0010,regular,view,23
2025-03-04,U0117,vip,cart,6
2025-03-13,U0082,vip,review,23
2025-04-04,U0042,new,review,25
2025-01-06,U0078,regular,purchase,12
2025-03-20,U0007,vip,view,1
2025-02-25,U0155,regular,cart,25
2025-01-26,U0105,vip,view,43
2025-06-02,U0117,vip,cart,19
2025-04-27,U0207,new,review,29
2025-06-15,U0206,vip,review,40
2025-02-03,U0250,regular,cart,28
2025-05-20,U0202,vip,cart,12
2025-03-24,U0023,new,cart,8
2025-03-02,U0072,vip,review,41
2025-06-03,U0205,new,view,33
2025-05-21,U0167,vip,purchase,39
