student_id,submitted_at,grade,gender,satisfaction,study_hours,screen_time,club,score
59,2025-05-27,6,M,3,2.9,2.3,math,97
60,2025-05-22,5,unknown,5,2.7,2.0,none,91
61,2025-05-11,6,F,5,1.7,4.3,coding,61
62,2025-05-06,9,M,5,2.8,3.5,none,56
63,2025-05-08,7,,,0.7,2.8,sports,77
64,2025-05-26,7,M,5,1.9,3.2,sports,75
65,2025-05-05,7,,5,1.5,4.2,sports,50
66,2025-05-18,7,,3,12.5,,sports,100
67,2025-05-04,8,unknown,5,2.0,3.4,sports,60
68,2025-05-18,5,F,5,2.7,5.0,art,84
69,2025-05-13,9,,5,2.4,0.8,sports,82
70,2025-05-01,7,F,5,1.9,2.6,art,93
71,2025-05-13,5,F,,1.9,4.0,coding,62
72,2025-05-08,5,,2,1.8,2.9,art,72
73,2025-05-11,5,unknown,5,3.3,1.2,art,75
74,2025-05-03,6,,2,3.2,1.6,math,89
75,2025-05-17,9,M,2,2.3,5.0,art,-5
76,2025-05-03,9,,3,1.1,4.3,,80
77,2025-05-07,8,F,2,1.4,5.1,,71
78,2025-05-13,9,M,,2.8,2.4,none,86
79,2025-05-25,8,unknown,5,3.2,,art,72
80,2025-05-25,9,unknown,4,1.1,4.2,none,73
81,2025-05-04,5,M,5,2.4,4.3,math,77
82,2025-05-13,7,M,4,1.7,4.3,coding,100
83,2025-05-03,7,M,5,3.8,3.5,art,87
84,2025-05-14,5,F,2,0.2,3.5,,80
85,2025-05-15,8,unknown,5,2.6,3.4,none,82
86,2025-05-28,7,M,4,0.1,2.9,none,70
87,2025-05-26,6,,5,1.5,4.7,,83
88,2025-05-16,8,M,3,2.3,4.1,art,79
89,2025-05-13,9,unknown,2,2.4,2.5,art,68
90,2025-05-03,7,unknown,3,3.0,2.4,coding,53
91,2025-05-03,9,M,3,1.6,1.8,none,89
92,2025-05-24,7,F,2,2.7,3.7,art,72
93,2025-05-24,8,M,5,3.0,3.7,coding,66
94,2025-05-13,8,F,3,0.8,2.9,none,60
95,2025-05-05,6,,5,1.0,3.4,sports,79
96,2025-05-04,8,F,3,1.9,1.6,,74
97,2025-05-08,5,F,3,1.1,5.4,coding,67
98,2025-05-16,9,M,4,3.0,1.3,sports,-5
99,2025-05-02,6,unknown,5,2.8,,math,77
100,2025-05-07,5,,3,1.8,3.6,art,89
101,2025-05-19,7,M,3,2.0,1.3,art,130
102,2025-05-08,8,unknown,3,1.7,4.4,coding,68
103,2025-05-24,7,,5,4.8,3.7,math,82
104,2025-05-09,6,,3,3.4,0.9,sports,92
105,2025-05-16,9,,2,3.1,3.6,math,63
106,2025-05-01,9,F,4,2.4,3.9,sports,88
107,2025-05-06,7,F,3,3.6,3.7,,92
108,2025-05-27,5,unknown,3,2.6,2.7,math,74
109,2025-05-11,7,unknown,5,0.2,2.4,art,76
110,2025-05-24,9,,5,1.2,2.0,,63
111,2025-05-04,9,,5,3.0,3.4,art,80
112,2025-05-14,5,M,2,2.6,2.1,math,78
113,2025-05-16,6,F,2,1.9,3.8,,62
114,2025-05-17,9,unknown,5,3.6,2.3,math,82
115,2025-05-18,7,,3,3.9,,math,96
116,2025-05-01,8,,5,1.9,3.9,math,68
117,2025-05-28,6,,4,0.1,3.3,none,51
118,2025-05-06,9,,5,3.1,2.9,coding,94
119,2025-05-21,5,,3,3.2,1.8,coding,77
120,2025-05-22,7,F,1,1.8,3.3,coding,100
121,2025-05-17,8,F,3,3.7,4.9,coding,96
122,2025-05-13,9,,2,2.7,2.2,art,92
123,2025-05-17,9,F,3,2.8,2.8,sports,79
124,2025-05-26,6,F,5,18.0,5.1,art,100
125,2025-05-14,8,,4,2.3,3.7,art,87
126,2025-05-25,5,M,2,15.0,3.3,math,100
127,2025-05-02,7,,5,1.6,3.0,art,49
128,2025-05-17,6,F,4,1.5,2.2,coding,86
129,2025-05-16,9,unknown,5,1.7,1.0,math,69
130,2025-05-01,6,M,3,3.5,4.9,math,77
131,2025-05-02,7,F,5,1.8,,math,88
132,2025-05-22,6,unknown,1,1.1,3.6,math,79
133,2025-05-13,5,,4,2.0,4.1,coding,80
134,2025-05-26,7,,2,2.9,2.2,sports,65
135,2025-05-28,5,M,3,3.3,1.5,none,73
136,2025-05-22,5,M,5,3.3,,math,74
137,2025-05-28,9,F,2,2.1,4.1,,89
138,2025-05-25,6,,3,2.3,5.9,art,74
139,2025-05-24,7,M,4,3.1,2.6,art,81
140,2025-05-19,9,F,5,1.2,2.0,art,70
141,2025-05-15,7,unknown,2,1.6,,coding,71
142,2025-05-05,5,,4,0.9,5.5,art,56
143,2025-05-06,6,M,3,4.3,,coding,79
144,2025-05-05,9,M,3,2.6,3.8,art,100
145,2025-05-03,5,M,2,2.7,4.2,art,63
146,2025-05-24,8,F,5,5.2,4.6,none,96
147,2025-05-17,5,unknown,3,1.4,4.1,coding,80
148,2025-05-10,7,M,4,1.8,4.3,coding,86
149,2025-05-09,8,,4,3.8,2.3,,100
150,2025-05-01,7,M,4,2.2,0,math,93
151,2025-05-20,6,,2,1.5,1.9,coding,100
152,2025-05-11,7,unknown,2,2.0,2.9,none,74
153,2025-05-26,8,unknown,3,2.3,4.6,,93
154,2025-05-05,9,,3,3.2,,math,86
155,2025-05-21,6,unknown,4,3.2,1.1,,73
156,2025-05-12,6,F,4,4.2,5.7,math,66
157,2025-05-27,8,F,2,2.5,4.9,coding,78
158,2025-05-17,8,unknown,5,2.5,,art,87
159,2025-05-24,5,F,4,2.1,4.6,math,74
160,2025-05-18,5,,4,2.7,6.4,sports,58
161,2025-05-04,7,,3,1.6,0.7,art,79
162,2025-05-12,5,F,2,1.4,2.0,math,69
163,2025-05-18,6,unknown,,1.9,3.2,,90
164,2025-05-26,7,unknown,4,2.6,4.8,sports,63
165,2025-05-26,6,F,3,3.4,4.8,none,71
166,2025-05-28,8,,,2.0,4.6,math,60
167,2025-05-08,8,F,3,1.9,4.4,none,61
168,2025-05-12,9,M,3,3.8,3.0,coding,74
169,2025-05-23,8,M,5,1.6,3.3,,92
170,2025-05-19,5,unknown,3,2.4,3.9,,75
171,2025-05-05,9,,5,1.3,5.3,,84
172,2025-05-05,5,M,5,3.8,1.5,art,82
173,2025-05-09,5,,4,2.1,2.1,math,68
174,2025-05-15,7,,2,3.9,1.6,math,95
175,2025-05-18,8,,4,1.6,1.9,coding,59
176,2025-05-25,7,M,4,1.1,4.8,none,70
177,2025-05-19,8,F,2,2.5,3.6,math,92
178,2025-05-04,6,M,2,3.1,3.6,sports,81
179,2025-05-19,8,unknown,3,2.0,3.4,math,93
180,2025-05-17,5,unknown,3,3.2,0.7,,100
181,2025-05-02,8,F,2,0.8,5.1,none,58
182,2025-05-15,8,F,5,3.0,4.9,coding,79
183,2025-05-09,7,M,2,4.5,2.4,,91
184,2025-05-26,8,M,3,1.7,3.4,none,78
185,2025-05-02,9,F,1,1.9,4.4,none,64
186,2025-05-11,5,F,5,2.9,4.8,none,71
187,2025-05-18,6,,3,4.1,5.4,art,69
188,2025-05-07,5,unknown,3,1.5,3.9,sports,74
189,2025-05-22,5,M,3,2.4,0.7,sports,88
190,2025-05-19,5,unknown,2,2.6,5.2,coding,43
191,2025-05-11,9,,2,1.6,5.1,coding,70
192,2025-05-25,6,F,1,1.4,5.4,math,64
193,2025-05-11,6,F,4,3.0,3.4,,86
194,2025-05-04,6,M,2,2.0,2.2,none,59
195,2025-05-04,6,,3,3.5,0.9,math,71
196,2025-05-03,9,unknown,3,2.6,4.2,,70
197,2025-05-12,6,unknown,,1.7,3.0,math,66
198,2025-05-19,9,unknown,2,3.7,4.7,art,52
199,2025-05-10,6,M,5,4.0,4.5,none,78
200,2025-05-20,5,M,4,3.2,3.4,math,86
201,2025-05-27,7,,5,2.2,3.6,coding,84
202,2025-05-28,5,F,2,2.5,1.9,sports,73
203,2025-05-21,9,F,4,1.8,1.4,math,96
204,2025-05-05,8,M,2,0.6,3.0,art,69
205,2025-05-08,6,,4,2.8,,none,89
206,2025-05-07,8,F,2,2.3,3.4,sports,63
207,2025-05-12,7,F,4,0.0,0.4,coding,60
208,2025-05-06,8,M,5,3.9,4.9,sports,84
209,2025-05-03,9,unknown,3,3.1,4.0,,74
210,2025-05-22,8,unknown,4,2.0,0,coding,96
211,2025-05-27,9,,5,2.1,4.2,coding,89
212,2025-05-25,9,,2,18.0,1.5,math,100
213,2025-05-07,7,unknown,5,1.7,,sports,59
214,2025-05-02,8,M,4,1.6,2.5,sports,90
215,2025-05-15,5,unknown,4,2.6,4.7,coding,67
216,2025-05-16,5,,4,2.8,1.3,,62
217,2025-05-18,7,unknown,2,1.2,3.6,,40
218,2025-05-03,6,F,2,3.4,3.3,,91
219,2025-05-05,5,M,5,2.6,2.1,none,79
220,2025-05-24,9,M,4,3.4,2.1,sports,50
221,2025-05-25,7,,4,3.0,0.4,coding,69
222,2025-05-02,8,unknown,4,2.5,4.0,sports,56
223,2025-05-04,5,unknown,2,2.1,1.4,coding,86
224,2025-05-12,5,F,3,3.1,0.9,,70
225,2025-05-22,9,F,3,2.0,3.4,coding,59
226,2025-05-27,9,M,4,15.0,3.9,coding,100
227,2025-05-09,7,,2,1.8,1.9,math,89
228,2025-05-18,6,,5,2.3,1.5,coding,76
229,2025-05-26,9,M,4,2.7,0.8,,83
230,2025-05-17,9,unknown,5,1.9,4.3,coding,72
231,2025-05-03,9,M,4,3.2,3.8,none,78
232,2025-05-17,9,F,3,15.0,0,art,100
233,2025-05-15,5,,5,2.6,3.6,art,71
234,2025-05-16,5,unknown,5,1.7,3.4,math,63
235,2025-05-16,7,M,4,1.8,0.8,none,95
236,2025-05-10,7,,2,4.0,3.1,sports,81
237,2025-05-19,8,unknown,2,2.1,4.4,art,80
238,2025-05-07,8,F,3,2.6,1.5,coding,96
239,2025-05-17,8,unknown,5,2.3,,none,100
240,2025-05-10,5,F,4,1.6,3.4,,89
241,2025-05-06,6,M,5,3.6,2.7,art,92
242,2025-05-08,9,unknown,3,1.5,3.4,math,84
243,2025-05-27,9,,2,2.9,2.5,sports,77
244,2025-05-21,9,,3,0.6,3.4,sports,38
245,2025-05-25,8,M,2,1.3,4.0,,75
246,2025-05-07,5,unknown,4,1.6,5.3,math,62
247,2025-05-28,6,M,5,3.2,3.9,art,83
248,2025-05-25,9,M,2,1.3,3.0,none,72
249,2025-05-19,6,,5,2.6,5.3,sports,72
250,2025-05-04,7,M,5,12.5,5.9,coding,-5
251,2025-05-07,8,unknown,3,1.4,3.7,,60
252,2025-05-18,6,M,3,2.8,1.0,art,65
253,2025-05-06,7,M,4,1.3,4.2,sports,84
254,2025-05-22,6,M,4,0.8,4.3,art,64
255,2025-05-28,8,M,3,0.2,3.5,none,84
256,2025-05-03,5,unknown,5,0.6,2.4,,61
257,2025-05-13,6,M,3,3.2,1.4,art,93
258,2025-05-26,5,F,3,3.7,3.4,none,87
259,2025-05-01,8,M,4,2.5,1.8,art,99
260,2025-05-14,8,,3,2.7,2.1,math,65
261,2025-05-22,6,unknown,4,2.4,3.7,art,84
262,2025-05-21,5,,4,2.1,2.1,,47
263,2025-05-20,9,M,4,1.3,2.6,math,81
264,2025-05-02,9,unknown,5,2.7,0.8,math,80
265,2025-05-05,6,F,5,0.7,3.8,,70
266,2025-05-02,9,F,2,1.6,2.8,art,60
267,2025-05-14,6,M,4,2.1,,sports,74
268,2025-05-16,5,unknown,3,2.5,,sports,86
269,2025-05-14,9,unknown,2,3.5,4.5,sports,60
270,2025-05-19,5,M,2,4.6,2.9,art,79
271,2025-05-07,9,M,5,3.0,4.0,sports,89
272,2025-05-09,9,M,5,1.6,3.7,math,80
273,2025-05-27,8,,4,1.3,3.5,sports,74
274,2025-05-07,9,F,1,1.7,1.7,,60
275,2025-05-22,9,unknown,4,4.7,2.7,sports,86
276,2025-05-09,6,,5,0.3,2.7,math,54
277,2025-05-05,7,,5,1.9,4.4,coding,65
278,2025-05-12,8,M,5,0.9,1.8,coding,53
279,2025-05-22,8,F,5,0.7,0.5,coding,91
280,2025-05-04,6,unknown,4,1.6,2.9,none,61
281,2025-05-03,7,unknown,5,0.9,2.9,art,59
282,2025-05-21,8,,4,3.6,5.0,coding,51
283,2025-05-23,9,M,4,1.5,3.1,none,74
284,2025-05-18,6,,4,1.3,4.1,,59
285,2025-05-27,9,F,2,2.7,2.4,math,85
286,2025-05-04,7,unknown,5,3.4,3.6,none,86
287,2025-05-23,6,,2,1.8,3.4,sports,82
288,2025-05-15,7,F,2,3.3,1.6,sports,63
289,2025-05-11,8,unknown,2,3.2,,math,75
290,2025-05-06,7,M,4,0.4,2.2,none,70
291,2025-05-27,6,F,2,3.9,0.1,sports,100
292,2025-05-10,5,unknown,3,2.3,5.3,sports,130
293,2025-05-16,6,M,2,1.8,3.0,,81
294,2025-05-04,9,unknown,5,3.1,4.0,coding,67
295,2025-05-05,8,F,5,0.9,2.5,coding,89
296,2025-05-05,6,unknown,3,3.2,2.1,coding,80
297,2025-05-25,6,M,3,4.0,5.9,sports,58
298,2025-05-15,5,,5,4.0,3.0,art,90
299,2025-05-09,6,M,5,1.6,4.1,coding,68
300,2025-05-23,8,M,4,0.2,5.0,math,58
301,2025-05-09,8,,4,3.1,3.3,coding,75
302,2025-05-27,8,,3,2.4,4.1,art,73
303,2025-05-02,9,M,5,3.4,2.6,math,97
304,2025-05-07,7,unknown,3,1.5,4.7,,79
305,2025-05-20,8,M,,3.8,5.0,math,100
306,2025-05-07,5,M,4,3.2,1.4,sports,64
307,2025-05-06,9,,4,18.0,1.0,,100
308,2025-05-12,8,,3,2.5,2.1,coding,67
309,2025-05-23,9,M,4,3.2,3.6,,64
310,2025-05-11,5,M,4,5.2,1.5,none,96
311,2025-05-18,5,unknown,,2.2,5.2,,75
312,2025-05-19,5,unknown,5,1.6,3.2,sports,82
313,2025-05-23,9,F,3,3.1,4.6,,93
314,2025-05-17,9,M,2,1.6,2.2,sports,92
315,2025-05-17,5,F,4,2.7,1.7,math,80
316,2025-05-13,9,M,2,3.0,3.3,sports,64
317,2025-05-21,5,F,4,4.2,0,art,89
318,2025-05-21,7,M,2,1.9,2.1,math,71
319,2025-05-03,9,,2,4.0,2.8,,85
320,2025-05-15,8,unknown,2,3.7,2.1,,84
321,2025-05-13,5,M,3,2.7,4.2,,76
322,2025-05-06,9,unknown,5,1.4,4.0,coding,67
323,2025-05-11,6,M,5,2.9,3.9,coding,61
324,2025-05-03,6,M,4,1.4,5.0,coding,76
325,2025-05-10,8,unknown,2,1.6,2.3,sports,81
326,2025-05-02,6,M,3,0.8,3.0,math,70
327,2025-05-28,8,,4,2.9,4.6,sports,91
328,2025-05-21,9,,3,3.8,1.6,coding,85
329,2025-05-12,9,unknown,2,3.4,4.5,sports,69
330,2025-05-16,8,M,3,12.5,2.5,math,100
331,2025-05-25,6,,4,2.8,2.9,art,66
332,2025-05-20,8,unknown,2,0.8,3.3,art,100
333,2025-05-17,9,,2,3.2,,none,79
334,2025-05-18,5,unknown,2,3.4,2.3,sports,84
335,2025-05-13,5,F,3,3.1,3.5,none,87
336,2025-05-06,5,F,5,2.7,2.7,none,65
337,2025-05-15,6,unknown,3,2.3,3.2,none,79
338,2025-05-20,6,M,4,3.1,4.1,art,73
339,2025-05-04,6,M,4,2.9,4.4,sports,78
340,2025-05-19,5,M,4,0.4,,art,79
341,2025-05-27,7,F,4,3.4,5.1,art,57
342,2025-05-24,5,M,5,1.2,1.8,math,94
343,2025-05-09,6,,4,2.1,6.9,none,73
344,2025-05-04,5,M,2,0.3,3.8,coding,78
345,2025-05-18,7,M,3,3.5,3.8,,83
346,2025-05-27,9,unknown,5,1.4,3.6,sports,77
347,2025-05-21,5,F,3,2.1,1.4,coding,89
348,2025-05-25,5,F,5,2.1,4.8,none,82
349,2025-05-11,5,,2,3.6,4.2,art,55
350,2025-05-24,9,M,2,2.8,2.5,sports,83
351,2025-05-22,9,M,2,2.9,3.2,coding,62
352,2025-05-27,6,unknown,5,0.7,2.8,art,77
353,2025-05-15,9,M,2,0.6,4.0,math,72
354,2025-05-16,9,F,4,1.8,4.6,none,51
355,2025-05-07,7,,5,2.1,4.5,,82
356,2025-05-03,6,M,5,1.0,4.0,art,57
357,2025-05-23,6,F,4,4.7,1.8,coding,92
358,2025-05-04,8,unknown,2,1.6,4.3,none,65
359,2025-05-05,7,,4,1.4,0.7,,77
360,2025-05-21,9,,4,1.1,2.7,math,90
361,2025-05-01,9,,4,4.2,2.7,math,91
362,2025-05-08,8,M,2,2.0,1.9,art,63
363,2025-05-08,7,unknown,1,2.5,4.2,math,72
364,2025-05-27,8,unknown,2,4.4,5.6,math,79
365,2025-05-28,5,F,3,3.5,,art,85
366,2025-05-16,9,M,2,2.3,3.5,none,79
367,2025-05-22,7,F,3,2.2,0.3,art,56
368,2025-05-13,6,M,2,3.0,,math,72
369,2025-05-24,6,F,4,4.4,1.8,none,82
370,2025-05-21,9,,2,4.5,3.9,math,62
371,2025-05-02,7,M,4,1.9,3.7,sports,91
372,2025-05-20,5,M,5,1.7,1.7,art,69
373,2025-05-12,8,M,4,3.5,3.9,sports,87
374,2025-05-10,6,F,5,4.5,3.9,coding,81
375,2025-05-09,6,,2,5.2,2.1,coding,95
376,2025-05-23,6,unknown,4,1.3,0.6,art,84
377,2025-05-22,9,F,2,3.3,4.7,art,68
378,2025-05-15,9,unknown,3,1.2,3.0,coding,83
379,2025-05-13,9,M,3,3.1,3.6,none,78
380,2025-05-01,5,,4,2.8,3.7,coding,75
381,2025-05-14,6,,3,2.7,2.4,art,85
382,2025-05-12,7,F,3,0.6,3.7,coding,53
383,2025-05-25,5,unknown,2,1.6,3.4,,74
384,2025-05-23,6,M,4,3.1,2.8,,75
385,2025-05-16,6,,3,3.0,2.8,coding,70
386,2025-05-25,6,,2,3.9,1.7,sports,96
387,2025-05-24,8,F,2,2.3,2.5,math,75
388,2025-05-10,5,,4,3.3,1.7,sports,93
389,2025-05-28,5,,4,1.2,1.5,art,81
390,2025-05-20,9,F,3,1.1,3.0,none,86
391,2025-05-08,7,M,5,2.2,6.0,none,49
392,2025-05-25,7,,3,2.0,4.3,coding,76
393,2025-05-07,8,F,4,3.9,3.7,none,67
394,2025-05-03,6,unknown,2,3.1,3.8,none,80
395,2025-05-16,7,M,2,12.5,2.0,sports,100
396,2025-05-28,7,M,2,2.2,2.2,coding,95
397,2025-05-01,9,M,5,4.6,2.4,,64
398,2025-05-10,9,F,2,2.2,4.9,coding,71
399,2025-05-19,6,,3,2.6,1.5,,76
400,2025-05-02,9,M,3,3.8,3.8,none,89
401,2025-05-06,8,F,3,2.5,3.2,math,81
402,2025-05-24,6,unknown,5,1.2,5.9,math,61
403,2025-05-13,8,unknown,2,1.3,0.7,,70
404,2025-05-26,6,F,2,1.2,3.5,coding,68
405,2025-05-25,5,unknown,4,3.4,3.9,none,65
406,2025-05-22,6,unknown,5,1.3,3.8,art,63
407,2025-05-17,5,F,4,2.4,3.0,,70
408,2025-05-11,5,M,2,2.3,3.2,coding,63
409,2025-05-07,7,M,3,1.6,3.4,math,71
410,2025-05-19,9,unknown,4,2.5,5.5,art,79
411,2025-05-25,8,,2,2.1,3.6,none,69
412,2025-05-09,9,,5,3.1,0.5,sports,79
413,2025-05-18,8,unknown,4,3.3,3.5,none,72
414,2025-05-01,6,F,3,2.4,5.2,math,88
415,2025-05-25,8,M,4,1.9,2.7,sports,56
416,2025-05-12,8,,2,3.2,,sports,93
417,2025-05-14,9,F,5,3.2,2.9,sports,100
418,2025-05-09,5,F,,3.5,1.6,none,75
419,2025-05-05,7,unknown,5,2.6,0.8,none,87
420,2025-05-12,5,F,3,1.5,5.5,,67
421,2025-05-07,8,,5,1.3,5.3,,77
422,2025-05-04,6,M,2,3.0,3.6,,70
423,2025-05-09,9,unknown,5,2.3,5.2,sports,73
424,2025-05-26,6,,3,1.6,3.4,none,84
425,2025-05-05,5,unknown,4,2.7,2.7,sports,78
426,2025-05-24,7,,2,2.8,2.5,none,72
427,2025-05-05,7,M,2,4.6,2.2,coding,79
428,2025-05-18,8,unknown,5,3.2,3.0,none,90
429,2025-05-09,8,unknown,,1.8,4.1,,78
430,2025-05-05,7,F,4,1.4,4.5,,70
431,2025-05-23,6,unknown,3,3.3,5.2,,59
432,2025-05-25,8,unknown,4,3.3,4.5,,82
433,2025-05-28,7,,3,4.3,2.8,,100
434,2025-05-15,9,unknown,3,1.3,3.1,sports,78
435,2025-05-18,5,,5,2.0,3.3,,48
436,2025-05-18,8,F,4,4.3,4.1,art,82
437,2025-05-10,8,,4,3.5,5.2,sports,70
438,2025-05-13,9,F,3,2.4,2.2,none,95
439,2025-05-02,9,unknown,4,3.6,1.9,none,130
440,2025-05-02,9,F,5,2.8,1.5,none,62
441,2025-05-05,6,unknown,3,2.0,3.9,none,81
442,2025-05-27,8,F,4,4.1,2.8,math,69
443,2025-05-17,7,,2,0.7,4.9,coding,85
444,2025-05-26,5,M,3,1.4,3.4,,77
445,2025-05-08,9,M,4,3.0,4.2,coding,90
446,2025-05-05,8,M,3,2.4,1.7,none,76
447,2025-05-26,6,F,5,2.2,3.7,art,79
448,2025-05-07,7,unknown,5,2.3,4.1,coding,88
449,2025-05-25,7,F,3,1.2,4.5,none,86
450,2025-05-16,9,M,3,2.1,1.0,sports,94
451,2025-05-25,7,M,3,2.7,5.5,none,80
452,2025-05-02,7,,2,3.7,4.7,none,72
453,2025-05-02,6,F,2,2.2,3.4,art,61
454,2025-05-24,7,M,5,2.8,4.1,art,64
455,2025-05-08,7,,4,1.1,3.7,art,78
456,2025-05-27,6,M,3,2.0,2.4,coding,58
457,2025-05-07,9,F,4,2.1,3.5,,63
458,2025-05-11,9,F,4,18.0,4.1,,100
459,2025-05-10,6,M,5,1.4,1.6,,65
460,2025-05-17,9,F,2,3.0,,art,73
461,2025-05-09,5,F,3,2.5,2.0,art,75
462,2025-05-10,8,unknown,3,2.5,2.9,none,80
463,2025-05-16,5,M,3,0.4,2.7,coding,34
464,2025-05-12,5,F,4,3.2,0.7,math,100
465,2025-05-07,7,F,2,2.7,4.1,sports,59
466,2025-05-15,6,,2,1.1,4.0,none,90
467,2025-05-14,6,M,5,4.2,3.7,,67
468,2025-05-27,5,F,2,3.2,7.1,math,59
469,2025-05-06,7,unknown,5,1.7,3.7,art,80
470,2025-05-22,7,,5,2.0,4.4,,58
471,2025-05-22,8,,5,2.2,2.3,coding,78
472,2025-05-25,6,F,2,1.0,3.8,,49
473,2025-05-25,6,,3,3.1,4.1,sports,79
474,2025-05-14,7,F,5,2.2,0.1,art,100
475,2025-05-02,9,F,5,3.6,4.3,coding,88
476,2025-05-03,6,M,4,2.9,6.9,math,77
477,2025-05-01,9,M,2,3.9,1.7,none,72
478,2025-05-27,5,unknown,1,3.9,2.1,coding,77
479,2025-05-01,6,F,4,3.4,3.0,coding,79
480,2025-05-22,7,M,5,2.5,2.4,none,67
481,2025-05-25,5,M,2,0.6,2.5,math,61
482,2025-05-03,9,M,2,3.4,4.5,none,77
483,2025-05-22,6,M,2,1.2,3.5,,62
484,2025-05-10,9,M,2,18.0,0.7,sports,100
485,2025-05-06,5,unknown,1,1.3,4.3,none,79
486,2025-05-06,6,M,3,1.0,3.0,,67
487,2025-05-07,7,F,3,1.2,1.9,none,68
488,2025-05-19,5,,5,12.5,0,coding,100
489,2025-05-09,8,,1,2.0,3.2,,51
490,2025-05-01,7,M,5,2.1,1.6,none,82
491,2025-05-06,7,,5,2.8,3.4,art,77
492,2025-05-11,5,unknown,4,1.0,3.9,,66
493,2025-05-11,9,unknown,2,3.3,3.9,sports,81
494,2025-05-24,6,M,1,3.2,2.7,none,84
495,2025-05-08,9,F,5,1.0,2.3,coding,81
496,2025-05-19,5,M,4,2.0,4.4,,60
497,2025-05-03,5,unknown,4,1.8,2.4,none,77
498,2025-05-16,5,unknown,4,0.7,3.3,art,83
499,2025-05-26,7,M,5,4.6,3.4,coding,69
500,2025-05-02,7,,5,1.7,5.2,math,62
501,2025-05-04,5,F,5,2.6,2.5,sports,130
502,2025-05-08,8,F,2,0.7,4.3,none,58
503,2025-05-05,6,F,4,1.8,3.3,art,82
504,2025-05-23,8,unknown,2,3.0,0.2,art,96
505,2025-05-08,5,,4,2.7,3.5,,100
506,2025-05-13,9,M,5,3.4,5.3,coding,88
507,2025-05-17,8,unknown,4,0.5,3.6,,77
508,2025-05-21,5,,4,2.8,5.6,sports,95
509,2025-05-24,9,unknown,3,2.5,2.0,,81
510,2025-05-24,5,F,3,3.9,2.8,sports,-5
511,2025-05-18,9,unknown,4,3.0,5.2,none,91
