date,visitors,orders,revenue,temperature_c,ad_spend
2025-03-28,1195,71,2519188,12.5,216868
2025-03-29,1014,57,1693765,12.0,145463
2025-03-30,809,38,986878,9.4,221138
2025-03-31,1205,78,1515919,6.3,191744
2025-04-01,1510,85,2030964,11.7,236249
2025-04-02,1197,65,1782270,11.3,223232
2025-04-03,1045,59,1733686,10.7,229688
2025-04-04,1356,80,3115666,12.1,134066
2025-04-05,931,47,1043509,11.4,169103
2025-04-06,931,53,1285810,17.3,167880
2025-04-07,1014,47,1287132,12.3,175763
2025-04-08,1293,69,1900455,12.5,205576
2025-04-09,1278,98,2793814,8.0,173118
2025-04-10,1166,92,1901748,18.9,176888
2025-04-11,1174,56,1615291,12.8,179310
2025-04-12,950,57,1525016,11.2,140212
2025-04-13,809,37,1126415,14.9,190714
2025-04-14,1036,47,1218530,15.8,119965
2025-04-15,1212,65,1771131,10.9,173856
2025-04-16,1210,83,2107769,18.9,154989
2025-04-17,1150,85,2554020,20.2,224319
2025-04-18,1204,58,1319460,13.3,216133
2025-04-19,815,39,1006948,19.3,126163
2025-04-20,759,58,1920550,18.5,226851
2025-04-21,1203,55,1257729,16.8,135237
2025-04-22,1097,75,1497677,16.8,186241
2025-04-23,850,64,1427976,16.3,119267
2025-04-24,1318,96,2380418,17.9,201255
2025-04-25,1222,71,2556583,16.3,156318
2025-04-26,885,53,1323679,14.7,201117
2025-04-27,817,65,1742822,15.8,194322
2025-04-28,1267,69,1976460,17.7,157684
2025-04-29,1233,94,3095162,19.8,218007
2025-04-30,1242,74,2358716,15.7,185347
2025-05-01,1137,85,1754443,18.8,210116
2025-05-02,1344,62,1682138,19.3,195536
2025-05-03,1014,63,1744676,17.4,181458
2025-05-04,907,52,1829329,17.3,154033
2025-05-05,1141,83,2750483,20.2,167787
2025-05-06,1266,58,1793308,21.8,210857
2025-05-07,1025,52,1293567,21.2,115810
2025-05-08,1060,65,1536073,23.3,189146
2025-05-09,977,62,1656723,19.3,132791
2025-05-10,726,48,1423351,20.6,135986
2025-05-11,722,48,1410464,20.0,198056
2025-05-12,1397,69,1769240,21.4,175697
2025-05-13,1206,71,2565044,17.9,238142
2025-05-14,1246,56,1454459,24.0,167167
2025-05-15,1366,104,2990818,17.9,123675
2025-05-16,1362,70,1968599,19.1,205152
2025-05-17,855,60,1660443,22.1,257474
2025-05-18,1023,74,1969005,22.4,158500
2025-05-19,1337,73,1791976,21.5,239721
2025-05-20,1272,80,2743395,20.1,210540
2025-05-21,954,54,1661512,21.9,219679
2025-05-22,1129,71,2164179,22.1,169032
2025-05-23,1238,89,2536205,19.9,106813
2025-05-24,984,46,1287855,22.9,142465
2025-05-25,922,65,1928367,21.6,162406
2025-05-26,1192,58,1705203,24.5,153915
2025-05-27,1257,59,1548220,22.8,211599
2025-05-28,1190,68,1707139,21.1,209261
2025-05-29,1396,88,2519534,23.8,191979
2025-05-30,1254,75,2323076,20.4,138793
2025-05-31,1089,68,1617081,21.3,236744
2025-06-01,678,44,1157483,26.8,171131
2025-06-02,1224,76,1910649,21.7,137588
2025-06-03,1412,72,2014830,23.0,154070
2025-06-04,1233,78,2494231,21.6,209008
2025-06-05,1340,68,1868726,27.8,184857
2025-06-06,1362,100,2944742,21.1,135902
2025-06-07,992,63,1719862,28.7,159896
2025-06-08,866,63,1844705,26.4,168285
2025-06-09,1292,60,1666846,21.9,122895
2025-06-10,1031,50,1346801,20.9,176840
2025-06-11,1219,74,2096050,25.1,200304
2025-06-12,1266,88,2629151,24.8,215307
2025-06-13,1168,65,1645341,22.0,163544
2025-06-14,1023,52,1980962,26.0,174293
2025-06-15,829,49,1141340,20.1,202507
2025-06-16,1056,76,1673455,23.0,216941
2025-06-17,1074,59,1567109,20.7,177738
2025-06-18,1448,107,2660529,24.8,191768
2025-06-19,1043,81,1990420,24.8,198309
2025-06-20,1334,83,2547986,22.5,188033
2025-06-21,1145,63,2246600,29.7,139895
2025-06-22,753,47,1367424,24.8,250680
2025-06-23,1417,70,2047396,25.6,117425
2025-06-24,1294,97,2750023,27.7,177821
2025-06-25,1500,75,2247837,23.0,170037
2025-06-26,1023,66,1854390,22.2,207615
2025-06-27,1303,103,2854690,22.9,155159
2025-06-28,895,59,1597780,23.2,181426
2025-06-29,1024,79,2051726,31.0,173175
2025-06-30,1274,90,2321380,23.8,91633
2025-07-01,1433,111,3049674,22.4,126119
2025-07-02,1060,50,1252171,22.4,151372
2025-07-03,1077,65,2109718,27.2,106476
2025-07-04,1324,77,2182535,22.3,190759
2025-07-05,816,51,1481721,21.7,224618
2025-07-06,1022,72,2178945,23.4,174852
2025-07-07,1194,73,2264165,23.9,153574
2025-07-08,1047,75,2374770,20.8,134367
2025-07-09,1266,58,1856793,25.2,229301
2025-07-10,1346,96,2615715,20.1,155021
2025-07-11,1175,69,1507631,22.4,176501
2025-07-12,926,45,1152780,28.7,141018
2025-07-13,742,38,1212412,23.7,141644
2025-07-14,1215,72,2351503,26.2,216272
2025-07-15,1334,64,1683243,24.7,165608
2025-07-16,1430,65,1836936,18.8,172149
2025-07-17,1351,97,2639642,22.4,183135
2025-07-18,1206,73,2072381,21.4,162898
2025-07-19,1079,76,2171469,20.3,183875
2025-07-20,1024,71,2192185,21.2,182209
2025-07-21,1253,89,2427865,23.9,148365
2025-07-22,1099,69,1377177,22.8,138990
2025-07-23,1336,70,2076513,20.6,128009
2025-07-24,1458,90,2777719,25.1,154670
2025-07-25,1103,50,1101605,21.7,137425
2025-07-26,988,60,1784448,18.7,221803
2025-07-27,1067,59,1496396,23.1,195350
2025-07-28,1152,52,1399526,22.9,196056
2025-07-29,1293,102,2268417,20.5,247692
2025-07-30,1381,90,2353645,23.1,137804
2025-07-31,1134,77,2584881,19.8,184889
2025-08-01,1350,76,2049678,23.1,163502
2025-08-02,935,60,1710550,19.3,142687
2025-08-03,970,59,1863653,18.0,235114
2025-08-04,1355,89,2314599,19.0,232483
2025-08-05,1254,76,2107954,23.2,194612
2025-08-06,1146,58,1504124,26.3,128285
2025-08-07,1530,92,2440377,17.0,224050
2025-08-08,1473,114,3471273,23.8,210433
2025-08-09,904,71,2022090,14.2,133636
2025-08-10,1030,52,1210129,24.0,168797
2025-08-11,1195,63,2036158,19.8,201002
2025-08-12,1392,68,2234091,21.2,161058
2025-08-13,971,50,1461380,14.6,176176
2025-08-14,1199,61,1660822,14.4,177540
2025-08-15,1325,65,1550160,20.9,163222
2025-08-16,1209,96,2166526,19.3,157641
2025-08-17,915,44,1091447,15.3,173353
2025-08-18,1175,55,1590383,20.2,149125
2025-08-19,1675,89,2338947,18.6,180882
2025-08-20,1192,59,1328600,16.5,184034
2025-08-21,1281,58,1715890,19.5,249681
2025-08-22,1065,74,2465605,15.2,233475
2025-08-23,979,59,1900000,17.3,215162
2025-08-24,858,48,1495024,19.7,140916
2025-08-25,1172,83,1675848,14.3,165380
2025-08-26,1444,101,2914232,11.6,165288
2025-08-27,1293,85,2595899,17.4,161215
2025-08-28,1196,83,2467950,17.5,100937
2025-08-29,1305,62,1429163,14.0,169443
2025-08-30,1010,69,1986472,13.0,230834
2025-08-31,827,60,1744496,15.4,193491
2025-09-01,1373,104,3308754,16.8,173014
2025-09-02,1559,117,2733898,13.8,190457
2025-09-03,1241,90,2790209,12.2,187304
2025-09-04,1488,95,2924218,15.5,138187
2025-09-05,1524,118,3660983,10.4,176453
2025-09-06,977,67,1880803,10.5,182315
2025-09-07,940,51,1284415,9.0,187713
2025-09-08,1348,104,2785077,13.7,170759
2025-09-09,1235,83,2415846,11.5,223533
2025-09-10,1013,79,2217172,13.0,114548
2025-09-11,1281,90,2850730,16.1,145677
2025-09-12,1330,79,2250214,13.2,170959
2025-09-13,1092,56,1067963,10.9,183654
2025-09-14,877,50,1308589,9.9,143382
2025-09-15,1489,69,2135010,11.2,146518
2025-09-16,1306,87,2776967,12.2,153414
2025-09-17,1133,86,2589354,15.2,187164
2025-09-18,1347,83,1840962,19.0,179030
2025-09-19,1402,80,2004607,4.8,195670
2025-09-20,1041,77,1762541,12.0,150266
2025-09-21,1014,77,2087617,7.9,116413
2025-09-22,1032,73,1807099,17.2,146884
2025-09-23,1335,65,1820549,11.7,141856
2025-09-24,1455,69,2393488,7.9,204236
2025-09-25,1308,94,2747052,10.3,229480
2025-09-26,1273,70,1928677,8.7,178324
2025-09-27,921,52,1036700,8.0,177721
2025-09-28,996,56,1691318,10.6,133330
2025-09-29,1383,91,2176257,8.3,165296
2025-09-30,1387,89,2589987,6.7,210035
2025-10-01,1143,62,1952679,2.3,184624
2025-10-02,1126,65,2266747,7.5,158675
2025-10-03,1449,89,3070870,5.5,145211
2025-10-04,1072,55,1856462,10.5,150621
2025-10-05,1045,64,1454927,9.9,150904
2025-10-06,1351,90,2296358,7.2,58182
2025-10-07,1500,103,3265649,5.8,162636
2025-10-08,1350,87,2278017,4.2,244396
2025-10-09,1577,108,3237980,11.7,189653
2025-10-10,1383,70,2157128,5.3,198324
2025-10-11,852,57,1445785,8.3,152592
2025-10-12,1008,72,1989220,3.5,160831
2025-10-13,1290,71,2366500,6.0,203616
2025-10-14,1236,74,1998004,4.4,166285
2025-10-15,1425,81,2542588,-0.3,161061
2025-10-16,1197,77,1892701,5.3,227827
2025-10-17,1318,74,1871693,5.8,124223
2025-10-18,1219,84,2672041,3.2,146213
2025-10-19,980,71,1809117,5.6,152769
2025-10-20,1466,112,3652384,3.1,155978
2025-10-21,1410,111,3599781,6.4,182277
2025-10-22,1529,82,2560731,5.2,206732
2025-10-23,1465,66,1911200,2.7,145560
2025-10-24,1439,91,2760753,0.7,259238
2025-10-25,1158,88,2716639,7.7,228843
2025-10-26,908,62,1667959,0.3,167018
2025-10-27,1551,113,2748215,-1.8,144561
2025-10-28,1466,75,2141729,-0.9,188918
2025-10-29,1296,80,2298164,1.5,157645
2025-10-30,1653,123,3978138,6.1,162936
2025-10-31,1227,94,2617003,2.8,138219
2025-11-01,775,47,1183593,1.2,200028
2025-11-02,1126,51,1494292,-1.4,228557
2025-11-03,1372,105,2388124,0.7,155282
2025-11-04,1486,108,3149787,1.0,185330
2025-11-05,1270,69,1978686,-0.2,179133
2025-11-06,1394,88,2163237,-1.1,233783
2025-11-07,1428,96,2805396,0.9,233871
2025-11-08,781,38,981295,-0.7,150929
2025-11-09,852,60,1855015,-2.1,178129
2025-11-10,1520,69,2234250,2.8,168807
2025-11-11,1365,81,1727799,-0.9,181601
2025-11-12,1305,81,2430314,-2.6,232531
2025-11-13,1365,77,1963710,0.1,179882
2025-11-14,1318,89,2536814,-1.5,173395
2025-11-15,1063,74,2360908,1.9,233105
2025-11-16,1228,90,2384458,0.1,204429
2025-11-17,1544,90,2728765,-0.1,230675
2025-11-18,1407,73,1679221,-1.3,133528
2025-11-19,1364,94,2870628,-0.7,203745
2025-11-20,1571,90,2218979,0.6,139268
2025-11-21,1502,72,2025908,-5.2,190345
2025-11-22,995,47,1420462,-6.1,162840
2025-11-23,1016,59,1720432,1.8,190901
2025-11-24,1325,101,2938005,-2.0,256189
2025-11-25,1412,81,2058435,-2.0,199946
2025-11-26,1591,99,2165738,-2.9,209105
2025-11-27,1377,64,1752496,-1.8,240947
2025-11-28,1365,98,3336694,-3.9,224606
2025-11-29,1238,98,2591250,-6.0,143584
2025-11-30,1106,55,1559192,-3.2,202063
2025-12-01,1470,95,2644150,-3.7,167961
2025-12-02,1255,58,1489138,-2.0,133211
2025-12-03,1175,69,2006608,-4.1,172296
2025-12-04,1267,85,2118269,-3.8,187704
2025-12-05,1226,56,1778463,-0.7,124872
2025-12-06,1102,58,1801377,-5.2,227950
2025-12-07,1155,65,2205664,-2.5,190016
2025-12-08,1438,106,3039218,-2.6,234945
2025-12-09,1409,69,2183975,-2.7,195656
2025-12-10,1333,105,3219761,-0.7,161311
2025-12-11,1518,86,2421084,-8.1,171946
2025-12-12,1215,61,1449718,-3.5,206455
2025-12-13,1016,75,2123460,-3.7,143362
2025-12-14,799,52,1323686,-9.8,191891
2025-12-15,1387,94,2575756,-6.4,143570
2025-12-16,1390,85,2279176,-7.5,177090
2025-12-17,1425,103,2621900,-4.3,164916
2025-12-18,1534,113,3216817,-2.8,193050
2025-12-19,1418,111,3169386,-8.2,215464
2025-12-20,1155,80,2269208,-1.2,127598
2025-12-21,1181,81,2047749,-5.4,196426
2025-12-22,1435,94,3220983,-4.0,146403
2025-12-23,1568,99,2827920,-2.4,210698
2025-12-24,1473,83,2787267,-1.2,198072
2025-12-25,1341,102,3383844,-3.5,168362
2025-12-26,1222,62,1687059,-0.8,229061
2025-12-27,1043,56,1677359,-2.7,206448
2025-12-28,884,41,1262919,-2.8,230113
2025-12-29,1491,79,2250882,-1.4,201763
2025-12-30,1622,89,2534308,-3.6,242881
2025-12-31,1509,113,3331839,-1.5,246624
